gene_name,gene_group,chromosome,start,end,gene_length,flank_length,snp_count_1000genomes,snp_density_1000genomes,flank_count_1000genomes,flank_density_1000genomes,enrichment_1000genomes,snp_count_gnomad,snp_density_gnomad,flank_count_gnomad,flank_density_gnomad,enrichment_gnomad,snp_count_pangenome,snp_density_pangenome,flank_count_pangenome,flank_density_pangenome,enrichment_pangenome,snp_count_dbsnp,snp_density_dbsnp,flank_count_dbsnp,flank_density_dbsnp,enrichment_dbsnp,intergenic_density_1000genomes,enrichment_intergenic_1000genomes,intergenic_density_gnomad,enrichment_intergenic_gnomad,intergenic_density_pangenome,enrichment_intergenic_pangenome,intergenic_density_dbsnp,enrichment_intergenic_dbsnp,locus_type,gene_type,Max_TPM,Max_FPKM,Median_Conservation,Max_Conservation,category
RNU6-1100P,RNU6,chr1,157784,157887,104,10400,0,0,0,0,0,23,0.22115384615384617,158,0.01519230769230769,14.556962025316457,0,0,0,0,0,24,0.2307692307692308,867,0.08336538461538462,2.768166089965398,0.0213713703515028,0,0.2118689081338088,1.0438239763532142,0.00710133333333333,0,0.2879,0.801560370855265,pseudogene,pseudogene,0.13,0.07,0.234999999403954,0.298000007867813,Pseudogene
RNU6-1199P,RNU6,chr1,758233,758336,104,10400,0,0,1,9.615384615384615e-5,0,20,0.19230769230769232,230,0.02211538461538461,8.695652173913043,3,0.02884615384615384,152,0.01461538461538461,1.973684210526316,33,0.3173076923076923,3098,0.29788461538461536,1.0652033570045192,0.0213713703515028,0,0.2118689081338088,0.9076730229158384,0.00710133333333333,4.062075738756175,0.2879,1.1021455099259891,pseudogene,pseudogene,0,0,0.24099999666214,0.303999990224838,Pseudogene
RN7SL657P,RN7SL,chr1,1405460,1405752,293,29299,9,0.03071672354948805,95,0.00324243148230315,9.473360876594215,72,0.24573378839590443,989,0.03375541827366121,7.279832422863098,2,0.0068259385665529,269,0.00918120072357418,0.7434690485555147,143,0.4880546075085324,13790,0.4706645277995836,1.0369479293250536,0.0213713703515028,1.43728376067041,0.2118689081338088,1.159838838838532,0.00710133333333333,0.961219287441734,0.2879,1.6952226728326931,pseudogene,pseudogene,62.9,40.23,0.105999998748302,1.61099994182587,Pseudogene
RN7SL574P,RN7SL,chr1,3782815,3783111,297,29699,13,0.04377104377104377,100,0.0033671167379373,12.99956228956229,96,0.32323232323232326,767,0.02582578537997912,12.515875837909736,4,0.01346801346801346,320,0.01077477356139937,1.2499579124579123,119,0.4006734006734007,12233,0.4118993905518704,0.9727457963377198,0.0213713703515028,2.048115916346275,0.2118689081338088,1.5256241516484397,0.00710133333333333,1.8965471462655088,0.2879,1.391710318420982,pseudogene,pseudogene,1.35,1.45,0.305000007152557,2.4210000038147,Pseudogene
RNU6-731P,RNU6,chr1,6540854,6540964,111,11099,6,0.05405405405405406,34,0.00306333903955311,17.645468998410177,25,0.22522522522522523,425,0.03829173799441391,5.881822999470058,1,0.009009009009009,133,0.01198306153707541,0.7518119623382782,45,0.40540540540540543,4276,0.3852599333273268,1.0522905974262382,0.0213713703515028,2.529274125383965,0.2118689081338088,1.0630404772888198,0.00710133333333333,1.268636266758685,0.2879,1.4081465974484384,pseudogene,pseudogene,0.78,0.63,0.217999994754791,0.257999986410141,Pseudogene
RNU1-8P,RNU1,chr1,7219360,7219524,165,16499,3,0.01818181818181818,43,0.00260621855870052,6.976321353065539,36,0.21818181818181817,416,0.02521364931207952,8.653321678321678,0,0,154,0.00933389902418328,0,36,0.21818181818181817,3741,0.22674101460694587,0.962251221112488,0.0213713703515028,0.8507558421746064,0.2118689081338088,1.0297963023626968,0.00710133333333333,0,0.2879,0.7578388960813414,pseudogene,pseudogene,0,0,-0.0469999983906746,0.989000022411346,Pseudogene
TRUND-NNN4-1,TRNA,chr1,7930279,7930348,70,7000,5,0.07142857142857142,22,0.00314285714285714,22.727272727272727,22,0.3142857142857143,248,0.03542857142857143,8.870967741935484,2,0.02857142857142857,55,0.00785714285714285,3.636363636363636,24,0.34285714285714286,2469,0.3527142857142857,0.9720534629404618,0.0213713703515028,3.342255094257382,0.2118689081338088,1.4833970545938846,0.00710133333333333,4.0233893031489725,0.2879,1.190889693842108,pseudogene,pseudogene,-Inf,-Inf,0.211999997496605,1.55400002002716,Pseudogene
RNU1-7P,RNU1,chr1,8206434,8206597,164,16400,3,0.01829268292682926,46,0.00280487804878048,6.521739130434782,47,0.2865853658536585,369,0.0225,12.737127371273711,0,0,183,0.01115853658536585,0,71,0.4329268292682927,5825,0.3551829268292683,1.2188841201716738,0.0213713703515028,0.8559433777976223,0.2118689081338088,1.352654187808725,0.00710133333333333,0,0.2879,1.5037402892264422,pseudogene,pseudogene,0,0,0.214000001549721,0.685000002384186,Pseudogene
RNU6-991P,RNU6,chr1,8292157,8292263,107,10699,5,0.04672897196261682,43,0.00401906720254229,11.626820256465985,27,0.2523364485981308,347,0.03243293765772502,7.780252632712973,4,0.03738317757009345,125,0.01168333489111131,3.199700934579439,35,0.32710280373831774,3891,0.36367884849051313,0.899427627138592,0.0213713703515028,2.1865220242805306,0.2118689081338088,1.191002732872745,0.00710133333333333,5.2642476863631416,0.2879,1.136168126913226,pseudogene,pseudogene,0,0,0.421000003814697,0.501999974250793,Pseudogene
RNU6-304P,RNU6,chr1,8883427,8883533,107,10699,4,0.03738317757009345,23,0.00214973361996448,17.38967899227956,26,0.24299065420560748,354,0.03308720441162725,7.3439463540841645,1,0.00934579439252336,100,0.00934666791288905,0.9999065420560748,44,0.411214953271028,4280,0.4000373866716515,1.02794130491746,0.0213713703515028,1.7492176194244242,0.2118689081338088,1.1468915205441248,0.00710133333333333,1.3160619215907854,0.2879,1.4283256452623412,pseudogene,pseudogene,0,0,0.194999992847443,0.657999992370605,Pseudogene
