gene_name,Gene_Type,Max_TPM,Median_Conservation,enrichment_intergenic_dbsnp,category
RNU1-1,Functional,3848.22,0.328999996185303,3.388710510932828,Functional
RNU1-100P,Pseudogene,1.55,0.305000007152557,0.8841453787615648,Pseudogene
RNU1-101P,Pseudogene,0,0.437000006437302,1.2033924727800829,Pseudogene
RNU1-103P,Pseudogene,1.58,0.30799999833107,1.6116707189996529,Pseudogene
RNU1-104P,Pseudogene,1.04,-0.23199999332428,1.4092194710464945,Pseudogene
RNU1-105P,Pseudogene,0,-0.133000001311302,1.4238898513329552,Pseudogene
RNU1-107P,Pseudogene,0,-0.368000000715256,0.0225547290500399,Pseudogene
RNU1-108P,Pseudogene,3.46,0.449000000953674,2.416297929534712,Pseudogene
RNU1-109P,Pseudogene,2.47,-0.0920000001788139,1.4649833535359265,Pseudogene
RNU1-112P,Pseudogene,0,0.146999999880791,1.1648692381331596,Pseudogene
RNU1-114P,Pseudogene,0,-0.0525000002235174,2.050578137489172,Pseudogene
RNU1-115P,Pseudogene,0,0.252000004053116,0.6512678013199028,Pseudogene
RNU1-116P,Pseudogene,0,-0.225999996066093,NA,Pseudogene
RNU1-117P,Pseudogene,0,0.30799999833107,1.1211698858165415,Pseudogene
RNU1-119P,Pseudogene,0.47,0.300000011920929,1.3262180681423474,Pseudogene
RNU1-11P,Pseudogene,0.58,-0.102000001817942,1.5672786113064328,Pseudogene
RNU1-123P,Pseudogene,0.12,-0.211499996483326,1.128864188954498,Pseudogene
RNU1-124P,Pseudogene,1.32,0.204999998211861,1.4851900204812496,Pseudogene
RNU1-125P,Pseudogene,205.51,-0.0579999983310699,1.4539932308537364,Pseudogene
RNU1-128P,Pseudogene,0,-0.0200000004842877,0,Pseudogene
RNU1-129P,Pseudogene,1.38,-0.152999997138977,1.0399485849419603,Pseudogene
RNU1-130P,Pseudogene,0,0.30799999833107,0.8466481417158735,Pseudogene
RNU1-131P,Pseudogene,0,-0.196999996900558,1.4023157626763951,Pseudogene
RNU1-132P,Pseudogene,0.16,0.305000007152557,0.8048187463465466,Pseudogene
RNU1-133P,Pseudogene,0,0.26800000667572,0.7695619528570508,Pseudogene
RNU1-134P,Pseudogene,2.63,0.194999992847443,1.2841159072489396,Pseudogene
RNU1-136P,Pseudogene,0,0.212999999523163,1.355484204373131,Pseudogene
RNU1-138P,Pseudogene,0,0.266999989748001,0.6777421021865655,Pseudogene
RNU1-139P,Pseudogene,0,0.238000005483627,1.3893713094824591,Pseudogene
RNU1-140P,Pseudogene,0,-0.101999998092651,1.2630648268022358,Pseudogene
RNU1-141P,Pseudogene,0.05,0.30799999833107,0.8133977602982752,Pseudogene
RNU1-142P,Pseudogene,0,-0.003000000026077,0.6707309769915321,Pseudogene
RNU1-143P,Pseudogene,1.44,-0.149999998509884,0.9754147891914526,Pseudogene
