Gene,Chromosome,Position,Score
RNU4ATAC,chr2,121530881,7.330999851226807
RNU4ATAC,chr2,121530882,2.6019999980926514
RNU4ATAC,chr2,121530883,0.7689999938011169
RNU4ATAC,chr2,121530884,7.544000148773193
RNU4ATAC,chr2,121530885,7.440000057220459
RNU4ATAC,chr2,121530886,5.735000133514404
RNU4ATAC,chr2,121530887,7.544000148773193
RNU4ATAC,chr2,121530888,5.750999927520752
RNU4ATAC,chr2,121530889,3.6630001068115234
RNU4ATAC,chr2,121530890,7.544000148773193
RNU4ATAC,chr2,121530891,5.714000225067139
RNU4ATAC,chr2,121530892,3.5239999294281006
RNU4ATAC,chr2,121530893,4.636000156402588
RNU4ATAC,chr2,121530894,9.163999557495117
RNU4ATAC,chr2,121530895,7.567999839782715
RNU4ATAC,chr2,121530896,9.154000282287598
RNU4ATAC,chr2,121530897,7.321000099182129
RNU4ATAC,chr2,121530898,5.250999927520752
RNU4ATAC,chr2,121530899,4.730000019073486
RNU4ATAC,chr2,121530900,5.071000099182129
RNU4ATAC,chr2,121530901,1.5010000467300415
RNU4ATAC,chr2,121530902,3.4210000038146973
RNU4ATAC,chr2,121530903,0.0860000029206276
RNU4ATAC,chr2,121530904,2.6419999599456787
RNU4ATAC,chr2,121530905,2.940000057220459
RNU4ATAC,chr2,121530906,2.8350000381469727
RNU4ATAC,chr2,121530907,1.4359999895095825
RNU4ATAC,chr2,121530908,3.6559998989105225
RNU4ATAC,chr2,121530909,1.2860000133514404
RNU4ATAC,chr2,121530910,2.3929998874664307
RNU4ATAC,chr2,121530911,5.697000026702881
RNU4ATAC,chr2,121530912,3.0360000133514404
RNU4ATAC,chr2,121530913,8.791000366210938
RNU4ATAC,chr2,121530914,4.706999778747559
RNU4ATAC,chr2,121530915,9.432999610900879
RNU4ATAC,chr2,121530916,6.998000144958496
RNU4ATAC,chr2,121530917,-0.0010000000474974513
RNU4ATAC,chr2,121530918,5.714000225067139
RNU4ATAC,chr2,121530919,7.567999839782715
RNU4ATAC,chr2,121530920,-3.8970000743865967
RNU4ATAC,chr2,121530921,-9.583000183105469
RNU4ATAC,chr2,121530922,3.747999906539917
RNU4ATAC,chr2,121530923,2.122999906539917
RNU4ATAC,chr2,121530924,7.567999839782715
RNU4ATAC,chr2,121530925,1.1019999980926514
RNU4ATAC,chr2,121530926,9.432999610900879
RNU4ATAC,chr2,121530927,8.791000366210938
RNU4ATAC,chr2,121530928,7.567999839782715
RNU4ATAC,chr2,121530929,2.50600004196167
RNU4ATAC,chr2,121530930,-0.008999999612569809
RNU4ATAC,chr2,121530931,1.8200000524520874
RNU4ATAC,chr2,121530932,1.809000015258789
RNU4ATAC,chr2,121530933,4.815000057220459
RNU4ATAC,chr2,121530934,2.553999900817871
RNU4ATAC,chr2,121530935,2.9230000972747803
RNU4ATAC,chr2,121530936,7.440000057220459
RNU4ATAC,chr2,121530937,4.578999996185303
RNU4ATAC,chr2,121530938,9.432999610900879
RNU4ATAC,chr2,121530939,7.440000057220459
RNU4ATAC,chr2,121530940,7.544000148773193
RNU4ATAC,chr2,121530941,2.049999952316284
RNU4ATAC,chr2,121530942,8.791000366210938
RNU4ATAC,chr2,121530943,7.440000057220459
RNU4ATAC,chr2,121530944,1.0750000476837158
RNU4ATAC,chr2,121530945,5.622000217437744
RNU4ATAC,chr2,121530946,2.9260001182556152
RNU4ATAC,chr2,121530947,0.5289999842643738
RNU4ATAC,chr2,121530948,-1.753000020980835
RNU4ATAC,chr2,121530949,-0.7639999985694885
RNU4ATAC,chr2,121530950,0.35899999737739563
RNU4ATAC,chr2,121530951,7.440000057220459
RNU4ATAC,chr2,121530952,5.755000114440918
RNU4ATAC,chr2,121530953,7.004000186920166
RNU4ATAC,chr2,121530954,7.440000057220459
RNU4ATAC,chr2,121530955,8.791000366210938
RNU4ATAC,chr2,121530956,7.440000057220459
RNU4ATAC,chr2,121530957,0.06700000166893005
RNU4ATAC,chr2,121530958,-1.184000015258789
RNU4ATAC,chr2,121530959,-3.8429999351501465
RNU4ATAC,chr2,121530960,0.44699999690055847
RNU4ATAC,chr2,121530961,5.131999969482422
RNU4ATAC,chr2,121530962,5.735000133514404
RNU4ATAC,chr2,121530963,3.3310000896453857
RNU4ATAC,chr2,121530964,0.5519999861717224
RNU4ATAC,chr2,121530965,5.734000205993652
RNU4ATAC,chr2,121530966,0.0430000014603138
RNU4ATAC,chr2,121530967,-0.13899999856948853
RNU4ATAC,chr2,121530968,-0.1770000010728836
RNU4ATAC,chr2,121530969,1.4429999589920044
RNU4ATAC,chr2,121530970,1.284999966621399
RNU4ATAC,chr2,121530971,-1.0180000066757202
RNU4ATAC,chr2,121530972,0.14300000667572021
RNU4ATAC,chr2,121530973,2.3380000591278076
RNU4ATAC,chr2,121530974,-0.024000000208616257
RNU4ATAC,chr2,121530975,0.34599998593330383
RNU4ATAC,chr2,121530976,0.21400000154972076
RNU4ATAC,chr2,121530977,-4.4120001792907715
RNU4ATAC,chr2,121530978,-0.15700000524520874
RNU4ATAC,chr2,121530979,3.384000062942505
RNU4ATAC,chr2,121530980,1.159999966621399
RNU4ATAC,chr2,121530981,1.2269999980926514
RNU4ATAC,chr2,121530982,1.5770000219345093
RNU4ATAC,chr2,121530983,3.0859999656677246
RNU4ATAC,chr2,121530984,0.9750000238418579
RNU4ATAC,chr2,121530985,-3.6110000610351562
RNU4ATAC,chr2,121530986,-0.6819999814033508
RNU4ATAC,chr2,121530987,0.6660000085830688
RNU4ATAC,chr2,121530988,-0.9760000109672546
RNU4ATAC,chr2,121530989,7.5970001220703125
RNU4ATAC,chr2,121530990,6.382999897003174
RNU4ATAC,chr2,121530991,2.875999927520752
RNU4ATAC,chr2,121530992,7.63700008392334
RNU4ATAC,chr2,121530993,7.433000087738037
RNU4ATAC,chr2,121530994,8.781999588012695
RNU4ATAC,chr2,121530995,5.576000213623047
RNU4ATAC,chr2,121530996,5.697999954223633
RNU4ATAC,chr2,121530997,7.5370001792907715
RNU4ATAC,chr2,121530998,7.5370001792907715
RNU4ATAC,chr2,121530999,5.697999954223633
RNU4ATAC,chr2,121531000,7.5370001792907715
RNU4ATAC,chr2,121531001,7.489999771118164
RNU4ATAC,chr2,121531002,7.559000015258789
RNU4ATAC,chr2,121531003,8.472000122070312
RNU4ATAC,chr2,121531004,6.756999969482422
RNU4ATAC,chr2,121531005,2.5820000171661377
RNU4ATAC,chr2,121531006,3.9690001010894775
RNU4ATAC,chr2,121531007,0.41600000858306885
RNU4ATAC2P,chr5,159318042,1.8919999599456787
RNU4ATAC2P,chr5,159318043,0.3089999854564667
RNU4ATAC2P,chr5,159318044,-0.007000000216066837
RNU4ATAC2P,chr5,159318045,0.023000000044703484
RNU4ATAC2P,chr5,159318046,0.6949999928474426
RNU4ATAC2P,chr5,159318047,0.8339999914169312
RNU4ATAC2P,chr5,159318048,0.6639999747276306
RNU4ATAC2P,chr5,159318049,2.0230000019073486
RNU4ATAC2P,chr5,159318050,0.34299999475479126
RNU4ATAC2P,chr5,159318051,0.07100000232458115
RNU4ATAC2P,chr5,159318052,0.2939999997615814
RNU4ATAC2P,chr5,159318053,-0.164000004529953
RNU4ATAC2P,chr5,159318054,0.9599999785423279
RNU4ATAC2P,chr5,159318055,1.3509999513626099
RNU4ATAC2P,chr5,159318056,0.671999990940094
RNU4ATAC2P,chr5,159318057,1.3420000076293945
RNU4ATAC2P,chr5,159318058,2.2209999561309814
RNU4ATAC2P,chr5,159318059,0.7820000052452087
RNU4ATAC2P,chr5,159318060,0.7269999980926514
RNU4ATAC2P,chr5,159318061,0.9210000038146973
RNU4ATAC2P,chr5,159318062,0.1770000010728836
RNU4ATAC2P,chr5,159318063,2.1530001163482666
RNU4ATAC2P,chr5,159318064,-0.6589999794960022
RNU4ATAC2P,chr5,159318065,1.7690000534057617
RNU4ATAC2P,chr5,159318066,2.0230000019073486
RNU4ATAC2P,chr5,159318067,1.7480000257492065
RNU4ATAC2P,chr5,159318068,1.7690000534057617
RNU4ATAC2P,chr5,159318069,0.9549999833106995
RNU4ATAC2P,chr5,159318070,-0.1379999965429306
RNU4ATAC2P,chr5,159318071,0.46299999952316284
RNU4ATAC2P,chr5,159318072,1.6519999504089355
RNU4ATAC2P,chr5,159318073,0.7559999823570251
RNU4ATAC2P,chr5,159318074,0.6970000267028809
RNU4ATAC2P,chr5,159318075,1.6720000505447388
RNU4ATAC2P,chr5,159318076,2.0290000438690186
RNU4ATAC2P,chr5,159318077,1.906999945640564
RNU4ATAC2P,chr5,159318078,0.75
RNU4ATAC2P,chr5,159318079,1.6519999504089355
RNU4ATAC2P,chr5,159318080,0.8109999895095825
RNU4ATAC2P,chr5,159318081,0.5609999895095825
RNU4ATAC2P,chr5,159318082,-0.9279999732971191
RNU4ATAC2P,chr5,159318083,1.6720000505447388
RNU4ATAC2P,chr5,159318084,0.75
RNU4ATAC2P,chr5,159318085,2.0290000438690186
RNU4ATAC2P,chr5,159318086,1.6720000505447388
RNU4ATAC2P,chr5,159318087,2.0290000438690186
RNU4ATAC2P,chr5,159318088,1.906999945640564
RNU4ATAC2P,chr5,159318089,0.30799999833106995
RNU4ATAC2P,chr5,159318090,0.6690000295639038
RNU4ATAC2P,chr5,159318091,0.75
RNU4ATAC2P,chr5,159318092,1.6519999504089355
RNU4ATAC2P,chr5,159318093,1.906999945640564
