Gene,Gene_Type,Gene_group,enrichment_intergenic_dbsnp,PhyloP100_median,ENCODE_max,functional_probability,UMAP_sup1,UMAP_sup2
RNU1-101P,Pseudogene,RNU1,1.2033924727800829,0.437000006437302,0,0,8.569011310227891,0.04124198831385162
RNU1-103P,Pseudogene,RNU1,1.6116707189996529,0.30799999833107,1.58,0,4.221172431596299,-13.880558744298758
RNU1-104P,Pseudogene,RNU1,1.4092194710464945,-0.23199999332428,1.04,0,0.35144818771698116,-12.914347425329032
RNU1-105P,Pseudogene,RNU1,1.4238898513329552,-0.133000001311302,0,0,0.40468950022079586,-12.969951406347098
RNU1-109P,Pseudogene,RNU1,1.4649833535359265,-0.0920000001788139,2.47,0,0.4369542692980969,-12.843465581762137
RNU1-112P,Pseudogene,RNU1,1.1648692381331596,0.146999999880791,0,0,2.443077186234971,-13.342622533666434
RNU1-115P,Pseudogene,RNU1,0.6512678013199028,0.252000004053116,0,0,4.408128837235948,-15.535279050695243
RNU1-117P,Pseudogene,RNU1,1.1211698858165415,0.30799999833107,0,0,3.2646344696364604,-12.589155927526297
RNU1-119P,Pseudogene,RNU1,1.3262180681423474,0.300000011920929,0.47,0,2.2935822998366557,-12.053416028844657
RNU1-123P,Pseudogene,RNU1,1.128864188954498,-0.211499996483326,0.12,0,1.5779096876464092,-14.971108213292899
RNU1-124P,Pseudogene,RNU1,1.4851900204812496,0.204999998211861,1.32,0,1.4633040224395,-11.93823410593206
RNU1-129P,Pseudogene,RNU1,1.0399485849419603,-0.152999997138977,1.38,0,1.9460624252639018,-15.289928212987723
RNU1-130P,Pseudogene,RNU1,0.8466481417158735,0.30799999833107,0,0,4.585706809648057,-12.987267270910086
RNU1-131P,Pseudogene,RNU1,1.4023157626763951,-0.196999996900558,0,0,0.3956528102240765,-12.938797727453055
RNU1-132P,Pseudogene,RNU1,0.8048187463465466,0.305000007152557,0.16,0,4.73068056453087,-13.109500661718192
RNU1-133P,Pseudogene,RNU1,0.7695619528570508,0.26800000667572,0,0,4.773882487901231,-13.145202413427176
RNU1-134P,Pseudogene,RNU1,1.2841159072489396,0.194999992847443,2.63,0,6.272688010819932,-0.22186107956105683
RNU1-136P,Pseudogene,RNU1,1.355484204373131,0.212999999523163,0,0,4.239613155015489,-13.891978040563407
RNU1-139P,Pseudogene,RNU1,1.3893713094824591,0.238000005483627,0,0,1.8015678917250835,-12.252336278783622
RNU1-140P,Pseudogene,RNU1,1.2630648268022358,-0.101999998092651,0,0,1.2436945234618388,-13.90471245371038
RNU1-141P,Pseudogene,RNU1,0.8133977602982752,0.30799999833107,0.05,0,5.43913135875084,-1.4191045912378453
RNU1-142P,Pseudogene,RNU1,0.6707309769915321,-0.003000000026077,0,0,3.5663393532119,-15.950773969518485
RNU1-143P,Pseudogene,RNU1,0.9754147891914526,-0.149999998509884,1.44,0,2.1395193134627544,-15.466475263463797
RNU1-146P,Pseudogene,RNU1,1.1999115854621238,0.214000001549721,0.6,0,2.5797005688033305,-12.759491697179618
RNU1-148P,Pseudogene,RNU1,1.3507776619968357,-0.0219999998807907,0.38,0,-13.270361324659804,-4.749254003392997
RNU1-149P,Pseudogene,RNU1,1.121852610141116,0.282999992370605,0.33,0,8.444764712937852,-0.1463582070940158
RNU1-150P,Pseudogene,RNU1,1.0077230176801788,-0.197999998927116,0,0,1.99364910472252,-15.415358320104422
RNU1-151P,Pseudogene,RNU1,1.5838832928100035,-0.034000001847744,0.29,0,0.6027703081450665,-12.52194477640325
RNU1-15P,Pseudogene,RNU1,1.2784145729612908,-0.133000001311302,0,0,1.082970360406419,-14.303828016149344
RNU1-16P,Pseudogene,RNU1,1.1225103567464991,0.306500002741814,4.48,0,3.2421501671157085,-12.575408712255301
RNU1-17P,Pseudogene,RNU1,1.2339810972377103,-0.0469999983906746,0,0,1.4407834802947246,-13.817413106786551
RNU1-18P,Pseudogene,RNU1,1.080151475359839,0.214000001549721,1.14,0,3.344106057771226,-12.91706539713079
RNU1-19P,Pseudogene,RNU1,1.5156777921626827,-0.0240000002086162,0.75,0,0.6390139256797039,-12.61779953561956
RNU1-20P,Pseudogene,RNU1,1.0077230176801788,-0.20099999755621,0,0,1.9681139980635844,-15.42407108865911
RNU1-21P,Pseudogene,RNU1,1.3424906824753824,0.246999993920326,0.15,0,2.0585137401900493,-12.202567830907645
RNU1-23P,Pseudogene,RNU1,1.399019721353865,0.30799999833107,0,0,1.9332352672896587,-11.80019642435247
RNU1-24P,Pseudogene,RNU1,1.4314734703758671,-0.123999997973442,0,0,0.4102661703906262,-12.946543470250907
RNU1-29P,Pseudogene,RNU1,1.2680769888133556,0.211999997496605,1.59,0,2.2060566936812602,-12.801128164159598
