Gene,Gene_Type,Gene_group,enrichment_intergenic_dbsnp,PhyloP100_median,ENCODE_max,functional_probability,LLE1,LLE2
RNU1-101P,Pseudogene,RNU1,1.2033924727800829,0.437000006437302,0,0,0.042938624108861116,0.04692303041044829
RNU1-103P,Pseudogene,RNU1,1.6116707189996529,0.30799999833107,1.58,0,0.3971795599691845,0.026775219217357323
RNU1-104P,Pseudogene,RNU1,1.4092194710464945,-0.23199999332428,1.04,0,0.32273262814807363,-0.018385577424839705
RNU1-105P,Pseudogene,RNU1,1.4238898513329552,-0.133000001311302,0,0,0.3528719606852835,-0.014701985494176045
RNU1-109P,Pseudogene,RNU1,1.4649833535359265,-0.0920000001788139,2.47,0,0.36752325331759417,-0.011235784981603218
RNU1-112P,Pseudogene,RNU1,1.1648692381331596,0.146999999880791,0,0,0.4189404873818203,-0.02082333610452936
RNU1-115P,Pseudogene,RNU1,0.6512678013199028,0.252000004053116,0,0,0.41621045248448035,-0.04688779952675787
RNU1-117P,Pseudogene,RNU1,1.1211698858165415,0.30799999833107,0,0,0.46392631877357493,-0.018225667433311193
RNU1-119P,Pseudogene,RNU1,1.3262180681423474,0.300000011920929,0.47,0,0.47313170693202455,-0.007558019870463076
RNU1-123P,Pseudogene,RNU1,1.128864188954498,-0.211499996483326,0.12,0,0.3112932107400948,-0.03355676958522477
RNU1-124P,Pseudogene,RNU1,1.4851900204812496,0.204999998211861,1.32,0,0.4553509118672421,-0.0016914965474414253
RNU1-129P,Pseudogene,RNU1,1.0399485849419603,-0.152999997138977,1.38,0,0.32295803038817805,-0.036838933782896745
RNU1-130P,Pseudogene,RNU1,0.8466481417158735,0.30799999833107,0,0,0.4458559298734801,-0.033753301593761935
RNU1-131P,Pseudogene,RNU1,1.4023157626763951,-0.196999996900558,0,0,0.33259258171486106,-0.017761089890894283
RNU1-132P,Pseudogene,RNU1,0.8048187463465466,0.305000007152557,0.16,0,0.44199612788337517,-0.03630478074200582
RNU1-133P,Pseudogene,RNU1,0.7695619528570508,0.26800000667572,0,0,0.4288269467995382,-0.039527934600358736
RNU1-134P,Pseudogene,RNU1,1.2841159072489396,0.194999992847443,2.63,0,-0.6772249080080709,0.1839385482407114
RNU1-136P,Pseudogene,RNU1,1.355484204373131,0.212999999523163,0,0,0.3606657745633624,0.008537862057771977
RNU1-139P,Pseudogene,RNU1,1.3893713094824591,0.238000005483627,0,0,0.45900608819135746,-0.005943695931983005
RNU1-140P,Pseudogene,RNU1,1.2630648268022358,-0.101999998092651,0,0,0.3516995427915249,-0.022800003061275692
RNU1-141P,Pseudogene,RNU1,0.8133977602982752,0.30799999833107,0.05,0,-0.08006101932713804,0.03457258019518947
RNU1-142P,Pseudogene,RNU1,0.6707309769915321,-0.003000000026077,0,0,0.3435680668730981,-0.05332286223203606
RNU1-143P,Pseudogene,RNU1,0.9754147891914526,-0.149999998509884,1.44,0,0.31986631353651507,-0.04039874973522078
RNU1-146P,Pseudogene,RNU1,1.1999115854621238,0.214000001549721,0.6,0,0.4407427243879414,-0.016883377479306867
RNU1-148P,Pseudogene,RNU1,1.3507776619968357,-0.0219999998807907,0.38,0,0.1290205061245552,0.12606180669100156
RNU1-149P,Pseudogene,RNU1,1.121852610141116,0.282999992370605,0.33,0,-0.1690689726056611,0.05080708038092296
RNU1-150P,Pseudogene,RNU1,1.0077230176801788,-0.197999998927116,0,0,0.3077451282526821,-0.040006672269648554
RNU1-151P,Pseudogene,RNU1,1.5838832928100035,-0.034000001847744,0.29,0,0.39219106307486906,-0.002975056802522557
RNU1-15P,Pseudogene,RNU1,1.2784145729612908,-0.133000001311302,0,0,0.34347125837129605,-0.02285934059333664
RNU1-16P,Pseudogene,RNU1,1.1225103567464991,0.306500002741814,4.48,0,0.46356528777002687,-0.01820015296100578
RNU1-17P,Pseudogene,RNU1,1.2339810972377103,-0.0469999983906746,0,0,0.3661187172031605,-0.02279841665843075
RNU1-18P,Pseudogene,RNU1,1.080151475359839,0.214000001549721,1.14,0,0.4336193522849059,-0.02344449629277817
RNU1-19P,Pseudogene,RNU1,1.5156777921626827,-0.0240000002086162,0.75,0,0.3906330311571688,-0.006486091530530602
RNU1-20P,Pseudogene,RNU1,1.0077230176801788,-0.20099999755621,0,0,0.3068617857120152,-0.040096353508093034
RNU1-21P,Pseudogene,RNU1,1.3424906824753824,0.246999993920326,0.15,0,0.45873984617707786,-0.008216934538629365
RNU1-23P,Pseudogene,RNU1,1.399019721353865,0.30799999833107,0,0,0.47993868195031036,-0.0034071668869696202
RNU1-24P,Pseudogene,RNU1,1.4314734703758671,-0.123999997973442,0,0,0.355995377076641,-0.014021583596330775
RNU1-29P,Pseudogene,RNU1,1.2680769888133556,0.211999997496605,1.59,0,0.4441207437105722,-0.013263192125588462
RNU1-30P,Pseudogene,RNU1,0.6392812773692297,-0.233999997377396,0.86,0,0.2746998098245249,-0.062167240963888384
RNU1-31P,Pseudogene,RNU1,0.9275632321828916,-0.19200000166893,0.72,0,0.3046978599158749,-0.044378063882542486
RNU1-33P,Pseudogene,RNU1,0.8361956955218505,-0.114000000059605,0.44,0,-0.17595068109168505,0.03271489056994709
RNU1-34P,Pseudogene,RNU1,1.1725585892129031,-0.29899999499321,4.09,0,0.28838227640334746,-0.03367197863249466
RNU1-35P,Pseudogene,RNU1,1.1805115701484947,-0.17399999499321,0,0,0.3253699385773024,-0.029550743147988383
RNU1-36P,Pseudogene,RNU1,1.094656183228604,0.296000003814697,0.44,0,0.4588151723198481,-0.02006871286693109
RNU1-38P,Pseudogene,RNU1,0.9407201574620816,0.305000007152557,0,0,0.3811329697047527,-0.017175130900436524
RNU1-39P,Pseudogene,RNU1,1.1367583441220122,-0.13400000333786,5,0,0.3345273842397772,-0.03081705768636417
RNU1-42P,Pseudogene,RNU1,1.5630427231677666,0.266999989748001,0,0,-0.2659917324856809,0.1011043887962992
RNU1-43P,Pseudogene,RNU1,1.473575631269275,-0.0549999997019768,0,0,0.37887083098339464,-0.009706091848725949
RNU1-44P,Pseudogene,RNU1,0.8736844124046139,-0.208000004291534,0,0,0.29678736959311514,-0.04794044773426484
RNU1-45P,Pseudogene,RNU1,1.330249126100227,0.266999989748001,0,0,0.4638055013715218,-0.008298899701553362
RNU1-46P,Pseudogene,RNU1,1.1436897974398292,0.0255000004544854,0,0,0.3818579368105844,-0.025672448337103644
RNU1-49P,Pseudogene,RNU1,1.2451912679323929,-0.0780000016093254,0,0,0.3577116828817167,-0.023085349852326516
RNU1-51P,Pseudogene,RNU1,1.48015409390887,0.305000007152557,1.08,0,-0.21216215665789204,0.1260216798636233
RNU1-54P,Pseudogene,RNU1,0.9551927752691908,0.309499993920326,0,0,0.45375417172173016,-0.02752216111334818
RNU1-55P,Pseudogene,RNU1,1.165137332319151,0.30799999833107,0.05,0,1.0094858176843629,0.12618258733592397
RNU1-56P,Pseudogene,RNU1,0.7836393056532164,0.0279999997001141,0.57,0,0.29945352007140025,-0.03365055332735415
RNU1-57P,Pseudogene,RNU1,1.0043648020355127,0.319000005722046,0.37,0,0.45966594957125617,-0.024455154731788005
RNU1-58P,Pseudogene,RNU1,1.2572531788261518,0.30799999833107,0.12,0,0.47148577556119425,-0.011004988603890105
RNU1-62P,Pseudogene,RNU1,1.1436897974398292,0.284000009298325,0,0,0.6186448258434712,0.12622869385545413
RNU1-63P,Pseudogene,RNU1,1.016613153279848,-0.131500001996756,0,0,0.32781980614827083,-0.037513251306014905
RNU1-65P,Pseudogene,RNU1,1.5020230372783343,-0.142000004649162,0,0,0.35538987187874127,-0.010574480132970415
RNU1-67P,Pseudogene,RNU1,0.8048187463465466,0.214000001549721,10.7,0,-0.22426531138447175,0.06455907502060179
RNU1-68P,Pseudogene,RNU1,1.2133208353357092,-0.0645000003278255,1.44,0,0.3597011006170275,-0.024466458759045743
RNU1-6P,Pseudogene,RNU1,1.0613253058546563,0.296999990940094,0.69,0,-0.49483371418349054,0.06179160933646412
