Gene,Gene_Type,Gene_group,enrichment_intergenic_dbsnp,PhyloP100_median,ENCODE_max,functional_probability,UMAP1,UMAP2
RNU1-1,Functional,RNU1,3.388710510932828,0.328999996185303,3848.22,0.94,-5.223554706337438,-4.503360636995043
RNU1-100P,Pseudogene,RNU1,0.8841453787615648,0.305000007152557,1.55,0.01,-10.457430934669958,-2.6259008725144524
RNU1-101P,Pseudogene,RNU1,1.2033924727800829,0.437000006437302,0,0,6.013137245414271,-4.448083289430346
RNU1-103P,Pseudogene,RNU1,1.6116707189996529,0.30799999833107,1.58,0,3.284914398429407,-10.989746459291187
RNU1-104P,Pseudogene,RNU1,1.4092194710464945,-0.23199999332428,1.04,0,-1.888434743645178,-10.395840056703296
RNU1-105P,Pseudogene,RNU1,1.4238898513329552,-0.133000001311302,0,0,-1.7452517507099974,-10.393009551332202
RNU1-107P,Pseudogene,RNU1,0.0225547290500399,-0.368000000715256,0,0.39,13.002077961204066,-7.665925391481127
RNU1-108P,Pseudogene,RNU1,2.416297929534712,0.449000000953674,3.46,0.63,1.6699247601008547,4.141035191252027
RNU1-109P,Pseudogene,RNU1,1.4649833535359265,-0.0920000001788139,2.47,0,-1.6767869946980345,-10.384347327516284
RNU1-112P,Pseudogene,RNU1,1.1648692381331596,0.146999999880791,0,0,0.4841942059373988,-10.858087905214038
RNU1-114P,Pseudogene,RNU1,2.050578137489172,-0.0525000002235174,0,0.28,-1.8304062840962279,-9.402378447816577
RNU1-115P,Pseudogene,RNU1,0.6512678013199028,0.252000004053116,0,0,2.98484888100387,-13.193105109498706
RNU1-117P,Pseudogene,RNU1,1.1211698858165415,0.30799999833107,0,0,1.2139232399439943,-9.912452109620776
RNU1-119P,Pseudogene,RNU1,1.3262180681423474,0.300000011920929,0.47,0,0.06925841593505278,-9.510159858033862
RNU1-11P,Pseudogene,RNU1,1.5672786113064328,-0.102000001817942,0.58,0.01,-1.5730200765156614,-10.283682235048023
RNU1-123P,Pseudogene,RNU1,1.128864188954498,-0.211499996483326,0.12,0,0.0893851759410037,-12.658108123109546
RNU1-124P,Pseudogene,RNU1,1.4851900204812496,0.204999998211861,1.32,0,-0.8519673106694089,-9.481642134950366
RNU1-125P,Pseudogene,RNU1,1.4539932308537364,-0.0579999983310699,205.51,0.04,-1.5860205647969114,-10.363940604493823
RNU1-128P,Pseudogene,RNU1,0,-0.0200000004842877,0,0.39,13.002566242454066,-7.666764624879565
RNU1-129P,Pseudogene,RNU1,1.0399485849419603,-0.152999997138977,1.38,0,0.54111181372167,-12.887972243592944
RNU1-130P,Pseudogene,RNU1,0.8466481417158735,0.30799999833107,0,0,2.6353610994792116,-10.115152724549976
RNU1-131P,Pseudogene,RNU1,1.4023157626763951,-0.196999996900558,0,0,-1.8493636605763304,-10.43027342157146
RNU1-132P,Pseudogene,RNU1,0.8048187463465466,0.305000007152557,0.16,0,2.7837509157633913,-10.104239829347339
RNU1-133P,Pseudogene,RNU1,0.7695619528570508,0.26800000667572,0,0,2.826151037452234,-10.126751311586109
