gene_name,promoter_type,gene_type,metric,value
RNU1-1,Type 1,Functional,Motif count,4
RNU1-1,Type 2,Functional,Motif count,85
RNU1-1,Type 3,Functional,Motif count,51
RNU1-100P,Type 1,Pseudogene,Motif count,1
RNU1-148P,Type 1,Pseudogene,Motif count,3
RNU1-3,Type 3,Functional,Motif count,10
RNU1-4,Type 3,Functional,Motif count,5
RNU1-51P,Type 1,Pseudogene,Motif count,3
RNU1-55P,Type 1,Pseudogene,Motif count,1
RNU1-62P,Type 1,Pseudogene,Motif count,4
RNU1-77P,Type 1,Pseudogene,Motif count,1
RNU2-1,Type 1,Functional,Motif count,4
RNU2-1,Type 2,Functional,Motif count,42
RNU2-1,Type 3,Functional,Motif count,34
RNU2-14P,Type 1,Pseudogene,Motif count,1
RNU2-18P,Type 1,Pseudogene,Motif count,3
RNU2-22P,Type 1,Pseudogene,Motif count,5
RNU2-24P,Type 1,Pseudogene,Motif count,4
RNU2-26P,Type 1,Pseudogene,Motif count,3
RNU2-2,Type 1,Functional,Motif count,12
RNU2-2,Type 2,Functional,Motif count,27
RNU2-2,Type 3,Functional,Motif count,24
RNU2-30P,Type 1,Pseudogene,Motif count,8
RNU2-36P,Type 1,Pseudogene,Motif count,5
RNU2-4P,Type 1,Pseudogene,Motif count,7
RNU2-57P,Type 1,Pseudogene,Motif count,3
RNU2-58P,Type 1,Pseudogene,Motif count,5
RNU2-61P,Type 1,Pseudogene,Motif count,5
RNU2-65P,Type 1,Pseudogene,Motif count,6
RNU2-69P,Type 1,Pseudogene,Motif count,2
RNU2-6P,Type 1,Pseudogene,Motif count,2
RNU4-1,Type 1,Functional,Motif count,2
RNU4-1,Type 2,Functional,Motif count,18
RNU4-1,Type 3,Functional,Motif count,16
RNU4-14P,Type 1,Pseudogene,Motif count,2
RNU4-2,Type 1,Functional,Motif count,4
RNU4-2,Type 2,Functional,Motif count,25
RNU4-2,Type 3,Functional,Motif count,22
RNU4-21P,Type 1,Pseudogene,Motif count,2
RNU4-28P,Type 1,Pseudogene,Motif count,2
RNU4-30P,Type 1,Pseudogene,Motif count,1
RNU4-34P,Type 1,Pseudogene,Motif count,2
RNU4-39P,Type 1,Pseudogene,Motif count,4
