Gene,Gene_Type,Gene_group,enrichment_intergenic_dbsnp,PhyloP100_median,ENCODE_max,functional_probability,PC1,PC2
RNU1-101P,Pseudogene,RNU1,1.2033924727800829,0.437000006437302,0,0,0.37761911927471825,0.5517171103914934
RNU1-103P,Pseudogene,RNU1,1.6116707189996529,0.30799999833107,1.58,0,0.3408366560784098,0.7702150204849402
RNU1-104P,Pseudogene,RNU1,1.4092194710464945,-0.23199999332428,1.04,0,0.7118548372025928,1.0718421825736224
RNU1-105P,Pseudogene,RNU1,1.4238898513329552,-0.133000001311302,0,0,0.6930868534277218,1.0763723573903408
RNU1-109P,Pseudogene,RNU1,1.4649833535359265,-0.0920000001788139,2.47,0,0.670807518681836,1.0760122379554622
RNU1-112P,Pseudogene,RNU1,1.1648692381331596,0.146999999880791,0,0,0.7643843433262995,1.1084576012290173
RNU1-115P,Pseudogene,RNU1,0.6512678013199028,0.252000004053116,0,0,0.9635090800148555,1.1471867705242864
RNU1-117P,Pseudogene,RNU1,1.1211698858165415,0.30799999833107,0,0,0.7618196220799897,1.120160498717637
RNU1-119P,Pseudogene,RNU1,1.3262180681423474,0.300000011920929,0.47,0,0.6779687010655847,1.1065752091522303
RNU1-123P,Pseudogene,RNU1,1.128864188954498,-0.211499996483326,0.12,0,0.8252758293461481,1.0909447355331896
RNU1-124P,Pseudogene,RNU1,1.4851900204812496,0.204999998211861,1.32,0,0.6243488688391768,1.0911345092932987
RNU1-129P,Pseudogene,RNU1,1.0399485849419603,-0.152999997138977,1.38,0,0.8545709759198838,1.0998826958926806
RNU1-130P,Pseudogene,RNU1,0.8466481417158735,0.30799999833107,0,0,0.8754519373818646,1.1377583698499716
RNU1-131P,Pseudogene,RNU1,1.4023157626763951,-0.196999996900558,0,0,0.7102269141251284,1.0742168110210881
RNU1-132P,Pseudogene,RNU1,0.8048187463465466,0.305000007152557,0.16,0,0.8931504939041403,1.140274392928259
RNU1-133P,Pseudogene,RNU1,0.7695619528570508,0.26800000667572,0,0,0.9124913002359702,1.1404883044747116
RNU1-134P,Pseudogene,RNU1,1.2841159072489396,0.194999992847443,2.63,0,-0.32984465866609053,-0.7204867476845118
RNU1-136P,Pseudogene,RNU1,1.355484204373131,0.212999999523163,0,0,0.4959192016844713,0.7717181456144299
RNU1-139P,Pseudogene,RNU1,1.3893713094824591,0.238000005483627,0,0,0.6597830824441301,1.0990975208878366
RNU1-140P,Pseudogene,RNU1,1.2630648268022358,-0.101999998092651,0,0,0.7556801923336458,1.0883958172325365
RNU1-141P,Pseudogene,RNU1,0.8133977602982752,0.30799999833107,0.05,0,0.34227602134003243,0.14559814805296206
RNU1-142P,Pseudogene,RNU1,0.6707309769915321,-0.003000000026077,0,0,0.9881641841270801,1.1318402916485768
RNU1-143P,Pseudogene,RNU1,0.9754147891914526,-0.149999998509884,1.44,0,0.8808982539972574,1.1041855983929358
RNU1-146P,Pseudogene,RNU1,1.1999115854621238,0.214000001549721,0.6,0,0.7412820989075123,1.1099174139662669
RNU1-148P,Pseudogene,RNU1,1.3507776619968357,-0.0219999998807907,0.38,0,-0.2853896364957034,-0.3137342742150604
RNU1-149P,Pseudogene,RNU1,1.121852610141116,0.282999992370605,0.33,0,0.3911511336904465,0.3746272868286708
RNU1-150P,Pseudogene,RNU1,1.0077230176801788,-0.197999998927116,0,0,0.8736882936609944,1.0994563930618173
RNU1-151P,Pseudogene,RNU1,1.5838832928100035,-0.034000001847744,0.29,0,0.6141601143698822,1.071590689401773
RNU1-15P,Pseudogene,RNU1,1.2784145729612908,-0.133000001311302,0,0,0.7533031862166288,1.0856978671422615
RNU1-16P,Pseudogene,RNU1,1.1225103567464991,0.306500002741814,4.48,0,0.7614388974535563,1.1200048021768134
RNU1-17P,Pseudogene,RNU1,1.2339810972377103,-0.0469999983906746,0,0,0.7606633572399889,1.0933011142730469
RNU1-18P,Pseudogene,RNU1,1.080151475359839,0.214000001549721,1.14,0,0.7908519920757197,1.1175960722482667
RNU1-19P,Pseudogene,RNU1,1.5156777921626827,-0.0240000002086162,0.75,0,0.6411076202203071,1.0765171640134834
RNU1-20P,Pseudogene,RNU1,1.0077230176801788,-0.20099999755621,0,0,0.8740731342210853,1.0992905247111069
RNU1-21P,Pseudogene,RNU1,1.3424906824753824,0.246999993920326,0.15,0,0.6780331671130814,1.1026007900063557
RNU1-23P,Pseudogene,RNU1,1.399019721353865,0.30799999833107,0,0,0.6468097155904934,1.102349284469584
RNU1-24P,Pseudogene,RNU1,1.4314734703758671,-0.123999997973442,0,0,0.6887932563513852,1.076383824493782
