Gene,Gene_Type,Gene_group,enrichment_intergenic_dbsnp,PhyloP100_median,ENCODE_max,functional_probability,Sammon1,Sammon2
RNU1-101P,Pseudogene,RNU1,1.2033924727800829,0.437000006437302,0,0,-0.3776186238451097,-0.5517179456228214
RNU1-103P,Pseudogene,RNU1,1.6116707189996529,0.30799999833107,1.58,0,-0.34083850201755544,-0.7702150458147131
RNU1-104P,Pseudogene,RNU1,1.4092194710464945,-0.23199999332428,1.04,0,-0.7118544983263472,-1.071842730863078
RNU1-105P,Pseudogene,RNU1,1.4238898513329552,-0.133000001311302,0,0,-0.6930851379335091,-1.076373605443752
RNU1-109P,Pseudogene,RNU1,1.4649833535359265,-0.0920000001788139,2.47,0,-0.6708084812353018,-1.0760127537281095
RNU1-112P,Pseudogene,RNU1,1.1648692381331596,0.146999999880791,0,0,-0.7643843180654157,-1.1084575331551012
RNU1-115P,Pseudogene,RNU1,0.6512678013199028,0.252000004053116,0,0,-0.9635082939638815,-1.1471872031135295
RNU1-117P,Pseudogene,RNU1,1.1211698858165415,0.30799999833107,0,0,-0.7618174991498801,-1.1201601795728509
RNU1-119P,Pseudogene,RNU1,1.3262180681423474,0.300000011920929,0.47,0,-0.6779682820349037,-1.106573621210744
RNU1-123P,Pseudogene,RNU1,1.128864188954498,-0.211499996483326,0.12,0,-0.8252745803166278,-1.090942791664485
RNU1-124P,Pseudogene,RNU1,1.4851900204812496,0.204999998211861,1.32,0,-0.6243487263056292,-1.091134820257056
RNU1-129P,Pseudogene,RNU1,1.0399485849419603,-0.152999997138977,1.38,0,-0.8545693377481233,-1.099883013329457
RNU1-130P,Pseudogene,RNU1,0.8466481417158735,0.30799999833107,0,0,-0.8754516624047192,-1.1377584319793492
RNU1-131P,Pseudogene,RNU1,1.4023157626763951,-0.196999996900558,0,0,-0.7102272815434294,-1.0742162644340978
RNU1-132P,Pseudogene,RNU1,0.8048187463465466,0.305000007152557,0.16,0,-0.8931501751755389,-1.1402759831863338
RNU1-133P,Pseudogene,RNU1,0.7695619528570508,0.26800000667572,0,0,-0.9124896764801138,-1.1404894165943833
RNU1-134P,Pseudogene,RNU1,1.2841159072489396,0.194999992847443,2.63,0,0.3298429050148697,0.7204859767985388
RNU1-136P,Pseudogene,RNU1,1.355484204373131,0.212999999523163,0,0,-0.4959202800283344,-0.7717182266371573
RNU1-139P,Pseudogene,RNU1,1.3893713094824591,0.238000005483627,0,0,-0.6597826592419826,-1.0990987144337054
RNU1-140P,Pseudogene,RNU1,1.2630648268022358,-0.101999998092651,0,0,-0.755681016996488,-1.0883955221877708
RNU1-141P,Pseudogene,RNU1,0.8133977602982752,0.30799999833107,0.05,0,-0.34227576941222193,-0.1455982545733642
RNU1-142P,Pseudogene,RNU1,0.6707309769915321,-0.003000000026077,0,0,-0.9881633989657899,-1.1318397165945435
RNU1-143P,Pseudogene,RNU1,0.9754147891914526,-0.149999998509884,1.44,0,-0.8808984347782317,-1.104187425108579
RNU1-146P,Pseudogene,RNU1,1.1999115854621238,0.214000001549721,0.6,0,-0.7412810235377976,-1.10991617819283
RNU1-148P,Pseudogene,RNU1,1.3507776619968357,-0.0219999998807907,0.38,0,0.2853886773495473,0.3137340522341491
