Gene,Gene_Type,Gene_group,enrichment_intergenic_dbsnp,PhyloP100_median,ENCODE_max,functional_probability,tSNE1,tSNE2
RNU1-1,Functional,RNU1,3.388710510932828,0.328999996185303,3848.22,0.94,5.525929883841673,4.48235950210535
RNU1-100P,Pseudogene,RNU1,0.8841453787615648,0.305000007152557,1.55,0.01,17.335268298416263,30.281644995819843
RNU1-101P,Pseudogene,RNU1,1.2033924727800829,0.437000006437302,0,0,8.9357846143262325,-21.072053930003026
RNU1-103P,Pseudogene,RNU1,1.6116707189996529,0.30799999833107,1.58,0,-15.396722109327198,14.786574262826008
RNU1-104P,Pseudogene,RNU1,1.4092194710464945,-0.23199999332428,1.04,0,-27.244038819314092,23.630573876153143
RNU1-105P,Pseudogene,RNU1,1.4238898513329552,-0.133000001311302,0,0,-26.413697195227016,23.12927135841269
RNU1-107P,Pseudogene,RNU1,0.0225547290500399,-0.368000000715256,0,0.39,-16.288988080592198,9.188133506528711
RNU1-108P,Pseudogene,RNU1,2.416297929534712,0.449000000953674,3.46,0.63,0.50175144848214,-30.20188350012137
RNU1-109P,Pseudogene,RNU1,1.4649833535359265,-0.0920000001788139,2.47,0,-26.144277324787463,22.417533911253283
RNU1-112P,Pseudogene,RNU1,1.1648692381331596,0.146999999880791,0,0,-16.546675706597988,25.42021332266582
RNU1-114P,Pseudogene,RNU1,2.050578137489172,-0.0525000002235174,0,0.28,-27.137164780362404,17.73690072757485
RNU1-115P,Pseudogene,RNU1,0.6512678013199028,0.252000004053116,0,0,-5.072976921260574,31.703356803744462
RNU1-117P,Pseudogene,RNU1,1.1211698858165415,0.30799999833107,0,0,-10.222179410149822,22.02120506909164
RNU1-119P,Pseudogene,RNU1,1.3262180681423474,0.300000011920929,0.47,0,-17.553286244068794,18.848213731283924
RNU1-11P,Pseudogene,RNU1,1.5672786113064328,-0.102000001817942,0.58,0.01,-30.20776420547178,21.105978799715054
RNU1-123P,Pseudogene,RNU1,1.128864188954498,-0.211499996483326,0.12,0,-20.923502222097806,32.290558628999335
RNU1-124P,Pseudogene,RNU1,1.4851900204812496,0.204999998211861,1.32,0,-21.331924289277847,18.195583988522106
RNU1-125P,Pseudogene,RNU1,1.4539932308537364,-0.0579999983310699,205.51,0.04,-25.73050213446127,22.406684153767387
RNU1-128P,Pseudogene,RNU1,0,-0.0200000004842877,0,0.39,-16.368248895506728,9.18253609103595
RNU1-129P,Pseudogene,RNU1,1.0399485849419603,-0.152999997138977,1.38,0,-18.496742196549143,33.41598148997989
RNU1-130P,Pseudogene,RNU1,0.8466481417158735,0.30799999833107,0,0,-5.278166632676014,26.988155869403805
RNU1-131P,Pseudogene,RNU1,1.4023157626763951,-0.196999996900558,0,0,-27.03178224075765,23.614290367774974
RNU1-132P,Pseudogene,RNU1,0.8048187463465466,0.305000007152557,0.16,0,-5.055724986477861,27.762525082471033
RNU1-133P,Pseudogene,RNU1,0.7695619528570508,0.26800000667572,0,0,-5.0550147964548,28.659312135603145
RNU1-134P,Pseudogene,RNU1,1.2841159072489396,0.194999992847443,2.63,0,34.04678215955164,-18.420769399505485
RNU1-136P,Pseudogene,RNU1,1.355484204373131,0.212999999523163,0,0,-14.203996742029137,15.438987380335838
RNU1-138P,Pseudogene,RNU1,0.6777421021865655,0.266999989748001,0,0.02,-8.6477628120975,28.90733235246207
RNU1-139P,Pseudogene,RNU1,1.3893713094824591,0.238000005483627,0,0,-19.49480469329336,19.08981754522296
