Gene,Gene_Type,Gene_group,enrichment_intergenic_dbsnp,PhyloP100_median,ENCODE_max,functional_probability,MDS1,MDS2
RNU1-101P,Pseudogene,RNU1,1.2033924727800829,0.437000006437302,0,0,-0.37761911927477865,-0.5517171103914609
RNU1-103P,Pseudogene,RNU1,1.6116707189996529,0.30799999833107,1.58,0,-0.340836656078463,-0.7702150204849103
RNU1-104P,Pseudogene,RNU1,1.4092194710464945,-0.23199999332428,1.04,0,-0.7118548372026505,-1.0718421825735562
RNU1-105P,Pseudogene,RNU1,1.4238898513329552,-0.133000001311302,0,0,-0.6930868534277794,-1.0763723573903083
RNU1-109P,Pseudogene,RNU1,1.4649833535359265,-0.0920000001788139,2.47,0,-0.6708075186818927,-1.076012237955421
RNU1-112P,Pseudogene,RNU1,1.1648692381331596,0.146999999880791,0,0,-0.7643843433263596,-1.108457601228974
RNU1-115P,Pseudogene,RNU1,0.6512678013199028,0.252000004053116,0,0,-0.9635090800149154,-1.1471867705242416
RNU1-117P,Pseudogene,RNU1,1.1211698858165415,0.30799999833107,0,0,-0.7618196220800475,-1.1201604987175944
RNU1-119P,Pseudogene,RNU1,1.3262180681423474,0.300000011920929,0.47,0,-0.6779687010656433,-1.106575209152188
RNU1-123P,Pseudogene,RNU1,1.128864188954498,-0.211499996483326,0.12,0,-0.8252758293462046,-1.0909447355331474
RNU1-124P,Pseudogene,RNU1,1.4851900204812496,0.204999998211861,1.32,0,-0.624348868839234,-1.0911345092932576
RNU1-129P,Pseudogene,RNU1,1.0399485849419603,-0.152999997138977,1.38,0,-0.8545709759199422,-1.0998826958926378
RNU1-130P,Pseudogene,RNU1,0.8466481417158735,0.30799999833107,0,0,-0.8754519373819235,-1.1377583698499276
RNU1-131P,Pseudogene,RNU1,1.4023157626763951,-0.196999996900558,0,0,-0.7102269141251862,-1.0742168110210466
RNU1-132P,Pseudogene,RNU1,0.8048187463465466,0.305000007152557,0.16,0,-0.8931504939041992,-1.1402743929282153
RNU1-133P,Pseudogene,RNU1,0.7695619528570508,0.26800000667572,0,0,-0.9124913002360311,-1.1404883044746663
RNU1-134P,Pseudogene,RNU1,1.2841159072489396,0.194999992847443,2.63,0,0.32984465866603807,0.7204867476845516
RNU1-136P,Pseudogene,RNU1,1.355484204373131,0.212999999523163,0,0,-0.4959192016845292,-0.7717181456143886
RNU1-139P,Pseudogene,RNU1,1.3893713094824591,0.238000005483627,0,0,-0.6597830824441911,-1.0990975208877931
RNU1-140P,Pseudogene,RNU1,1.2630648268022358,-0.101999998092651,0,0,-0.7556801923337023,-1.0883958172324957
RNU1-141P,Pseudogene,RNU1,0.8133977602982752,0.30799999833107,0.05,0,-0.3422760213400887,-0.14559814805291799
RNU1-142P,Pseudogene,RNU1,0.6707309769915321,-0.003000000026077,0,0,-0.9881641841271377,-1.1318402916485324
RNU1-143P,Pseudogene,RNU1,0.9754147891914526,-0.149999998509884,1.44,0,-0.8808982539973141,-1.1041855983928932
RNU1-146P,Pseudogene,RNU1,1.1999115854621238,0.214000001549721,0.6,0,-0.7412820989075698,-1.109917413966225
RNU1-148P,Pseudogene,RNU1,1.3507776619968357,-0.0219999998807907,0.38,0,0.2853896364956504,0.31373427421509525
RNU1-149P,Pseudogene,RNU1,1.121852610141116,0.282999992370605,0.33,0,-0.39115113369050414,-0.37462728682862745
RNU1-150P,Pseudogene,RNU1,1.0077230176801788,-0.197999998927116,0,0,-0.8736882936610526,-1.0994563930617742
RNU1-151P,Pseudogene,RNU1,1.5838832928100035,-0.034000001847744,0.29,0,-0.6141601143699406,-1.0715906894017315
RNU1-15P,Pseudogene,RNU1,1.2784145729612908,-0.133000001311302,0,0,-0.7533031862166867,-1.0856978671422195
