Gene,Gene_Type,Gene_group,enrichment_intergenic_dbsnp,PhyloP100_median,ENCODE_max,functional_probability,LD1,LD2,Match_Group
RNU1-1,Functional,RNU1,3.388710510932828,0.328999996185303,3848.22,0.94,-2.80608728412914,-3.837444220726234,True Functional
RNU1-100P,Pseudogene,RNU1,0.8841453787615648,0.305000007152557,1.55,0.01,-0.20466377063793498,-0.4145729362050396,True Pseudogene
RNU1-101P,Pseudogene,RNU1,1.2033924727800829,0.437000006437302,0,0,-0.7374024715910639,0.16823193963156882,True Pseudogene
RNU1-103P,Pseudogene,RNU1,1.6116707189996529,0.30799999833107,1.58,0,-0.988317446645804,-0.14079543439549314,True Pseudogene
RNU1-104P,Pseudogene,RNU1,1.4092194710464945,-0.23199999332428,1.04,0,0.5261096554443874,-0.5239012548365561,True Pseudogene
RNU1-105P,Pseudogene,RNU1,1.4238898513329552,-0.133000001311302,0,0,0.29122972216209647,-0.4405400341718644,True Pseudogene
RNU1-107P,Pseudogene,RNU1,0.0225547290500399,-0.368000000715256,0,0.39,2.021404969794439,-0.07389028081011814,True Pseudogene
RNU1-108P,Pseudogene,RNU1,2.416297929534712,0.449000000953674,3.46,0.63,-1.717978609095068,-0.16522421208333643,False Pseudogene
RNU1-109P,Pseudogene,RNU1,1.4649833535359265,-0.0920000001788139,2.47,0,0.1639061809821985,-0.4204848447275078,True Pseudogene
RNU1-112P,Pseudogene,RNU1,1.1648692381331596,0.146999999880791,0,0,-0.11520164820336858,-0.08062651320695985,True Pseudogene
RNU1-114P,Pseudogene,RNU1,2.050578137489172,-0.0525000002235174,0,0.28,-0.4272962570971071,-0.6267230129210567,True Pseudogene
RNU1-115P,Pseudogene,RNU1,0.6512678013199028,0.252000004053116,0,0,0.08976692041652291,0.22639038865439984,True Pseudogene
RNU1-117P,Pseudogene,RNU1,1.1211698858165415,0.30799999833107,0,0,-0.4392061389897682,0.08284860521003941,True Pseudogene
RNU1-119P,Pseudogene,RNU1,1.3262180681423474,0.300000011920929,0.47,0,-0.597199372659494,-0.009086026905860205,True Pseudogene
RNU1-11P,Pseudogene,RNU1,1.5672786113064328,-0.102000001817942,0.58,0.01,0.007239301029671636,-0.4725351475856322,True Pseudogene
RNU1-123P,Pseudogene,RNU1,1.128864188954498,-0.211499996483326,0.12,0,0.7206584376291035,-0.3895653263174813,True Pseudogene
RNU1-124P,Pseudogene,RNU1,1.4851900204812496,0.204999998211861,1.32,0,-0.5203068696994813,-0.16056837023589632,True Pseudogene
RNU1-125P,Pseudogene,RNU1,1.4539932308537364,-0.0579999983310699,205.51,0.04,0.0969628594921171,-0.3853564838035384,True Pseudogene
RNU1-128P,Pseudogene,RNU1,0,-0.0200000004842877,0,0.39,1.2593725386242431,0.24975630495147524,True Pseudogene
RNU1-129P,Pseudogene,RNU1,1.0399485849419603,-0.152999997138977,1.38,0,0.6656046788988536,-0.299993973856439,True Pseudogene
RNU1-130P,Pseudogene,RNU1,0.8466481417158735,0.30799999833107,0,0,-0.20363339878974224,0.19625756211968365,True Pseudogene
