gene_name,expected_promoter,contains_type1_promoter,contains_type2_promoter,contains_type3_promoter,gene_group
RNU1-1,None,True,True,True,RNU1
RNU1-100P,None,True,True,True,RNU1
RNU1-101P,None,False,True,True,RNU1
RNU1-103P,None,False,True,False,RNU1
RNU1-104P,None,False,False,False,RNU1
RNU1-105P,None,False,False,False,RNU1
RNU1-107P,None,False,False,False,RNU1
RNU1-108P,None,False,True,True,RNU1
RNU1-109P,None,False,False,False,RNU1
RNU1-112P,None,False,False,False,RNU1
RNU1-114P,None,False,False,False,RNU1
RNU1-115P,None,False,False,False,RNU1
RNU1-116P,None,False,False,False,RNU1
RNU1-117P,None,False,False,False,RNU1
RNU1-119P,None,False,False,False,RNU1
RNU1-11P,None,False,True,False,RNU1
RNU1-123P,None,False,False,False,RNU1
RNU1-124P,None,False,False,False,RNU1
RNU1-125P,None,False,False,False,RNU1
RNU1-128P,None,False,False,False,RNU1
RNU1-129P,None,False,False,False,RNU1
RNU1-130P,None,False,False,False,RNU1
RNU1-131P,None,False,False,False,RNU1
RNU1-132P,None,False,False,False,RNU1
RNU1-133P,None,False,False,False,RNU1
RNU1-134P,None,False,True,True,RNU1
RNU1-136P,None,False,True,False,RNU1
RNU1-138P,None,False,True,False,RNU1
RNU1-139P,None,False,False,False,RNU1
RNU1-140P,None,False,False,False,RNU1
RNU1-141P,None,False,True,True,RNU1
RNU1-142P,None,False,False,False,RNU1
RNU1-143P,None,False,False,False,RNU1
RNU1-146P,None,False,False,False,RNU1
RNU1-148P,None,True,True,True,RNU1
RNU1-149P,None,False,True,True,RNU1
RNU1-14P,None,False,True,False,RNU1
RNU1-150P,None,False,False,False,RNU1
RNU1-151P,None,False,False,False,RNU1
RNU1-153P,None,False,False,False,RNU1
RNU1-154P,None,False,False,False,RNU1
RNU1-155P,None,False,False,False,RNU1
RNU1-15P,None,False,False,False,RNU1
RNU1-16P,None,False,False,False,RNU1
RNU1-17P,None,False,False,False,RNU1
RNU1-18P,None,False,False,False,RNU1
RNU1-19P,None,False,False,False,RNU1
RNU1-2,None,False,True,False,RNU1
RNU1-20P,None,False,False,False,RNU1
RNU1-21P,None,False,False,False,RNU1
RNU1-22P,None,False,True,False,RNU1
RNU1-23P,None,False,False,False,RNU1
RNU1-24P,None,False,False,False,RNU1
RNU1-27P,None,False,False,False,RNU1
RNU1-28P,None,False,False,False,RNU1
RNU1-29P,None,False,False,False,RNU1
RNU1-3,None,False,True,True,RNU1
RNU1-30P,None,False,False,False,RNU1
RNU1-31P,None,False,False,False,RNU1
RNU1-32P,None,False,False,False,RNU1
RNU1-33P,None,False,True,True,RNU1
RNU1-34P,None,False,False,False,RNU1
RNU1-35P,None,False,False,False,RNU1
RNU1-36P,None,False,False,False,RNU1
RNU1-38P,None,False,True,False,RNU1
RNU1-39P,None,False,False,False,RNU1
RNU1-4,None,False,True,True,RNU1
RNU1-40P,None,False,False,False,RNU1
RNU1-41P,None,False,False,False,RNU1
RNU1-42P,None,False,True,True,RNU1
RNU1-43P,None,False,False,False,RNU1
RNU1-44P,None,False,False,False,RNU1
RNU1-45P,None,False,False,False,RNU1
RNU1-46P,None,False,False,False,RNU1
RNU1-47P,None,False,True,False,RNU1
RNU1-48P,None,False,False,False,RNU1
RNU1-49P,None,False,False,False,RNU1
RNU1-51P,None,True,False,False,RNU1
RNU1-52P,None,False,False,False,RNU1
RNU1-54P,None,False,False,False,RNU1
RNU1-55P,None,True,True,True,RNU1
RNU1-56P,None,False,True,False,RNU1
RNU1-57P,None,False,False,False,RNU1
RNU1-58P,None,False,False,False,RNU1
RNU1-5P,None,False,False,False,RNU1
RNU1-61P,None,False,False,False,RNU1
RNU1-62P,None,True,True,True,RNU1
RNU1-63P,None,False,False,False,RNU1
RNU1-64P,None,False,False,False,RNU1
RNU1-65P,None,False,False,False,RNU1
RNU1-67P,None,False,True,True,RNU1
RNU1-68P,None,False,False,False,RNU1
RNU1-6P,None,False,False,True,RNU1
RNU1-70P,None,False,False,False,RNU1
RNU1-72P,None,False,False,False,RNU1
RNU1-73P,None,False,False,False,RNU1
RNU1-74P,None,False,True,False,RNU1
RNU1-75P,None,False,False,False,RNU1
RNU1-76P,None,False,False,False,RNU1
RNU1-77P,None,True,True,True,RNU1
RNU1-78P,None,False,True,False,RNU1
RNU1-79P,None,False,False,False,RNU1
RNU1-7P,None,False,True,True,RNU1
RNU1-80P,None,False,True,True,RNU1
RNU1-82P,None,False,False,False,RNU1
RNU1-83P,None,False,False,False,RNU1
RNU1-84P,None,False,True,True,RNU1
RNU1-86P,None,False,False,False,RNU1
RNU1-88P,None,False,False,False,RNU1
RNU1-89P,None,False,False,False,RNU1
RNU1-8P,None,False,True,True,RNU1
RNU1-91P,None,False,False,False,RNU1
RNU1-93P,None,False,False,False,RNU1
RNU1-94P,None,False,False,False,RNU1
RNU1-95P,None,False,False,False,RNU1
RNU1-96P,None,False,False,False,RNU1
RNU1-97P,None,False,False,False,RNU1
RNU1-98P,None,False,False,False,RNU1
RNU2-1,None,True,True,True,RNU2
RNU2-10P,None,False,False,False,RNU2
RNU2-11P,None,False,True,True,RNU2
RNU2-12P,None,False,False,False,RNU2
RNU2-13P,None,False,True,False,RNU2
RNU2-14P,None,True,True,True,RNU2
RNU2-15P,None,False,False,False,RNU2
RNU2-16P,None,False,True,True,RNU2
RNU2-17P,None,False,False,False,RNU2
RNU2-18P,None,True,True,True,RNU2
RNU2-19P,None,False,False,False,RNU2
RNU2-20P,None,False,False,False,RNU2
RNU2-21P,None,False,False,False,RNU2
RNU2-22P,None,True,True,True,RNU2
RNU2-23P,None,False,False,False,RNU2
RNU2-24P,None,True,True,True,RNU2
RNU2-25P,None,False,False,False,RNU2
RNU2-26P,None,True,True,True,RNU2
RNU2-27P,None,False,False,False,RNU2
RNU2-28P,None,False,False,False,RNU2
RNU2-29P,None,False,False,False,RNU2
RNU2-2P,None,False,False,False,RNU2
RNU2-30P,None,True,True,True,RNU2
RNU2-31P,None,False,False,False,RNU2
RNU2-32P,None,False,True,False,RNU2
RNU2-33P,None,False,True,False,RNU2
RNU2-34P,None,False,False,False,RNU2
RNU2-35P,None,False,True,True,RNU2
RNU2-36P,None,True,True,True,RNU2
RNU2-37P,None,False,False,False,RNU2
RNU2-38P,None,False,False,False,RNU2
RNU2-39P,None,False,False,False,RNU2
RNU2-3P,None,False,False,False,RNU2
RNU2-40P,None,False,False,False,RNU2
RNU2-41P,None,False,False,False,RNU2
RNU2-42P,None,False,False,False,RNU2
RNU2-43P,None,False,False,False,RNU2
RNU2-44P,None,False,False,False,RNU2
RNU2-45P,None,False,True,True,RNU2
RNU2-46P,None,False,False,False,RNU2
RNU2-47P,None,False,True,True,RNU2
RNU2-48P,None,False,False,False,RNU2
RNU2-49P,None,False,False,False,RNU2
RNU2-4P,None,True,False,False,RNU2
RNU2-50P,None,False,False,False,RNU2
RNU2-51P,None,False,True,True,RNU2
RNU2-52P,None,False,False,False,RNU2
RNU2-53P,None,False,True,True,RNU2
RNU2-54P,None,False,False,False,RNU2
RNU2-55P,None,False,False,False,RNU2
RNU2-56P,None,False,False,False,RNU2
RNU2-57P,None,True,True,True,RNU2
RNU2-58P,None,True,True,True,RNU2
