"Gene","PhastCons30_median","PhyloP100_median","PhyloP447_median","GTEX_max","ENCODE_max","Gene_Type","Gene_group","PC1","PC2","PC3","PC4","PC5"
"RNU1-1",0.996499985456467,0.328999996185303,0.0445000007748604,19,4155.67,"Functional","RNU1",-3.36420383372991,-1.58563013335009,-0.141740584001995,-3.50864080018571,-3.04479985622447
"RNU1-100P",0.0040000001899898,0.305000007152557,0.0450000017881393,8,1.55,"Pseudogene","RNU1",0.284505671292523,0.186571091507592,0.0347238481346607,0.409944392392225,-0.00844782202040174
"RNU1-101P",0.00600000005215406,0.437000006437302,0.0230000000447035,2,0,"Pseudogene","RNU1",0.168291091547621,0.268315314637314,0.0343992895624255,0.560260627283753,-0.141235817894098
"RNU1-103P",0.0140000004321337,0.30799999833107,0.0799999982118607,37,1.88,"Pseudogene","RNU1",0.203863008607234,0.156176800416372,0.0327471343638696,0.377132694710475,0.0123607008410665
"RNU1-104P",0.00600000005215406,-0.23199999332428,0.323000013828278,1,0,"Pseudogene","RNU1",0.505284964571811,-0.271155178629228,0.0291395462121996,-0.209365215911998,0.780136110794401
"RNU1-105P",0.00300000002607703,-0.133000001311302,0.0649999976158142,1,0,"Pseudogene","RNU1",0.711165901812138,-0.0707426818929177,0.0362167455866318,-0.11755734177038,0.334951926277957
"RNU1-107P",0.00600000005215406,-0.368000000715256,0.0640000030398369,3,0,"Pseudogene","RNU1",0.940418369963755,-0.207894531164967,0.0369239412706653,-0.416962576939673,0.491225858818937
"RNU1-108P",0.0020000000949949,0.449000000953674,1.182000041008,1,1.13,"Pseudogene","RNU1",-1.15747176303666,-0.342886415754915,0.00290040147969155,0.775511789217564,1.58758319526117
"RNU1-109P",0.0089999996125698,-0.0920000001788139,0.046000000089407,3,4.09,"Pseudogene","RNU1",0.669239630874617,-0.0478488408912851,0.0357217078898695,-0.0944986710214113,0.259400848017894
"RNU1-112P",0.0775000005960464,0.146999999880791,0.195999994874001,0,0,"Pseudogene","RNU1",0.00405771836607642,-0.117955467956125,0.0211598373616446,-0.0506834023809118,0.104496229603945
"RNU1-114P",0.00100000004749745,-0.0525000002235174,-1.4899999499321,0,0,"Pseudogene","RNU1",2.41859252236287,0.816704050802505,0.0790010282237645,-0.258837750132443,-2.03081451361005
"RNU1-115P",0.612499982118607,0.252000004053116,0.462000012397766,0,0,"Pseudogene","RNU1",-2.36160552301465,-1.16735117025445,-0.0596417403621221,-2.00721519371207,-1.20182002824113
"RNU1-117P",0.00999999977648258,0.30799999833107,0.12899999320507,1,0,"Pseudogene","RNU1",0.16350748739341,0.130973416535787,0.0315009757843902,0.403686549084009,0.0958991785072265
"RNU1-119P",0.0020000000949949,0.300000011920929,0.0219999998807907,1,0.47,"Pseudogene","RNU1",0.323486766380404,0.198595003179225,0.0355751301771042,0.408676650328426,-0.033355413075418
"RNU1-11P",0.0040000001899898,-0.102000001817942,0.0435000006109476,4,0.75,"Pseudogene","RNU1",0.700508512018595,-0.0429588442218417,0.0365638583587775,-0.0873144607502744,0.278033091082199
"RNU1-123P",0.00499999988824129,-0.211499996483326,-0.0199999995529652,97,2.68,"Pseudogene","RNU1",0.877979960108895,-0.0568245921477736,0.039841003814021,-0.242557614929079,0.262246187647401
"RNU1-124P",0.0590000003576279,0.204999998211861,0.0329999998211861,6,1.32,"Pseudogene","RNU1",0.199203564391969,0.0370526032544229,0.027980473076878,0.0673108138684626,-0.122755012358054
"RNU1-125P",0.0189999993890524,-0.0579999983310699,0.200000002980232,237,51.23,"Pseudogene","RNU1",0.413916665320588,-0.0907608654397561,0.0324732216176349,-0.0866813231892323,0.444284751741893
"RNU1-128P",0.185000002384186,-0.0200000004842877,0.0640000030398369,0,0,"Pseudogene","RNU1",-0.0673614864173882,-0.334951684042827,0.0108900290702509,-0.703204061553471,-0.300522410092527
"RNU1-129P",0.00300000002607703,-0.152999997138977,-1.47099995613098,35,0,"Pseudogene","RNU1",2.49062466160258,0.751964275637182,0.0791051651646484,-0.389335701149033,-1.93575682837052
"RNU1-130P",0.0109999999403954,0.30799999833107,0.0869999974966049,1,0,"Pseudogene","RNU1",0.207986457241141,0.151819009601874,0.032522947717874,0.393020740104303,0.0303382910893983
"RNU1-131P",0.00499999988824129,-0.196999996900558,0.462000012397766,1,0,"Pseudogene","RNU1",0.314030615927014,-0.324560121545052,0.025283838474976,-0.140480872099395,0.965241758093092
"RNU1-132P",0.0040000001899898,0.305000007152557,0.00350000010803342,5,0,"Pseudogene","RNU1",0.332162859969752,0.208450644938884,0.0358455452150036,0.403571611717436,-0.0703529659580359
"RNU1-133P",0.0900000035762787,0.26800000667572,0.460999995470047,1,0,"Pseudogene","RNU1",-0.468440945237036,-0.214968269343497,0.011610712486009,0.0896021719335391,0.37508417738185
"RNU1-134P",0.0120000001043081,0.194999992847443,-0.375,3,2.23,"Pseudogene","RNU1",0.848698153536409,0.335729618084351,0.0456437118925821,0.177218246183951,-0.580111718997811
"RNU1-136P",0.0130000002682209,0.212999999523163,0.449499994516373,1,0,"Pseudogene","RNU1",-0.118067655207844,-0.100886776335257,0.0226818641189576,0.326721432992047,0.631277472180134
"RNU1-138P",0.017000000923872,0.266999989748001,-0.018499999307096,10,0,"Pseudogene","RNU1",0.348397111019101,0.176250199345334,0.0349144468621946,0.301548938511517,-0.115462850285851
"RNU1-139P",0.0109999999403954,0.238000005483627,-0.111000001430511,2,0,"Pseudogene","RNU1",0.506088122945712,0.219261318875862,0.0383134934170852,0.275867540564537,-0.214661758054652
