"Gene","PhastCons30_median","PhyloP100_median","PhyloP447_median","GTEX_max","ENCODE_max","Gene_Type","Gene_group","source","snp_density","enrichment_intergenic","Gene_Type_combined","Gene_group_f","y_num","y_offset","y_pos","q1","q3","iqr","is_outlier"
"RNU1-61P",0.0020000000949949,0.397000014781952,-0.880999982357025,14,0.15,"Pseudogene","RNU1","dbsnp",0.708609271523179,2.46130347871893,"RNU1.Pseudogene","RNU1",16,-0.15,15.85,0.915721999431621,1.35756316787677,0.44184116844515,TRUE
"RNU1-108P",0.0020000000949949,0.449000000953674,1.182000041008,1,3.46,"Pseudogene","RNU1","dbsnp",0.695652173913043,2.41629792953471,"RNU1.Pseudogene","RNU1",16,-0.15,15.85,0.915721999431621,1.35756316787677,0.44184116844515,TRUE
"RNU1-114P",0.0010000000474974,-0.0525000002235174,-1.4899999499321,0,0,"Pseudogene","RNU1","dbsnp",0.590361445783133,2.05057813748917,"RNU1.Pseudogene","RNU1",16,-0.15,15.85,0.915721999431621,1.35756316787677,0.44184116844515,TRUE
"RNU1-86P",0.0020000000949949,-0.295000001788139,0.0640000030398369,2,0,"Pseudogene","RNU1","dbsnp",0.0129870129870129,0.0451094581000798,"RNU1.Pseudogene","RNU1",16,-0.15,15.85,0.915721999431621,1.35756316787677,0.44184116844515,TRUE
"RNU1-48P",0.0040000001899898,-0.0410000011324883,0.0640000030398369,14,0.41,"Pseudogene","RNU1","dbsnp",0.0123456790123456,0.042881830539582,"RNU1.Pseudogene","RNU1",16,-0.15,15.85,0.915721999431621,1.35756316787677,0.44184116844515,TRUE
"RNU1-107P",0.006000000052154,-0.368000000715256,0.0640000030398369,3,0,"Pseudogene","RNU1","dbsnp",0.0064935064935064,0.0225547290500399,"RNU1.Pseudogene","RNU1",16,-0.15,15.85,0.915721999431621,1.35756316787677,0.44184116844515,TRUE
"RNU1-128P",0.185000002384186,-0.0200000004842877,0.0640000030398369,0,0,"Pseudogene","RNU1","dbsnp",0,0,"RNU1.Pseudogene","RNU1",16,-0.15,15.85,0.915721999431621,1.35756316787677,0.44184116844515,TRUE
"RNU1-27P",0.346000000834465,0.898999989032745,2.00200003385544,47,6836.16,"Pseudogene","RNU1","dbsnp",0,0,"RNU1.Pseudogene","RNU1",16,-0.15,15.85,0.915721999431621,1.35756316787677,0.44184116844515,TRUE
"RNU1-28P",0.438500002026558,1.32599997520447,2.4264999628067,3,6836.16,"Pseudogene","RNU1","dbsnp",0,0,"RNU1.Pseudogene","RNU1",16,-0.15,15.85,0.915721999431621,1.35756316787677,0.44184116844515,TRUE
"RNU1-40P",0.0140000004321337,-0.116500001400709,0.0640000030398369,0,0,"Pseudogene","RNU1","dbsnp",0,0,"RNU1.Pseudogene","RNU1",16,-0.15,15.85,0.915721999431621,1.35756316787677,0.44184116844515,TRUE
