"gene_name","expected_promoter","contains_type1_promoter","contains_type2_promoter","contains_type3_promoter","gene_group","locus_type","gene_type","enrichment_intergenic_dbsnp"
"RNU1-1","",True,True,True,"RNU1","RNA, small nuclear","functional",3.388710510932828
"RNU1-100P","",True,True,True,"RNU1","pseudogene","pseudogene",0.8841453787615648
"RNU1-101P","",False,True,True,"RNU1","pseudogene","pseudogene",1.2033924727800829
"RNU1-103P","",False,True,False,"RNU1","pseudogene","pseudogene",1.6116707189996529
"RNU1-104P","",False,False,False,"RNU1","pseudogene","pseudogene",1.4092194710464945
"RNU1-105P","",False,False,False,"RNU1","pseudogene","pseudogene",1.4238898513329552
"RNU1-107P","",False,False,False,"RNU1","pseudogene","pseudogene",0.0225547290500399
"RNU1-108P","",False,True,True,"RNU1","pseudogene","pseudogene",2.416297929534712
"RNU1-109P","",False,False,False,"RNU1","pseudogene","pseudogene",1.4649833535359265
"RNU1-112P","",False,False,False,"RNU1","pseudogene","pseudogene",1.1648692381331596
"RNU1-114P","",False,False,False,"RNU1","pseudogene","pseudogene",2.050578137489172
"RNU1-115P","",False,False,False,"RNU1","pseudogene","pseudogene",0.6512678013199028
"RNU1-116P","",False,False,False,"RNU1","pseudogene","pseudogene",""
"RNU1-117P","",False,False,False,"RNU1","pseudogene","pseudogene",1.1211698858165415
"RNU1-119P","",False,False,False,"RNU1","pseudogene","pseudogene",1.3262180681423474
"RNU1-11P","",False,True,False,"RNU1","pseudogene","pseudogene",1.5672786113064328
"RNU1-123P","",False,False,False,"RNU1","pseudogene","pseudogene",1.128864188954498
"RNU1-124P","",False,False,False,"RNU1","pseudogene","pseudogene",1.4851900204812496
"RNU1-125P","",False,False,False,"RNU1","pseudogene","pseudogene",1.4539932308537364
"RNU1-128P","",False,False,False,"RNU1","pseudogene","pseudogene",0.0
"RNU1-129P","",False,False,False,"RNU1","pseudogene","pseudogene",1.0399485849419603
"RNU1-130P","",False,False,False,"RNU1","pseudogene","pseudogene",0.8466481417158735
"RNU1-131P","",False,False,False,"RNU1","pseudogene","pseudogene",1.4023157626763951
"RNU1-132P","",False,False,False,"RNU1","pseudogene","pseudogene",0.8048187463465466
"RNU1-133P","",False,False,False,"RNU1","pseudogene","pseudogene",0.7695619528570508
"RNU1-134P","",False,True,True,"RNU1","pseudogene","pseudogene",1.2841159072489396
"RNU1-136P","",False,True,False,"RNU1","pseudogene","pseudogene",1.355484204373131
"RNU1-138P","",False,True,False,"RNU1","pseudogene","pseudogene",0.6777421021865655
"RNU1-139P","",False,False,False,"RNU1","pseudogene","pseudogene",1.3893713094824591
"RNU1-140P","",False,False,False,"RNU1","pseudogene","pseudogene",1.2630648268022358
"RNU1-141P","",False,True,True,"RNU1","pseudogene","pseudogene",0.8133977602982752
"RNU1-142P","",False,False,False,"RNU1","pseudogene","pseudogene",0.6707309769915321
"RNU1-143P","",False,False,False,"RNU1","pseudogene","pseudogene",0.9754147891914526
"RNU1-146P","",False,False,False,"RNU1","pseudogene","pseudogene",1.1999115854621238
"RNU1-148P","",True,True,True,"RNU1","pseudogene","pseudogene",1.3507776619968357
"RNU1-149P","",False,True,True,"RNU1","pseudogene","pseudogene",1.121852610141116
"RNU1-14P","",False,True,False,"RNU1","pseudogene","pseudogene",1.5539021224474874
"RNU1-150P","",False,False,False,"RNU1","pseudogene","pseudogene",1.0077230176801788
"RNU1-151P","",False,False,False,"RNU1","pseudogene","pseudogene",1.5838832928100035
"RNU1-153P","",False,False,False,"RNU1","pseudogene","pseudogene",0.6423463245894931
"RNU1-154P","",False,False,False,"RNU1","pseudogene","pseudogene",1.1855413868338351
"RNU1-155P","",False,False,False,"RNU1","pseudogene","pseudogene",0.9262475396549728
"RNU1-15P","",False,False,False,"RNU1","pseudogene","pseudogene",1.2784145729612908
"RNU1-16P","",False,False,False,"RNU1","pseudogene","pseudogene",1.1225103567464991
"RNU1-17P","",False,False,False,"RNU1","pseudogene","pseudogene",1.2339810972377103
"RNU1-18P","",False,False,False,"RNU1","pseudogene","pseudogene",1.080151475359839
"RNU1-19P","",False,False,False,"RNU1","pseudogene","pseudogene",1.5156777921626827
"RNU1-2","",False,True,False,"RNU1","RNA, small nuclear","functional",3.367531070239497
"RNU1-20P","",False,False,False,"RNU1","pseudogene","pseudogene",1.0077230176801788
"RNU1-21P","",False,False,False,"RNU1","pseudogene","pseudogene",1.3424906824753824
"RNU1-22P","",False,True,False,"RNU1","pseudogene","pseudogene",1.494893181088722
"RNU1-23P","",False,False,False,"RNU1","pseudogene","pseudogene",1.399019721353865
"RNU1-24P","",False,False,False,"RNU1","pseudogene","pseudogene",1.4314734703758671
"RNU1-27P","",False,False,False,"RNU1","pseudogene","pseudogene",0.0
"RNU1-28P","",False,False,False,"RNU1","pseudogene","pseudogene",0.0
"RNU1-29P","",False,False,False,"RNU1","pseudogene","pseudogene",1.2680769888133556
"RNU1-3","",False,True,True,"RNU1","RNA, small nuclear","functional",0.0
"RNU1-30P","",False,False,False,"RNU1","pseudogene","pseudogene",0.6392812773692297
"RNU1-31P","",False,False,False,"RNU1","pseudogene","pseudogene",0.9275632321828916
"RNU1-32P","",False,False,False,"RNU1","pseudogene","pseudogene",1.0704275812050392
"RNU1-33P","",False,True,True,"RNU1","pseudogene","pseudogene",0.8361956955218505
"RNU1-34P","",False,False,False,"RNU1","pseudogene","pseudogene",1.1725585892129031
"RNU1-35P","",False,False,False,"RNU1","pseudogene","pseudogene",1.1805115701484947
"RNU1-36P","",False,False,False,"RNU1","pseudogene","pseudogene",1.094656183228604
