"Gene","PhastCons30_median","PhyloP100_median","PhyloP447_median","GTEX_max","ENCODE_max","Gene_Type","Gene_group","snp_density_1000genomes","snp_density_gnomad","snp_density_pangenome","snp_density_dbsnp","enrichment_intergenic_1000genomes","enrichment_intergenic_gnomad","enrichment_intergenic_pangenome","enrichment_intergenic_dbsnp","Z_score","Gene_Type_combined","Gene_group_f","y_num","y_offset","y_pos","Outlier_category"
"RNU1-28P",0.438500002026558,1.32599997520447,2.4264999628067,3,6836.16,"Pseudogene","RNU1",0,0,0.0853658536585365,0,0,0,12.0211021862378,0,7.47282347524397,"RNU1.Pseudogene","RNU1",15,-0.15,14.85,"extreme"
"RNU1-27P",0.346000000834465,0.898999989032745,2.00200003385544,47,6836.16,"Pseudogene","RNU1",0,0,0.048780487804878,0,0,0,6.86920124927873,0,4.62126351299412,"RNU1.Pseudogene","RNU1",15,-0.15,14.85,"extreme"
"RNU1-52P",0.0280000008642673,0.622500002384186,-0.214500002563,1,0,"Pseudogene","RNU1",0.0365853658536585,0.24390243902439,0.0060975609756097,0.323170731707317,1.71188675559524,1.15119505345423,0.858650156159842,1.1225103567465,2.77476159958995,"RNU1.Pseudogene","RNU1",15,-0.15,14.85,"significant"
"RNU2-2P",0.763000011444092,1.35500001907349,1.59200000762939,45,37897.85,"Pseudogene","RNU2",NA,NA,NA,NA,NA,NA,NA,NA,7.66648943936212,"RNU2.Pseudogene","RNU2",14,-0.15,13.85,"extreme"
"RNU2-4P",0.962500005960464,0.78600001335144,0.200000002980232,6,1.35,"Pseudogene","RNU2",0.0416666666666666,0.223958333333333,0.0104166666666666,0.375,1.94964880498347,1.05706087460407,1.46686068343973,1.30253560263981,3.86663537055098,"RNU2.Pseudogene","RNU2",14,-0.15,13.85,"extreme"
"RNU4-63P",0.194499999284744,0.819499999284744,1.6085000038147,0,0,"Pseudogene","RNU4",0.0508474576271186,0.38135593220339,0.0254237288135593,0.491525423728814,2.37923243997983,1.79996175730768,3.58013454941222,1.70727830402506,4.09035251742912,"RNU4.Pseudogene","RNU4",13,-0.15,12.85,"extreme"
"RNU5F-1",0.0020000000949949,-0.423000007867813,-0.670000016689301,13,3.73,"Functional","RNU5",0.538461538461538,2.17948717948718,0.153846153846154,1.41880341880342,25.1954614797864,10.2869609263795,21.6644039400329,4.92811190970274,-4.20721982035188,"RNU5.Functional","RNU5",12,0.15,12.15,"functional_outlier"
"RNU5B-5P",0.998000025749206,1.59300005435944,3.59999990463257,2,NA,"Pseudogene","RNU5",0.0113636363636363,0.125,0,0.181818181818182,0.531722401359129,0.589987464895295,0,0.631532413401118,9.25588380379783,"RNU5.Pseudogene","RNU5",12,-0.15,11.85,"extreme"
"RNU5E-6P",0.0040000001899898,0.725000023841858,0.303000003099442,20,2.52,"Pseudogene","RNU5",0.51304347826087,2.17391304347826,0.0782608695652174,1.23478260869565,24.0061105031009,10.2606515633964,11.0205880912341,4.28892882492411,3.45926971852206,"RNU5.Pseudogene","RNU5",12,-0.15,11.85,"extreme"
"RNU5A-8P",0.0025000000605359,0.683499991893768,1.51750004291534,3,0,"Pseudogene","RNU5",0.394736842105263,1.97368421052632,0.0964912280701754,1.19298245614035,18.4703570998434,9.31559155097834,13.5877621202838,4.1437389931933,3.18212725161887,"RNU5.Pseudogene","RNU5",12,-0.15,11.85,"extreme"
"RNU6-1334P",0.0149999996647239,1.81200003623962,0.0099999997764825,1,0,"Pseudogene","RNU6",0,0,0,0.0285714285714285,0,0,0,0.0992408078201756,10.7183934063434,"RNU6.Pseudogene","RNU6",11,-0.15,10.85,"extreme"
"RNU6-1194P",0.006000000052154,1.66500002145767,-0.0069999997504055,6,0,"Pseudogene","RNU6",0.0288461538461538,0.230769230769231,0,0.365384615384615,1.34975686498856,1.08920762749901,0,1.26913725385417,9.73670869866808,"RNU6.Pseudogene","RNU6",11,-0.15,10.85,"extreme"
"RNU6-1059P",0.0745000019669533,0.947000026702881,0.0430000014603138,0,0,"Pseudogene","RNU6",0.0204081632653061,0.255102040816326,0.010204081632653,0.346938775510204,0.954930026930681,1.20405605080672,1.43692475112463,1.20506695210213,4.94181384095502,"RNU6.Pseudogene","RNU6",11,-0.15,10.85,"extreme"
"RNU6-202P",0.995999991893768,0.87950000166893,1.74049997329712,2,0,"Pseudogene","RNU6",0,0.15625,0,0.270833333333333,0,0.737484331119119,0,0.940720157462082,4.49104012884472,"RNU6.Pseudogene","RNU6",11,-0.15,10.85,"extreme"
"RNU6-693P",0.003000000026077,0.801999986171722,0.068000003695488,1,0.67,"Pseudogene","RNU6",0,0.16822429906542,0,0.196261682242991,0,0.794001821915163,0,0.681700876147936,3.97348521450637,"RNU6.Pseudogene","RNU6",11,-0.15,10.85,"extreme"
"RNU6-751P",0.0020000000949949,0.764999985694885,0.200000002980232,0,0,"Pseudogene","RNU6",0.0297029702970297,0.267326732673267,0.0198019801980198,0.386138613861386,1.38984865305753,1.26175537046915,2.78848763584582,1.34122477895584,3.72639452743422,"RNU6.Pseudogene","RNU6",11,-0.15,10.85,"extreme"
"RNU6-42P",0.150999996811152,0.592000007629395,0,9,0.05,"Pseudogene","RNU6",0.0841121495327102,0.355140186915888,0.02803738317757,0.448598130841121,3.93573964370495,1.67622606848757,3.94818576477236,1.55817343119528,2.57107877357549,"RNU6.Pseudogene","RNU6",11,-0.15,10.85,"significant"
"RNU6-1078P",0.699999988079071,0.574000000953674,0.123000003397465,4,0,"Pseudogene","RNU6",0,0.12621359223301,0,0.194174757281553,0,0.595715498535055,0,0.674452091981776,2.45087245034607,"RNU6.Pseudogene","RNU6",11,-0.15,10.85,"significant"
"RNU6-12P",0.0450000017881393,0.555999994277954,0.0900000035762787,4,0,"Pseudogene","RNU6",0.0467289719626168,0.345794392523364,0,0.448598130841121,2.18652202428053,1.63211485615895,0,1.55817343119528,2.33066612711666,"RNU6.Pseudogene","RNU6",11,-0.15,10.85,"significant"
