gene_name,expected_promoter,contains_type1_promoter,contains_type2_promoter,contains_type3_promoter,gene_group,locus_type,gene_type
RNU1-1,None,True,True,True,RNU1,"RNA, small nuclear",functional
RNU1-100P,None,True,True,True,RNU1,pseudogene,pseudogene
RNU1-101P,None,False,True,True,RNU1,pseudogene,pseudogene
RNU1-103P,None,False,True,False,RNU1,pseudogene,pseudogene
RNU1-104P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-105P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-107P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-108P,None,False,True,True,RNU1,pseudogene,pseudogene
RNU1-109P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-112P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-114P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-115P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-116P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-117P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-119P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-11P,None,False,True,False,RNU1,pseudogene,pseudogene
RNU1-123P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-124P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-125P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-128P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-129P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-130P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-131P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-132P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-133P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-134P,None,False,True,True,RNU1,pseudogene,pseudogene
RNU1-136P,None,False,True,False,RNU1,pseudogene,pseudogene
RNU1-138P,None,False,True,False,RNU1,pseudogene,pseudogene
RNU1-139P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-140P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-141P,None,False,True,True,RNU1,pseudogene,pseudogene
RNU1-142P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-143P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-146P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-148P,None,True,True,True,RNU1,pseudogene,pseudogene
RNU1-149P,None,False,True,True,RNU1,pseudogene,pseudogene
RNU1-14P,None,False,True,False,RNU1,pseudogene,pseudogene
RNU1-150P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-151P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-153P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-154P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-155P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-15P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-16P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-17P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-18P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-19P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-2,None,False,True,False,RNU1,"RNA, small nuclear",functional
RNU1-20P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-21P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-22P,None,False,True,False,RNU1,pseudogene,pseudogene
RNU1-23P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-24P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-27P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-28P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-29P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-3,None,False,True,True,RNU1,"RNA, small nuclear",functional
RNU1-30P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-31P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-32P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-33P,None,False,True,True,RNU1,pseudogene,pseudogene
RNU1-34P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-35P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-36P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-38P,None,False,True,False,RNU1,pseudogene,pseudogene
RNU1-39P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-4,None,False,True,True,RNU1,"RNA, small nuclear",functional
RNU1-40P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-41P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-42P,None,False,True,True,RNU1,pseudogene,pseudogene
RNU1-43P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-44P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-45P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-46P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-47P,None,False,True,False,RNU1,pseudogene,pseudogene
