"Gene","PhastCons30_median","PhyloP100_median","PhyloP447_median","GTEX_max","Gene_Type","Gene_group"
"RNU1-1",0.996499985456467,0.328999996185303,0.0445000007748604,19,"Functional","RNU1"
"RNU1-100P",0.0040000001899898,0.305000007152557,0.0450000017881393,8,"Pseudogene","RNU1"
"RNU1-101P",0.00600000005215406,0.437000006437302,0.0230000000447035,2,"Pseudogene","RNU1"
"RNU1-103P",0.0140000004321337,0.30799999833107,0.0799999982118607,37,"Pseudogene","RNU1"
"RNU1-104P",0.00600000005215406,-0.23199999332428,0.323000013828278,1,"Pseudogene","RNU1"
"RNU1-105P",0.00300000002607703,-0.133000001311302,0.0649999976158142,1,"Pseudogene","RNU1"
"RNU1-107P",0.00600000005215406,-0.368000000715256,0.0640000030398369,3,"Pseudogene","RNU1"
"RNU1-108P",0.0020000000949949,0.449000000953674,1.182000041008,1,"Pseudogene","RNU1"
"RNU1-109P",0.0089999996125698,-0.0920000001788139,0.046000000089407,3,"Pseudogene","RNU1"
"RNU1-112P",0.0775000005960464,0.146999999880791,0.195999994874001,0,"Pseudogene","RNU1"
"RNU1-114P",0.00100000004749745,-0.0525000002235174,-1.4899999499321,0,"Pseudogene","RNU1"
"RNU1-115P",0.612499982118607,0.252000004053116,0.462000012397766,0,"Pseudogene","RNU1"
"RNU1-116P",0.00300000002607703,-0.225999996066093,-0.342000007629395,4,"Pseudogene","RNU1"
"RNU1-117P",0.00999999977648258,0.30799999833107,0.12899999320507,1,"Pseudogene","RNU1"
"RNU1-119P",0.0020000000949949,0.300000011920929,0.0219999998807907,1,"Pseudogene","RNU1"
"RNU1-11P",0.0040000001899898,-0.102000001817942,0.0435000006109476,4,"Pseudogene","RNU1"
"RNU1-123P",0.00499999988824129,-0.211499996483326,-0.0199999995529652,97,"Pseudogene","RNU1"
"RNU1-124P",0.0590000003576279,0.204999998211861,0.0329999998211861,6,"Pseudogene","RNU1"
"RNU1-125P",0.0189999993890524,-0.0579999983310699,0.200000002980232,237,"Pseudogene","RNU1"
"RNU1-128P",0.185000002384186,-0.0200000004842877,0.0640000030398369,0,"Pseudogene","RNU1"
"RNU1-129P",0.00300000002607703,-0.152999997138977,-1.47099995613098,35,"Pseudogene","RNU1"
"RNU1-130P",0.0109999999403954,0.30799999833107,0.0869999974966049,1,"Pseudogene","RNU1"
"RNU1-131P",0.00499999988824129,-0.196999996900558,0.462000012397766,1,"Pseudogene","RNU1"
"RNU1-132P",0.0040000001899898,0.305000007152557,0.00350000010803342,5,"Pseudogene","RNU1"
"RNU1-133P",0.0900000035762787,0.26800000667572,0.460999995470047,1,"Pseudogene","RNU1"
"RNU1-134P",0.0120000001043081,0.194999992847443,-0.375,3,"Pseudogene","RNU1"
"RNU1-136P",0.0130000002682209,0.212999999523163,0.449499994516373,1,"Pseudogene","RNU1"
"RNU1-138P",0.017000000923872,0.266999989748001,-0.018499999307096,10,"Pseudogene","RNU1"
"RNU1-139P",0.0109999999403954,0.238000005483627,-0.111000001430511,2,"Pseudogene","RNU1"
"RNU1-140P",0.028999999165535,-0.101999998092651,0.0189999993890524,0,"Pseudogene","RNU1"
"RNU1-141P",0.0120000001043081,0.30799999833107,-0.0179999999236315,1,"Pseudogene","RNU1"
"RNU1-142P",0.0189999993890524,-0.00300000002607703,0.104000002145767,2,"Pseudogene","RNU1"
"RNU1-143P",0.00600000005215406,-0.149999998509884,-2.39400005340576,7,"Pseudogene","RNU1"
"RNU1-146P",0.0810000002384186,0.214000001549721,0.0320000015199184,2,"Pseudogene","RNU1"
"RNU1-148P",0.214500002563,-0.0219999998807907,0.0305000003427267,1,"Pseudogene","RNU1"
"RNU1-149P",0.0109999999403954,0.282999992370605,0.00999999977648258,51,"Pseudogene","RNU1"
"RNU1-14P",0.00300000002607703,0.305000007152557,0.0040000001899898,5,"Pseudogene","RNU1"
"RNU1-150P",0.0020000000949949,-0.197999998927116,0.0790000036358833,0,"Pseudogene","RNU1"
"RNU1-151P",0.00600000005215406,-0.034000001847744,-1.90400004386902,14,"Pseudogene","RNU1"
"RNU1-153P",0.00600000005215406,-0.102000001817942,-2.46399998664856,49,"Pseudogene","RNU1"
"RNU1-154P",0.0020000000949949,0.187000006437302,-1.47099995613098,14,"Pseudogene","RNU1"
"RNU1-155P",0.00100000004749745,-0.234999999403954,0.0469999983906746,5,"Pseudogene","RNU1"
"RNU1-15P",0.034000001847744,-0.133000001311302,-0.0325000006705523,0,"Pseudogene","RNU1"
"RNU1-16P",0.0089999996125698,0.306500002741814,0.00400000007357448,17,"Pseudogene","RNU1"
"RNU1-17P",0.0525000002235174,-0.0469999983906746,0.12899999320507,0,"Pseudogene","RNU1"
"RNU1-18P",0.0160000007599592,0.214000001549721,0.444999992847443,0,"Pseudogene","RNU1"
"RNU1-19P",0.0149999996647239,-0.0240000002086162,0.0469999983906746,2,"Pseudogene","RNU1"
"RNU1-2",0.987999975681305,0.284000009298325,0.0469999983906746,4,"Functional","RNU1"
"RNU1-20P",0.0240000002086162,-0.20099999755621,0.0455000009387732,4,"Pseudogene","RNU1"
"RNU1-21P",0.0140000004321337,0.246999993920326,0.580999970436096,3,"Pseudogene","RNU1"
"RNU1-22P",0.00949999969452619,-0.028999999165535,0.0020000000949949,15,"Pseudogene","RNU1"
"RNU1-23P",0.00450000003911554,0.30799999833107,0.0135000008158386,9,"Pseudogene","RNU1"
"RNU1-24P",0.0199999995529652,-0.123999997973442,0.0219999998807907,11,"Pseudogene","RNU1"
