Gene,PhastCons30_median,PhyloP100_median,PhyloP447_median,GTEX_max,ENCODE_max,Gene_Type,Gene_group,snp_density_1000genomes,snp_density_gnomad,snp_density_pangenome,snp_density_dbsnp,enrichment_intergenic_1000genomes,enrichment_intergenic_gnomad,enrichment_intergenic_pangenome,enrichment_intergenic_dbsnp
RNU1-1,0.996499985456467,0.328999996185303,0.0445000007748604,19.0,3848.22,Functional,RNU1,0.0060975609756097,1.5670731707317074,0.0365853658536585,0.975609756097561,0.2853144592658741,7.396428218443455,5.15190093695905,3.388710510932828
RNU1-100P,0.0040000001899898,0.305000007152557,0.0450000017881393,8.0,1.55,Pseudogene,RNU1,0.0424242424242424,0.2484848484848484,0.006060606060606,0.2545454545454545,1.9850969650740813,1.172823566579738,0.853446215819479,0.8841453787615648
RNU1-101P,0.006000000052154,0.437000006437302,0.0230000000447035,2.0,0.0,Pseudogene,RNU1,0.0236220472440944,0.1653543307086614,0.0078740157480314,0.3464566929133858,1.105312708337087,0.7804558590740911,1.1088080756709766,1.2033924727800829
RNU1-103P,0.0140000004321337,0.30799999833107,0.0799999982118607,37.0,1.58,Pseudogene,RNU1,0.056,0.36,0.008,0.464,2.620327993897788,1.6991638988984497,1.1265490048817124,1.6116707189996529
RNU1-104P,0.006000000052154,-0.23199999332428,0.323000013828278,1.0,1.04,Pseudogene,RNU1,0.0228571428571428,0.2342857142857143,0.0114285714285714,0.4057142857142857,1.0695216301623625,1.1058050770608958,1.609355721259589,1.4092194710464945
RNU1-105P,0.003000000026077,-0.133000001311302,0.0649999976158142,1.0,0.0,Pseudogene,RNU1,0.0434782608695652,0.2857142857142857,0.0124223602484472,0.4099378881987577,2.0344161443305806,1.3485427769035314,1.7492996970212922,1.4238898513329552
RNU1-107P,0.006000000052154,-0.368000000715256,0.0640000030398369,3.0,0.0,Pseudogene,RNU1,0.0,0.0,0.0,0.0064935064935064,0.0,0.0,0.0,0.0225547290500399
RNU1-108P,0.0020000000949949,0.449000000953674,1.182000041008,1.0,3.46,Pseudogene,RNU1,0.1490683229813664,0.577639751552795,0.0372670807453416,0.6956521739130435,6.975141066276277,2.726401701131053,5.247899091063878,2.416297929534712
RNU1-109P,0.0089999996125698,-0.0920000001788139,0.046000000089407,3.0,2.47,Pseudogene,RNU1,0.0476190476190476,0.2857142857142857,0.0136054421768707,0.4217687074829932,2.2281700628382546,1.3485427769035314,1.9158996681661773,1.4649833535359265
RNU1-112P,0.0775000005960464,0.146999999880791,0.195999994874001,0.0,0.0,Pseudogene,RNU1,0.0,0.2378048780487804,0.0,0.3353658536585366,0.0,1.1224151771178783,0.0,1.1648692381331596
RNU1-114P,0.0010000000474974,-0.0525000002235174,-1.4899999499321,0.0,0.0,Pseudogene,RNU1,0.036144578313253,0.4216867469879518,0.0240963855421686,0.5903614457831325,1.6912616139615668,1.990319158682923,3.393219894222025,2.050578137489172
RNU1-115P,0.612499982118607,0.252000004053116,0.462000012397766,0.0,0.0,Pseudogene,RNU1,0.0,0.1,0.0,0.1875,0.0,0.471989971916236,0.0,0.6512678013199028
RNU1-116P,0.003000000026077,-0.225999996066093,-0.342000007629395,4.0,,Pseudogene,RNU1,,,,,,,,
RNU1-117P,0.0099999997764825,0.30799999833107,0.12899999320507,1.0,0.0,Pseudogene,RNU1,0.0253164556962025,0.2784810126582278,0.0,0.3227848101265823,1.1845967422684394,1.3144024534376193,0.0,1.1211698858165415
RNU1-119P,0.0020000000949949,0.300000011920929,0.0219999998807907,1.0,0.47,Pseudogene,RNU1,0.0121212121212121,0.2727272727272727,0.0,0.3818181818181818,0.5671705614497377,1.2872453779533708,0.0,1.3262180681423474
RNU1-11P,0.0040000001899898,-0.102000001817942,0.0435000006109476,4.0,0.58,Pseudogene,RNU1,0.0365853658536585,0.4878048780487805,0.0121951219512195,0.4512195121951219,1.7118867555952446,2.302390106908468,1.7173003123196835,1.5672786113064328
RNU1-123P,0.0049999998882412,-0.211499996483326,-0.0199999995529652,97.0,0.12,Pseudogene,RNU1,0.025,0.18125,0.00625,0.325,1.169789282990084,0.8554818240981777,0.8801164100638378,1.128864188954498
RNU1-124P,0.0590000003576279,0.204999998211861,0.0329999998211861,6.0,1.32,Pseudogene,RNU1,0.0413793103448275,0.2344827586206896,0.0068965517241379,0.4275862068965517,1.9362029511560008,1.1067351065622086,0.9711629352428556,1.4851900204812496
RNU1-125P,0.0189999993890524,-0.0579999983310699,0.200000002980232,237.0,205.51,Pseudogene,RNU1,0.0232558139534883,0.3178294573643411,0.0,0.4186046511627907,1.088176077200078,1.5001231665554788,0.0,1.4539932308537364
RNU1-128P,0.185000002384186,-0.0200000004842877,0.0640000030398369,0.0,0.0,Pseudogene,RNU1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNU1-129P,0.003000000026077,-0.152999997138977,-1.47099995613098,35.0,1.38,Pseudogene,RNU1,0.0119760479041916,0.4131736526946107,0.0239520958083832,0.2994011976047904,0.5603780996359683,1.95013820731858,3.372901212220696,1.0399485849419603
RNU1-130P,0.0109999999403954,0.30799999833107,0.0869999974966049,1.0,0.0,Pseudogene,RNU1,0.01875,0.225,0.0,0.24375,0.8773419622425629,1.0619774368115311,0.0,0.8466481417158735
RNU1-131P,0.0049999998882412,-0.196999996900558,0.462000012397766,1.0,0.0,Pseudogene,RNU1,0.0248447204968944,0.2608695652173913,0.0124223602484472,0.4037267080745341,1.162523511046046,1.2312781876075722,1.7492996970212922,1.4023157626763951
RNU1-132P,0.0040000001899898,0.305000007152557,0.0035000001080334,5.0,0.16,Pseudogene,RNU1,0.0365853658536585,0.1890243902439024,0.0182926829268292,0.2317073170731707,1.7118867555952446,0.8921761664270315,2.575950468479525,0.8048187463465466
RNU1-133P,0.0900000035762787,0.26800000667572,0.460999995470047,1.0,0.0,Pseudogene,RNU1,0.0119760479041916,0.2395209580838323,0.0,0.2215568862275449,0.5603780996359683,1.1305149027933796,0.0,0.7695619528570508
RNU1-134P,0.0120000001043081,0.194999992847443,-0.375,3.0,2.63,Pseudogene,RNU1,0.0363636363636363,0.2909090909090909,0.0181818181818181,0.3696969696969697,1.7015116843492128,1.3730617364835955,2.560338647458437,1.2841159072489396
RNU1-136P,0.0130000002682209,0.212999999523163,0.449499994516373,1.0,0.0,Pseudogene,RNU1,0.073170731707317,0.3048780487804878,0.024390243902439,0.3902439024390244,3.423773511190489,1.4389938168177927,3.434600624639367,1.355484204373131
RNU1-138P,0.017000000923872,0.266999989748001,-0.018499999307096,10.0,0.0,Pseudogene,RNU1,0.0365853658536585,0.3414634146341463,0.0182926829268292,0.1951219512195122,1.7118867555952446,1.611673074835928,2.575950468479525,0.6777421021865655
RNU1-139P,0.0109999999403954,0.238000005483627,-0.111000001430511,2.0,0.0,Pseudogene,RNU1,0.0242424242424242,0.2606060606060606,0.0121212121212121,0.4,1.1343411228994753,1.2300344722665546,1.706892431638958,1.3893713094824591
RNU1-140P,0.028999999165535,-0.101999998092651,0.0189999993890524,0.0,0.0,Pseudogene,RNU1,0.0242424242424242,0.2303030303030303,0.006060606060606,0.3636363636363636,1.1343411228994753,1.0870072080495132,0.853446215819479,1.2630648268022358
RNU1-141P,0.0120000001043081,0.30799999833107,-0.0179999999236315,1.0,0.05,Pseudogene,RNU1,0.0,0.2531645569620253,0.0,0.2341772151898734,0.0,1.194911321306927,0.0,0.8133977602982752
RNU1-142P,0.0189999993890524,-0.003000000026077,0.104000002145767,2.0,0.0,Pseudogene,RNU1,0.0,0.096551724137931,0.0137931034482758,0.193103448275862,0.0,0.4557144556432623,1.942325870485711,0.6707309769915321
RNU1-143P,0.006000000052154,-0.149999998509884,-2.39400005340576,7.0,1.44,Pseudogene,RNU1,0.0,0.2191780821917808,0.0,0.2808219178082192,0.0,1.0344985685835308,0.0,0.9754147891914526
RNU1-146P,0.0810000002384186,0.214000001549721,0.0320000015199184,2.0,0.6,Pseudogene,RNU1,0.0484848484848484,0.2242424242424242,0.0181818181818181,0.3454545454545454,2.2686822457989506,1.058401755206105,2.560338647458437,1.1999115854621238
RNU1-148P,0.214500002563,-0.0219999998807907,0.0305000003427267,1.0,0.38,Pseudogene,RNU1,0.0308641975308641,0.3024691358024691,0.0246913580246913,0.3888888888888889,1.4441842999877577,1.4276239891293558,3.4770031014867664,1.3507776619968357
RNU1-149P,0.0109999999403954,0.282999992370605,0.0099999997764825,51.0,0.33,Pseudogene,RNU1,0.031055900621118,0.1925465838509316,0.0062111801242236,0.3229813664596273,1.4531543888075575,0.9088005670436844,0.8746498485106461,1.121852610141116
RNU1-14P,0.003000000026077,0.305000007152557,0.0040000001899898,5.0,0.0,Pseudogene,RNU1,0.0460526315789473,0.4144736842105263,0.0197368421052631,0.4473684210526316,2.1548749949817334,1.956274225705452,2.7793149791489613,1.5539021224474874
RNU1-150P,0.0020000000949949,-0.197999998927116,0.0790000036358833,0.0,0.0,Pseudogene,RNU1,0.037037037037037,0.2407407407407407,0.0246913580246913,0.2901234567901234,1.7330211599853094,1.136272154613161,3.4770031014867664,1.0077230176801788
RNU1-151P,0.006000000052154,-0.034000001847744,-1.90400004386902,14.0,0.29,Pseudogene,RNU1,0.048,0.344,0.016,0.456,2.245995423340961,1.6236455033918518,2.253098009763425,1.5838832928100035
RNU1-153P,0.006000000052154,-0.102000001817942,-2.46399998664856,49.0,,Pseudogene,RNU1,0.0,0.2054794520547945,0.0,0.184931506849315,0.0,0.9698424080470602,0.0,0.6423463245894931
