"Gene","PhastCons30_median","PhyloP100_median","PhyloP447_median","GTEX_max","ENCODE_max","Gene_Type","Gene_group","snp_density_1000genomes","snp_density_gnomad","snp_density_pangenome","snp_density_dbsnp","enrichment_intergenic_1000genomes","enrichment_intergenic_gnomad","enrichment_intergenic_pangenome","enrichment_intergenic_dbsnp","Z_score","Gene_Type_combined","Gene_group_f","y_num","y_offset","y_pos","Outlier_category"
"RNU1-27P",0.346000000834465,0.898999989032745,2.00200003385544,47,6836.16,"Pseudogene","RNU1",0,0,0.048780487804878,0,0,0,6.86920124927873,0,839.428245445259,"RNU1.Pseudogene","RNU1",16,-0.15,15.85,"extreme"
"RNU1-28P",0.438500002026558,1.32599997520447,2.4264999628067,3,6836.16,"Pseudogene","RNU1",0,0,0.0853658536585365,0,0,0,12.0211021862378,0,839.428245445259,"RNU1.Pseudogene","RNU1",16,-0.15,15.85,"extreme"
"RNU1-125P",0.0189999993890524,-0.0579999983310699,0.200000002980232,237,205.51,"Pseudogene","RNU1",0.0232558139534883,0.317829457364341,0,0.418604651162791,1.08817607720008,1.50012316655548,0,1.45399323085374,25.2350586764287,"RNU1.Pseudogene","RNU1",16,-0.15,15.85,"extreme"
"RNU2-63P",0,-0.462999999523163,-2.71150004863739,6,44.96,"Pseudogene","RNU2",0.310526315789474,2.2,0.0894736842105263,1.19473684210526,14.5300142518768,10.3837793821572,12.5995612388086,4.14983272700682,5.52074467467392,"RNU2.Pseudogene","RNU2",15,-0.15,14.85,"extreme"
"RNU6-1189P",0.0529999993741512,0.30799999833107,0.46000000834465,106,19.6,"Pseudogene","RNU6",0,0.271028037383177,0.02803738317757,0.280373831775701,0,1.27922515752999,3.94818576477236,0.973858394497051,2.4067303297066,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,"significant"
"RNU6-82P",0.006000000052154,-0.168999999761581,0.0070000002160668,2,17.18,"Pseudogene","RNU6",0.02803738317757,0.214953271028037,0,0.345794392523364,1.31191321456832,1.01455788355826,0,1.2010920198797,2.10957280940609,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,"significant"
"RNU6ATAC24P",0.003000000026077,0.298000007867813,0.158000007271767,17,31.44,"Pseudogene","RNU6ATAC",0.0296296296296296,0.148148148148148,0.0074074074074074,0.259259259259259,1.38641692798825,0.699244402838868,1.04310093044603,0.900518441331223,3.8605919166314,"RNU6ATAC.Pseudogene","RNU6ATAC",10,-0.15,9.85,"extreme"
"RNU6ATAC10P",0.168999999761581,3.58699989318848,0.200000002980232,6,16.48,"Pseudogene","RNU6ATAC",0.045045045045045,0.342342342342342,0.027027027027027,0.387387387387387,2.10772843781997,1.61582152547901,3.80590880027606,1.34556230422851,2.02361815477371,"RNU6ATAC.Pseudogene","RNU6ATAC",10,-0.15,9.85,"significant"
"RN7SL471P",0.477999985218048,0.677999973297119,0.771000027656555,28,640.66,"Pseudogene","RN7SL",0.0267558528428093,0.317725752508361,0.0066889632107023,0.451505016722408,1.25194839651113,1.49963369003486,0.941930606088388,1.56827029080378,78.6681557668281,"RN7SL.Pseudogene","RN7SL",4,-0.15,3.85,"extreme"
"RN7SL4P",0.101500000804663,0.0850000008940697,0.096000000834465,844,599.31,"Pseudogene","RN7SL",0.0135593220338983,0.28135593220339,0.0135593220338983,0.328813559322034,0.634461983994622,1.32797178539144,1.90940509301985,1.14211031372711,73.5906915253297,"RN7SL.Pseudogene","RN7SL",4,-0.15,3.85,"extreme"
"RN7SL5P",0.0045000000391155,0.0149999996647239,0,835,215.75,"Pseudogene","RN7SL",0.0373831775700934,0.414330218068536,0.0186915887850467,0.570093457943925,1.74921761942442,1.95559707990216,2.63212384318157,1.98017873547734,26.4924524813367,"RN7SL.Pseudogene","RN7SL",4,-0.15,3.85,"extreme"
"RN7SL128P",0.0610000006854534,0.211999997496605,0.46000000834465,6,53.07,"Pseudogene","RN7SL",0.0688524590163934,0.272131147540984,0.0131147540983606,0.390163934426229,3.22171474659564,1.28443172685402,1.84680164734707,1.3552064412165,6.5165907447719,"RN7SL.Pseudogene","RN7SL",4,-0.15,3.85,"extreme"
