gene_symbol,current_annotation,predicted_annotation,functional_probability,last_modified_in_hgnc,prev_symbols
RNU1-108P,Pseudogene,Functional,0.63,2013-05-15T00:00:00Z,[]
RNU1-27P,Pseudogene,Functional,1.0,2014-11-18T00:00:00Z,['RNU1-7P']
RNU1-28P,Pseudogene,Functional,1.0,2014-11-19T00:00:00Z,"['RNU1-8', 'RNU1-8P']"
RNU1-61P,Pseudogene,Functional,0.76,2013-05-15T00:00:00Z,[]
RNU2-2,Functional,Functional,1.0,2025-08-27T00:00:00Z,"['RNU2B', 'RNU2-2P']"
RNU2-4P,Pseudogene,Functional,0.54,2015-01-30T00:00:00Z,['RNU2P2']
RNU4-63P,Pseudogene,Functional,0.56,2013-04-03T00:00:00Z,[]
RNU4-86P,Pseudogene,Functional,0.56,2013-04-03T00:00:00Z,[]
RNU5A-8P,Pseudogene,Functional,0.88,2011-08-03T00:00:00Z,[]
RNU5B-5P,Pseudogene,Functional,1.0,2011-10-11T00:00:00Z,[]
RNU5E-4P,Pseudogene,Functional,0.83,2011-08-03T00:00:00Z,[]
RNU5E-6P,Pseudogene,Functional,0.92,2011-08-03T00:00:00Z,[]
RNU6-1077P,Pseudogene,Functional,0.61,2013-05-01T00:00:00Z,[]
RNU6-1194P,Pseudogene,Functional,0.62,2013-05-01T00:00:00Z,[]
RNU6-1334P,Pseudogene,Functional,0.89,2013-05-01T00:00:00Z,[]
RNU6-194P,Pseudogene,Functional,0.51,2013-05-01T00:00:00Z,[]
RNU6-202P,Pseudogene,Functional,0.55,2013-05-01T00:00:00Z,[]
RNU6-319P,Pseudogene,Functional,0.63,2013-05-01T00:00:00Z,[]
RNU6-397P,Pseudogene,Functional,0.67,2013-05-01T00:00:00Z,[]
RNU6-417P,Pseudogene,Functional,0.55,2013-05-01T00:00:00Z,[]
RNU6-437P,Pseudogene,Functional,0.59,2013-05-01T00:00:00Z,[]
RNU6-457P,Pseudogene,Functional,0.67,2013-05-01T00:00:00Z,[]
RNU6-693P,Pseudogene,Functional,0.54,2013-05-01T00:00:00Z,[]
RNU6-758P,Pseudogene,Functional,0.56,2013-05-01T00:00:00Z,[]
RNU6-781P,Pseudogene,Functional,0.74,2013-05-01T00:00:00Z,[]
RNU4ATAC11P,Pseudogene,Functional,0.55,2013-04-03T00:00:00Z,[]
RNU4ATAC13P,Pseudogene,Functional,0.53,2013-04-03T00:00:00Z,[]
RNU4ATAC15P,Pseudogene,Functional,0.7,2013-04-03T00:00:00Z,[]
RNU4ATAC16P,Pseudogene,Functional,0.54,2013-04-03T00:00:00Z,[]
RNU4ATAC18P,Pseudogene,Functional,0.55,2013-04-03T00:00:00Z,[]
RNU4ATAC2P,Pseudogene,Functional,0.51,2014-11-19T00:00:00Z,[]
RNU4ATAC4P,Pseudogene,Functional,0.55,2013-04-03T00:00:00Z,[]
RNU4ATAC5P,Pseudogene,Functional,0.56,2013-04-03T00:00:00Z,[]
RNU4ATAC9P,Pseudogene,Functional,0.55,2013-04-03T00:00:00Z,[]
RNU6ATAC10P,Pseudogene,Functional,0.89,2013-04-03T00:00:00Z,[]
RNU6ATAC11P,Pseudogene,Functional,0.78,2013-04-03T00:00:00Z,[]
RNU6ATAC15P,Pseudogene,Functional,0.78,2013-04-03T00:00:00Z,[]
RNU6ATAC16P,Pseudogene,Functional,0.74,2013-04-03T00:00:00Z,[]
RNU6ATAC18P,Pseudogene,Functional,0.76,2013-04-03T00:00:00Z,[]
RNU6ATAC20P,Pseudogene,Functional,0.68,2013-04-03T00:00:00Z,[]
RNU6ATAC21P,Pseudogene,Functional,0.78,2013-04-03T00:00:00Z,[]
RNU6ATAC23P,Pseudogene,Functional,0.55,2013-04-03T00:00:00Z,[]
RNU6ATAC25P,Pseudogene,Functional,0.78,2013-04-03T00:00:00Z,[]
RNU6ATAC26P,Pseudogene,Functional,0.7,2013-04-03T00:00:00Z,[]
RNU6ATAC27P,Pseudogene,Functional,0.68,2013-04-03T00:00:00Z,[]
RNU6ATAC29P,Pseudogene,Functional,0.69,2013-04-03T00:00:00Z,[]
RNU6ATAC2P,Pseudogene,Functional,0.76,2014-11-18T00:00:00Z,[]
RNU6ATAC30P,Pseudogene,Functional,0.7,2013-04-03T00:00:00Z,[]
RNU6ATAC31P,Pseudogene,Functional,0.78,2013-04-03T00:00:00Z,[]
RNU6ATAC33P,Pseudogene,Functional,0.78,2013-04-03T00:00:00Z,[]
RNU6ATAC34P,Pseudogene,Functional,0.78,2013-04-03T00:00:00Z,[]
