"gene_name","gene_group","chromosome","start","end","gene_length","flank_length","intergenic_density_1000genomes","intergenic_density_gnomad","intergenic_density_pangenome","intergenic_density_dbsnp","locus_type","gene_type","Gene_group","Gene_Type","source","snp_count","snp_density","flank_count","flank_density","enrichment","enrichment_intergenic","Gene_Type_combined","Gene_group_f","y_num","y_offset","y_pos","q1","q3","iqr","is_outlier"
"RNU1-2","RNU1","chr1",16895980,16896143,164,16400,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"RNA, small nuclear","functional","RNU1","Functional","gnomad",332,2.02439024390244,1748,0.106585365853659,18.9931350114416,9.55491894367014,"RNU1.Functional","RNU1",14,0.15,14.15,1.29739258250931,4.57865380125627,3.28126121874696,TRUE
"RNU1-152P","RNU1","chr6",32576277,32576423,147,14699,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU1","Pseudogene","gnomad",164,1.1156462585034,1410,0.0959248928498537,11.6304144352777,5.26573846219474,"RNU1.Pseudogene","RNU1",14,-0.15,13.85,0.984217330241998,1.34957062962983,0.365353299387832,TRUE
"RNU1-61P","RNU1","chr6",32549940,32550090,151,15099,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU1","Pseudogene","gnomad",120,0.794701986754967,901,0.0596728260149678,13.3176529389714,3.75091368410254,"RNU1.Pseudogene","RNU1",14,-0.15,13.85,0.984217330241998,1.34957062962983,0.365353299387832,TRUE
"RNU1-108P","RNU1","chr17",58666537,58666697,161,16099,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU1","Pseudogene","gnomad",93,0.577639751552795,660,0.0409963351760978,14.0900338791643,2.72640170113105,"RNU1.Pseudogene","RNU1",14,-0.15,13.85,0.984217330241998,1.34957062962983,0.365353299387832,TRUE
"RNU1-154P","RNU1","chr1",145431527,145431693,167,16699,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU1","Pseudogene","gnomad",92,0.550898203592814,660,0.039523324749985,13.9385592451461,2.60018427642477,"RNU1.Pseudogene","RNU1",14,-0.15,13.85,0.984217330241998,1.34957062962983,0.365353299387832,TRUE
"RNU1-11P","RNU1","chr6",13214056,13214219,164,16400,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU1","Pseudogene","gnomad",80,0.48780487804878,285,0.0173780487804878,28.0701754385965,2.30239010690847,"RNU1.Pseudogene","RNU1",14,-0.15,13.85,0.984217330241998,1.34957062962983,0.365353299387832,TRUE
"RNU1-5P","RNU1","chr1",16873708,16873851,144,14400,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU1","Pseudogene","gnomad",65,0.451388888888889,1490,0.103472222222222,4.36241610738255,2.13051028989968,"RNU1.Pseudogene","RNU1",14,-0.15,13.85,0.984217330241998,1.34957062962983,0.365353299387832,TRUE
"RNU1-114P","RNU1","chr1",143652050,143652215,166,16600,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU1","Pseudogene","gnomad",70,0.421686746987952,596,0.0359036144578313,11.744966442953,1.99031915868292,"RNU1.Pseudogene","RNU1",14,-0.15,13.85,0.984217330241998,1.34957062962983,0.365353299387832,TRUE
"RNU1-14P","RNU1","chr7",53366058,53366209,152,15200,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU1","Pseudogene","gnomad",63,0.414473684210526,354,0.0232894736842105,17.7966101694915,1.95627422570545,"RNU1.Pseudogene","RNU1",14,-0.15,13.85,0.984217330241998,1.34957062962983,0.365353299387832,TRUE
"RNU1-129P","RNU1","chr1",148014417,148014583,167,16699,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU1","Pseudogene","gnomad",69,0.413173652694611,749,0.0448529852086951,9.21173141034353,1.95013820731858,"RNU1.Pseudogene","RNU1",14,-0.15,13.85,0.984217330241998,1.34957062962983,0.365353299387832,TRUE
