Gene,Max Expression,Location
RNU5A-1,43.0,Cells EBV-transformed lymphocytes
RNU5A-2P,1.0,Skin Sun Exposed Lower leg
RNU5A-3P,2.0,Brain Hippocampus
RNU5A-4P,6.0,Testis
RNU5A-5P,1.0,Thyroid
RNU5A-6P,5.0,Testis
RNU5A-7P,3.0,Testis
RNU5A-8P,3.0,Nerve Tibial
RNU5B-1,5.0,Nerve Tibial
RNU5B-2P,37.0,Spleen
RNU5B-3P,11.0,Adipose Subcutaneous
RNU5B-4P,17.0,Fallopian Tube
RNU5B-5P,2.0,Brain Putamen basal ganglia
RNU5B-6P,0.0,Esophagus Muscularis
RNU5D-1,14.0,Colon Transverse
RNU5D-2P,0.0,Esophagus Muscularis
RNU5E-1,20.0,Testis
RNU5E-2P,3.0,Spleen
RNU5E-3P,2.0,Brain Spinal cord cervical c-1
RNU5E-4P,5.0,Fallopian Tube
RNU5E-5P,1.0,Minor Salivary Gland
RNU5E-6P,20.0,Testis
RNU5E-7P,2.0,Liver
RNU5E-8P,13.0,Brain Nucleus accumbens basal ganglia
RNU5E-9P,1.0,Brain Nucleus accumbens basal ganglia
RNU5E-10P,6.0,Testis
RNU5F-1,13.0,Brain Nucleus accumbens basal ganglia
RNU5F-2P,4.0,Testis
RNU5F-3P,12.0,Brain Cortex
RNU5F-4P,5.0,Testis
RNU5F-5P,2.0,Fallopian Tube
RNU5F-6P,0.0,Esophagus Muscularis
RNU5F-7P,0.0,Esophagus Muscularis
RNU5F-8P,0.0,Esophagus Muscularis
