Gene,Max Expression,Location
VTRNA2-2P,0.0,Esophagus Muscularis
VTRNA3-1P,1.0,Brain Nucleus accumbens basal ganglia
MT-TA,25541.0,Testis
MT-TC,30664.0,Heart Left Ventricle
MT-TD,15025.0,Brain Cortex
MT-TE,40872.0,Heart Atrial Appendage
MT-TF,43002.0,Brain Cortex
MT-TG,13290.0,Brain Cortex
MT-TH,18112.0,Heart Left Ventricle
MT-TI,7729.0,Brain Cortex
MT-TK,24541.0,Brain Caudate basal ganglia
MT-TL1,144667.0,Heart Left Ventricle
MT-TL2,8155.0,Brain Cortex
MT-TM,53497.0,Brain Cortex
MT-TN,26261.0,Heart Left Ventricle
MT-TP,13049.0,Testis
MT-TQ,20188.0,Brain Caudate basal ganglia
MT-TR,27013.0,Heart Left Ventricle
MT-TS1,201991.0,Heart Left Ventricle
MT-TS2,4425.0,Brain Caudate basal ganglia
MT-TT,4065.0,Brain Caudate basal ganglia
MT-TV,58801.0,Brain Caudate basal ganglia
MT-TW,11992.0,Brain Cortex
MT-TY,29591.0,Adrenal Gland
NMTRL-TAA2-1,1.0,Skin Sun Exposed Lower leg
NMTRL-TAA3-1,1.0,Brain Caudate basal ganglia
NMTRL-TAA5-1,1.0,Skin Sun Exposed Lower leg
NMTRL-TAA6-1,0.0,Esophagus Muscularis
NMTRP-TGG1-1,0.0,Esophagus Muscularis
NMTRQ-CTG1-1,1.0,Artery Tibial
NMTRQ-TTG1-1,1.0,Cells EBV-transformed lymphocytes
NMTRQ-TTG2-1,1.0,Cells Cultured fibroblasts
NMTRQ-TTG4-1,1.0,Brain Caudate basal ganglia
NMTRQ-TTG6-1,2.0,Colon Sigmoid
NMTRQ-TTG7-1,4.0,Testis
NMTRQ-TTG8-1,0.0,Esophagus Muscularis
NMTRQ-TTG9-1,3.0,Testis
NMTRQ-TTG10-1,3.0,Artery Coronary
NMTRQ-TTG11-1,0.0,Esophagus Muscularis
NMTRQ-TTG12-1,3.0,Nerve Tibial
NMTRQ-TTG13-1,4.0,Brain Spinal cord cervical c-1
NMTRQ-TTG15-1,1.0,Colon Sigmoid
NMTRS-TGA2-1,4.0,Testis
NMTRS-TGA3-1,1.0,Brain Caudate basal ganglia
NMTRV-TAC1-1,0.0,Esophagus Muscularis
TRA-AGC1-1,0.0,Esophagus Muscularis
TRA-AGC2-1,0.0,Esophagus Muscularis
TRA-AGC2-2,3.0,Testis
TRA-AGC3-1,4.0,Cells EBV-transformed lymphocytes
