Gene,Max Expression,Location
RNU4ATAC,41.0,Colon Transverse
RNU4ATAC2P,1.0,Kidney Cortex
RNU4ATAC3P,1.0,Testis
RNU4ATAC4P,1.0,Testis
RNU4ATAC5P,0.0,Esophagus Muscularis
RNU4ATAC6P,1.0,Breast Mammary Tissue
RNU4ATAC7P,0.0,Esophagus Muscularis
RNU4ATAC8P,0.0,Esophagus Muscularis
RNU4ATAC9P,1.0,Prostate
RNU4ATAC10P,1.0,Testis
RNU4ATAC11P,6.0,Fallopian Tube
RNU4ATAC12P,5.0,Cells EBV-transformed lymphocytes
RNU4ATAC13P,2.0,Testis
RNU4ATAC14P,2.0,Ovary
RNU4ATAC15P,3.0,Nerve Tibial
RNU4ATAC16P,4.0,Breast Mammary Tissue
RNU4ATAC17P,5.0,Testis
RNU4ATAC18P,27.0,Testis
