Gene,Max Expression,Location
RNU4-1,12.0,Testis
RNU4-2,58.0,Brain Cerebellar Hemisphere
RNU4-3P,13.0,Ovary
RNU4-4P,1.0,Esophagus Gastroesophageal Junction
RNU4-5P,430.0,Testis
RNU4-6P,1.0,Testis
RNU4-7P,0.0,Esophagus Muscularis
RNU4-8P,10.0,Skin Not Sun Exposed Suprapubic
RNU4-9P,2.0,Colon Transverse
RNU4-10P,1.0,Thyroid
RNU4-11P,0.0,Esophagus Muscularis
RNU4-12P,5.0,Testis
RNU4-13P,1.0,Testis
RNU4-14P,4.0,Uterus
RNU4-15P,1.0,Brain Cortex
RNU4-16P,4.0,Brain Caudate basal ganglia
RNU4-17P,1.0,Testis
RNU4-18P,1.0,Nerve Tibial
RNU4-20P,0.0,Esophagus Muscularis
RNU4-21P,5.0,Artery Coronary
RNU4-22P,18.0,Brain Cerebellar Hemisphere
RNU4-23P,8.0,Testis
RNU4-24P,4.0,Testis
RNU4-25P,91.0,Small Intestine Terminal Ileum
RNU4-26P,2.0,Pancreas
RNU4-27P,0.0,Esophagus Muscularis
RNU4-28P,3.0,Artery Tibial
RNU4-29P,13.0,Thyroid
RNU4-30P,2.0,Skin Sun Exposed Lower leg
RNU4-31P,3.0,Testis
RNU4-32P,13.0,Kidney Medulla
RNU4-33P,1.0,Adrenal Gland
RNU4-34P,2.0,Brain Spinal cord cervical c-1
RNU4-35P,2.0,Skin Sun Exposed Lower leg
RNU4-36P,10.0,Testis
RNU4-37P,0.0,Esophagus Muscularis
RNU4-38P,2.0,Cells EBV-transformed lymphocytes
RNU4-39P,32.0,Brain Cortex
RNU4-40P,4.0,Fallopian Tube
RNU4-41P,1.0,Brain Putamen basal ganglia
RNU4-42P,4.0,Skin Sun Exposed Lower leg
RNU4-43P,0.0,Esophagus Muscularis
RNU4-44P,1.0,Skin Not Sun Exposed Suprapubic
RNU4-45P,2.0,Skin Sun Exposed Lower leg
RNU4-46P,51.0,Lung
RNU4-47P,43.0,Breast Mammary Tissue
RNU4-48P,4.0,Brain Nucleus accumbens basal ganglia
RNU4-49P,1.0,Pancreas
RNU4-50P,5.0,Testis
RNU4-51P,4.0,Testis
RNU4-52P,5.0,Small Intestine Terminal Ileum
RNU4-53P,4.0,Vagina
RNU4-54P,2.0,Artery Aorta
RNU4-55P,1.0,Testis
RNU4-56P,3.0,Brain Cortex
RNU4-57P,2.0,Vagina
RNU4-58P,0.0,Esophagus Muscularis
RNU4-59P,2.0,Bladder
RNU4-60P,1.0,Vagina
RNU4-61P,2.0,Spleen
RNU4-62P,44.0,Spleen
RNU4-63P,0.0,Esophagus Muscularis
RNU4-64P,2.0,Esophagus Muscularis
RNU4-65P,9.0,Brain Cerebellar Hemisphere
RNU4-66P,0.0,Esophagus Muscularis
RNU4-67P,0.0,Esophagus Muscularis
RNU4-68P,10.0,Brain Cortex
RNU4-69P,2.0,Testis
RNU4-70P,0.0,Esophagus Muscularis
RNU4-71P,0.0,Esophagus Muscularis
RNU4-72P,4.0,Testis
RNU4-73P,1.0,Artery Coronary
RNU4-74P,0.0,Esophagus Muscularis
RNU4-75P,2.0,Thyroid
RNU4-76P,1.0,Brain Cortex
RNU4-77P,0.0,Esophagus Muscularis
RNU4-78P,15.0,Testis
RNU4-79P,2.0,Cells Cultured fibroblasts
RNU4-80P,3.0,Esophagus Mucosa
RNU4-81P,1.0,Brain Nucleus accumbens basal ganglia
RNU4-82P,13.0,Testis
RNU4-83P,0.0,Esophagus Muscularis
RNU4-84P,1.0,Testis
RNU4-85P,4.0,Small Intestine Terminal Ileum
RNU4-86P,2.0,Skin Sun Exposed Lower leg
RNU4-87P,2.0,Testis
RNU4-88P,2.0,Brain Cerebellar Hemisphere
RNU4-89P,8.0,Artery Aorta
RNU4-90P,6.0,Whole Blood
RNU4-91P,1.0,Prostate
RNU4-92P,19.0,Brain Cerebellar Hemisphere
