Gene,Max Expression,Location
RNU6ATAC,10.0,Brain Hypothalamus
RNU6ATAC2P,5.0,Brain Anterior cingulate cortex BA24
RNU6ATAC3P,5.0,Testis
RNU6ATAC4P,10.0,Nerve Tibial
RNU6ATAC5P,0.0,Esophagus Muscularis
RNU6ATAC6P,1.0,Testis
RNU6ATAC7P,1.0,Esophagus Muscularis
RNU6ATAC8P,8.0,Brain Cortex
RNU6ATAC9P,2.0,Pancreas
RNU6ATAC10P,6.0,Adipose Subcutaneous
RNU6ATAC11P,2.0,Testis
RNU6ATAC12P,1.0,Brain Hypothalamus
RNU6ATAC13P,0.0,Esophagus Muscularis
RNU6ATAC14P,4.0,Kidney Cortex
RNU6ATAC15P,1.0,Vagina
RNU6ATAC16P,18.0,Testis
RNU6ATAC17P,4.0,Bladder
RNU6ATAC18P,43.0,Bladder
RNU6ATAC19P,1.0,Lung
RNU6ATAC20P,2.0,Kidney Cortex
RNU6ATAC21P,0.0,Esophagus Muscularis
RNU6ATAC22P,1.0,Fallopian Tube
RNU6ATAC23P,1.0,Esophagus Gastroesophageal Junction
RNU6ATAC24P,17.0,Small Intestine Terminal Ileum
RNU6ATAC25P,1.0,Brain Caudate basal ganglia
RNU6ATAC26P,3.0,Brain Cortex
RNU6ATAC27P,8.0,Vagina
RNU6ATAC28P,1.0,Pancreas
RNU6ATAC29P,1.0,Small Intestine Terminal Ileum
RNU6ATAC30P,2.0,Cells Cultured fibroblasts
RNU6ATAC31P,0.0,Esophagus Muscularis
RNU6ATAC32P,5.0,Brain Cortex
RNU6ATAC33P,2.0,Cells EBV-transformed lymphocytes
RNU6ATAC34P,2.0,Testis
RNU6ATAC35P,59.0,Breast Mammary Tissue
RNU6ATAC36P,4.0,Thyroid
RNU6ATAC37P,0.0,Esophagus Muscularis
RNU6ATAC38P,5.0,Bladder
RNU6ATAC39P,2.0,Brain Cerebellar Hemisphere
RNU6ATAC40P,3.0,Kidney Cortex
RNU6ATAC41P,1.0,Skin Not Sun Exposed Suprapubic
RNU6ATAC42P,2.0,Pancreas
