Gene,Max Expression,Location
RNU2-1,5.0,Brain Cerebellar Hemisphere
RNU2-2P,45.0,Brain Cerebellar Hemisphere
RNU2-3P,5.0,Stomach
RNU2-4P,6.0,Brain Cortex
RNU2-5P,8.0,Colon Transverse
RNU2-6P,7.0,Artery Coronary
RNU2-7P,12.0,Pituitary
RNU2-8P,0.0,Esophagus Muscularis
RNU2-9P,0.0,Esophagus Muscularis
RNU2-10P,2.0,Brain Caudate basal ganglia
RNU2-11P,32.0,Brain Cerebellum
RNU2-12P,3.0,Nerve Tibial
RNU2-13P,8.0,Prostate
RNU2-14P,1.0,Testis
RNU2-15P,16.0,Brain Cerebellar Hemisphere
RNU2-16P,2.0,Fallopian Tube
RNU2-17P,9.0,Small Intestine Terminal Ileum
RNU2-18P,2.0,Cells EBV-transformed lymphocytes
RNU2-19P,2.0,Kidney Cortex
RNU2-20P,4.0,Brain Caudate basal ganglia
RNU2-21P,1.0,Testis
RNU2-22P,15.0,Nerve Tibial
RNU2-23P,2.0,Artery Aorta
RNU2-24P,2.0,Brain Nucleus accumbens basal ganglia
RNU2-25P,4.0,Kidney Cortex
RNU2-26P,1.0,Brain Putamen basal ganglia
RNU2-27P,25.0,Cells EBV-transformed lymphocytes
RNU2-28P,15.0,Adipose Subcutaneous
RNU2-29P,1.0,Testis
RNU2-30P,2.0,Esophagus Muscularis
RNU2-31P,3.0,Colon Transverse
RNU2-32P,4.0,Minor Salivary Gland
RNU2-33P,6.0,Brain Cortex
RNU2-34P,1.0,Cervix Ectocervix
RNU2-35P,2.0,Brain Cortex
RNU2-36P,0.0,Esophagus Muscularis
RNU2-37P,3.0,Testis
RNU2-38P,51.0,Artery Aorta
RNU2-39P,5.0,Vagina
RNU2-40P,3.0,Testis
RNU2-41P,2.0,Testis
RNU2-42P,2.0,Testis
RNU2-43P,1.0,Brain Nucleus accumbens basal ganglia
RNU2-44P,2.0,Testis
RNU2-45P,1.0,Artery Coronary
RNU2-46P,4.0,Brain Cerebellum
RNU2-47P,1.0,Heart Left Ventricle
RNU2-48P,1.0,Artery Tibial
RNU2-49P,1.0,Brain Frontal Cortex BA9
RNU2-50P,1.0,Kidney Cortex
RNU2-51P,7.0,Nerve Tibial
RNU2-52P,4.0,Kidney Medulla
RNU2-53P,1.0,Thyroid
RNU2-54P,0.0,Esophagus Muscularis
RNU2-55P,0.0,Esophagus Muscularis
RNU2-56P,0.0,Esophagus Muscularis
RNU2-57P,2.0,Colon Sigmoid
RNU2-58P,4.0,Testis
RNU2-59P,2.0,Colon Transverse
RNU2-60P,1.0,Brain Caudate basal ganglia
RNU2-61P,0.0,Esophagus Muscularis
RNU2-62P,2.0,Testis
RNU2-63P,6.0,Colon Transverse
RNU2-64P,1.0,Testis
RNU2-65P,3.0,Brain Cerebellar Hemisphere
RNU2-66P,0.0,Esophagus Muscularis
RNU2-68P,4.0,Spleen
RNU2-69P,6.0,Testis
RNU2-70P,8.0,Pancreas
RNU2-71P,2.0,Brain Caudate basal ganglia
RNU2-72P,6.0,Testis
