Gene,Max Expression,Location
RNY1,14.0,Brain Caudate basal ganglia
RNY1P1,3.0,Testis
RNY1P2,5.0,Brain Cerebellar Hemisphere
RNY1P3,2.0,Brain Caudate basal ganglia
RNY1P4,12.0,Nerve Tibial
RNY1P5,0.0,Esophagus Muscularis
RNY1P6,8.0,Cells EBV-transformed lymphocytes
RNY1P7,1.0,Testis
RNY1P8,2.0,Bladder
RNY1P9,5.0,Brain Cerebellum
RNY1P10,2.0,Testis
RNY1P11,27.0,Small Intestine Terminal Ileum
RNY1P12,5.0,Testis
RNY1P13,23.0,Testis
RNY1P14,6.0,Nerve Tibial
RNY1P15,2.0,Skin Not Sun Exposed Suprapubic
RNY1P16,18.0,Adipose Subcutaneous
RNY3,1.0,Cells Cultured fibroblasts
RNY3P1,3.0,Brain Hippocampus
RNY3P2,5.0,Nerve Tibial
RNY3P3,0.0,Esophagus Muscularis
RNY3P4,1.0,Ovary
RNY3P5,1.0,Esophagus Gastroesophageal Junction
RNY3P6,6.0,Testis
RNY3P7,13.0,Lung
RNY3P8,44.0,Whole Blood
RNY3P9,10.0,Nerve Tibial
RNY3P10,0.0,Esophagus Muscularis
RNY3P11,1.0,Brain Cerebellar Hemisphere
RNY3P12,2.0,Artery Coronary
RNY3P13,7.0,Brain Cortex
RNY3P14,3.0,Testis
RNY3P15,73.0,Testis
RNY3P16,50.0,Brain Cerebellar Hemisphere
RNY4,2.0,Esophagus Muscularis
RNY4P1,0.0,Esophagus Muscularis
RNY4P2,1.0,Lung
RNY4P3,3.0,Testis
RNY4P4,5.0,Testis
RNY4P5,2.0,Whole Blood
RNY4P6,5.0,Fallopian Tube
RNY4P7,3.0,Artery Aorta
RNY4P8,2.0,Pituitary
RNY4P9,2.0,Brain Cerebellum
RNY4P10,54.0,Small Intestine Terminal Ileum
RNY4P11,4.0,Pituitary
RNY4P13,1.0,Skin Sun Exposed Lower leg
RNY4P14,2.0,Cervix Endocervix
RNY4P15,1.0,Colon Sigmoid
RNY4P16,1.0,Testis
RNY4P17,6.0,Kidney Cortex
RNY4P18,1.0,Colon Transverse
RNY4P19,6.0,Brain Cortex
RNY4P20,6.0,Testis
RNY4P21,1.0,Brain Anterior cingulate cortex BA24
RNY4P22,0.0,Esophagus Muscularis
RNY4P23,2.0,Cells EBV-transformed lymphocytes
RNY4P24,5.0,Skin Sun Exposed Lower leg
RNY4P25,9.0,Nerve Tibial
RNY4P26,4.0,Thyroid
RNY4P27,0.0,Esophagus Muscularis
RNY4P28,2.0,Pancreas
RNY4P29,0.0,Esophagus Muscularis
RNY4P30,0.0,Esophagus Muscularis
RNY4P31,0.0,Esophagus Muscularis
RNY4P34,1.0,Skin Not Sun Exposed Suprapubic
RNY4P36,8.0,Artery Aorta
RNY4P37,12.0,Brain Cerebellar Hemisphere
RNY5,5.0,Colon Transverse
RNY5P1,7.0,Testis
RNY5P2,6.0,Vagina
RNY5P3,1.0,Testis
RNY5P4,0.0,Esophagus Muscularis
RNY5P5,1.0,Testis
RNY5P6,2.0,Esophagus Gastroesophageal Junction
RNY5P7,0.0,Esophagus Muscularis
RNY5P8,35.0,Brain Cerebellum
RNY5P9,2.0,Brain Cerebellum
RNY5P10,2.0,Brain Nucleus accumbens basal ganglia
