Gene,Median_Conservation,Max_Conservation
RNU2-1,0.9869999885559082,0.9980000257492064
RNU2-2P,0.7630000114440918,0.9950000047683716
RNU2-3P,0.04699999839067459,0.17299999296665192
RNU2-4P,0.9625000059604645,0.996999979019165
RNU2-5P,0.3994999974966049,0.671999990940094
RNU2-6P,0.01200000010430812,0.28999999165534973
RNU2-7P,0.05849999934434891,0.5559999942779541
RNU2-8P,0.08449999988079071,0.8130000233650208
RNU2-9P,0.02800000086426735,0.17900000512599945
RNU2-10P,0.03500000014901161,0.7620000243186951
RNU2-12P,0.3330000042915344,0.5809999704360962
RNU2-13P,0.4009999930858612,0.9319999814033508
RNU2-14P,0.2029999941587448,0.7450000047683716
RNU2-15P,0.0260000005364418,0.35899999737739563
RNU2-16P,0.013500000350177285,0.5440000295639038
RNU2-17P,0.06400000303983688,0.9869999885559082
RNU2-18P,0.02199999988079071,0.31299999356269836
RNU2-19P,0.01200000010430812,0.02800000086426735
RNU2-20P,0.00700000021606683,0.1420000046491623
RNU2-21P,0.0040000001899898,0.5040000081062317
RNU2-22P,0.04899999871850014,0.977999985218048
RNU2-23P,0.28299999237060547,0.972000002861023
RNU2-24P,0.02500000037252903,0.22300000488758087
RNU2-25P,0.00499999988824129,0.414000004529953
RNU2-26P,0.00800000037997961,0.119999997317791
RNU2-27P,0.0040000001899898,0.4580000042915344
RNU2-28P,0.00100000004749745,0.4959999918937683
RNU2-29P,0.0089999996125698,0.628000020980835
RNU2-30P,0.1120000034570694,0.652999997138977
RNU2-31P,0.02700000070035457,0.375
RNU2-32P,0.02400000020861625,0.7059999704360962
RNU2-33P,0.00300000002607703,0.20999999344348907
RNU2-34P,0.02300000004470348,0.4839999973773956
RNU2-35P,0.23600000143051147,0.7239999771118164
RNU2-36P,0.22599999606609344,0.8289999961853027
RNU2-37P,0.1589999943971634,0.4970000088214874
RNU2-38P,0.00300000002607703,0.20000000298023224
RNU2-39P,0.00300000002607703,0.4830000102519989
RNU2-40P,0.0130000002682209,0.10499999672174454
RNU2-41P,0.0065000001341104455,0.335999995470047
RNU2-42P,0.00300000002607703,0.12800000607967377
RNU2-43P,0.00300000002607703,0.2709999978542328
RNU2-44P,0.05849999934434891,0.36000001430511475
RNU2-45P,0.1509999930858612,0.5529999732971191
RNU2-46P,0.02099999971687793,0.7419999837875366
RNU2-47P,0.0020000000949949,0.07900000363588333
RNU2-48P,0.03099999949336052,0.3619999885559082
RNU2-49P,0.03849999979138374,0.2930000126361847
RNU2-50P,0.01499999966472387,0.12099999934434892
RNU2-51P,0.12399999797344208,0.8659999966621399
RNU2-52P,0.08900000154972076,0.9449999928474426
RNU2-53P,0.00700000021606683,0.1430000066757202
RNU2-54P,0.036000000312924385,0.8939999938011169
RNU2-55P,0.01400000043213367,0.1340000033378601
RNU2-56P,0.079500000923872,0.6639999747276306
RNU2-57P,0.00700000021606683,0.0949999988079071
RNU2-58P,0.02400000020861625,0.3199999928474426
RNU2-59P,0.16099999845027924,0.2930000126361847
RNU2-60P,0.02400000020861625,0.2840000092983246
RNU2-61P,0.14800000190734863,0.5189999938011169
RNU2-62P,0.35199999809265137,0.8830000162124634
RNU2-63P,0,0.00300000002607703
RNU2-64P,0.00100000004749745,0.01600000075995922
RNU2-65P,0.01600000075995922,0.36899998784065247
RNU2-66P,0.12800000607967377,0.5580000281333923
RNU2-68P,0.4690000116825104,0.7620000243186951
RNU2-69P,0.027999999932944768,0.13899999856948853
RNU2-70P,0.02400000020861625,0.5460000038146973
RNU2-71P,0.00100000004749745,0.3449999988079071
RNU2-72P,0.0130000002682209,0.35100001096725464
