Gene,Median_Conservation,Max_Conservation
RNU4-1,1,1
RNU4-2,1,1
RNU4-3P,0.17099999636411667,0.8379999995231628
RNU4-4P,0.08650000020861626,0.6420000195503235
RNU4-5P,0.04500000178813934,1
RNU4-6P,0.05099999904632568,0.8970000147819519
RNU4-7P,0.0390000008046627,0.5220000147819519
RNU4-8P,0.02300000004470348,0.7300000190734863
RNU4-9P,0.05000000074505806,0.875
RNU4-10P,0.08500000089406967,0.5839999914169312
RNU4-11P,0.01899999938905239,0.1379999965429306
RNU4-12P,0.11100000143051147,0.5339999794960022
RNU4-13P,0.05400000140070915,0.3779999911785126
RNU4-14P,0.01999999955296516,0.25699999928474426
RNU4-15P,0.00800000037997961,0.13500000536441803
RNU4-16P,0.03099999949336052,0.8389999866485596
RNU4-17P,0.0020000000949949,0.37700000405311584
RNU4-18P,0.0020000000949949,0.08699999749660492
RNU4-20P,0.00700000021606683,0.1430000066757202
RNU4-21P,0.0260000005364418,0.19200000166893005
RNU4-22P,0.05999999865889549,0.8700000047683716
RNU4-23P,0.03550000116229057,0.6980000138282776
RNU4-24P,0.00100000004749745,0.01799999922513961
RNU4-25P,0.0089999996125698,0.8270000219345093
RNU4-26P,0.00700000021606683,0.30399999022483826
RNU4-27P,0.01099999994039535,0.45500001311302185
RNU4-28P,0.01499999966472387,0.11500000208616255
RNU4-29P,0.016500000841915607,0.5109999775886536
RNU4-30P,0.02500000037252903,0.9800000190734864
RNU4-31P,0.34200000762939453,0.6589999794960022
RNU4-32P,0.0130000002682209,0.4830000102519989
RNU4-33P,0.3140000104904175,0.9190000295639038
RNU4-34P,0.02149999979883432,0.26600000262260437
RNU4-35P,0.05000000074505806,0.4830000102519989
RNU4-36P,0.09150000289082527,0.8059999942779541
RNU4-37P,0.00499999988824129,0.11299999803304672
RNU4-38P,0.0820000022649765,0.19599999487400055
RNU4-39P,0.15199999511241913,0.48500001430511475
RNU4-40P,0.1679999977350235,0.671999990940094
RNU4-41P,0.02700000070035457,0.15299999713897705
RNU4-42P,0.04900000058114529,0.181999996304512
RNU4-43P,0.05400000140070915,0.4480000138282776
RNU4-44P,0.0430000014603138,0.753000020980835
RNU4-45P,0.01899999938905239,0.9169999957084656
RNU4-46P,0.04199999943375587,0.28700000047683716
RNU4-47P,0.019499999471008778,0.2930000126361847
RNU4-48P,0.0020000000949949,0.7960000038146973
RNU4-49P,0.03150000050663948,0.4959999918937683
RNU4-50P,0.1469999998807907,0.9350000023841858
RNU4-51P,0.21049999445676804,0.9649999737739564
RNU4-52P,0.02800000086426735,0.5830000042915344
RNU4-53P,0.08100000023841858,0.46799999475479126
RNU4-54P,0.0089999996125698,0.05499999970197677
RNU4-55P,0.3479999899864197,0.949999988079071
RNU4-56P,0.04350000061094761,0.09600000083446504
RNU4-57P,0.21400000154972076,0.8230000138282776
RNU4-58P,0.0089999996125698,0.09399999678134918
RNU4-59P,0.12149999663233757,0.8199999928474426
RNU4-60P,0.00300000002607703,0.13699999451637268
RNU4-61P,0.3880000114440918,0.7599999904632568
RNU4-62P,0.0040000001899898,0.13500000536441803
RNU4-63P,0.19449999928474426,1
RNU4-64P,0.00100000004749745,0.18700000643730164
RNU4-65P,0.039499999955296516,0.6389999985694885
RNU4-66P,0.00750000029802322,0.2549999952316284
RNU4-67P,0.3630000054836273,0.8309999704360962
RNU4-68P,0.01400000043213367,0.07699999958276749
RNU4-69P,0.19699999690055847,0.7080000042915344
RNU4-70P,0.01700000092387199,0.6140000224113464
RNU4-71P,0.19200000166893005,0.6150000095367432
RNU4-72P,0.07900000363588333,0.5260000228881836
RNU4-73P,0.01099999994039535,0.17399999499320984
RNU4-74P,0.01099999994039535,0.6909999847412109
RNU4-75P,0.08249999955296516,0.7260000109672546
RNU4-76P,0.06300000101327896,0.8270000219345093
RNU4-77P,0.0130000002682209,0.33399999141693115
RNU4-78P,0.00300000002607703,0.07599999755620956
RNU4-79P,0.13699999451637268,0.6959999799728394
RNU4-80P,0.0089999996125698,0.1860000044107437
RNU4-81P,0.060499999672174454,0.17499999701976776
RNU4-82P,0.0130000002682209,0.1599999964237213
RNU4-83P,0.11800000071525574,0.5989999771118164
RNU4-84P,0.30300000309944153,0.6610000133514404
RNU4-85P,0.49900001287460327,0.8880000114440918
RNU4-86P,0.0130000002682209,0.1289999932050705
RNU4-87P,0.25349999964237213,0.8289999961853027
RNU4-88P,0.010499999858438965,0.18000000715255737
RNU4-89P,0.02800000086426735,0.4099999964237213
RNU4-90P,0.28700000047683716,0.5249999761581421
RNU4-91P,0.0089999996125698,0.07199999690055847
RNU4-92P,0.00700000021606683,0.23499999940395355
