Gene,Max Expression,Location
RNU6-1,37.0,Brain Anterior cingulate cortex BA24
RNU6-2,60.0,Brain Anterior cingulate cortex BA24
RNU6-3P,23.0,Heart Atrial Appendage
RNU6-4P,50.0,Brain Putamen basal ganglia
RNU6-5P,26.0,Small Intestine Terminal Ileum
RNU6-6P,23.0,Thyroid
RNU6-7,5.0,Testis
RNU6-8,56.0,Brain Cerebellar Hemisphere
RNU6-9,24.0,Thyroid
RNU6-10P,6.0,Brain Nucleus accumbens basal ganglia
RNU6-11P,60.0,Brain Cortex
RNU6-12P,4.0,Brain Hypothalamus
RNU6-13P,4.0,Adipose Visceral Omentum
RNU6-14P,2.0,Testis
RNU6-15P,28.0,Brain Cortex
RNU6-16P,5.0,Testis
RNU6-17P,4.0,Heart Atrial Appendage
RNU6-18P,6.0,Brain Caudate basal ganglia
RNU6-19P,3.0,Thyroid
RNU6-20P,8.0,Thyroid
RNU6-21P,2.0,Brain Caudate basal ganglia
RNU6-22P,3.0,Testis
RNU6-23P,3.0,Testis
RNU6-24P,2.0,Colon Transverse
RNU6-25P,6.0,Esophagus Gastroesophageal Junction
RNU6-26P,103.0,Testis
RNU6-27P,2.0,Brain Substantia nigra
RNU6-28P,2.0,Skin Not Sun Exposed Suprapubic
RNU6-29P,18.0,Brain Cortex
RNU6-30P,31.0,Brain Hypothalamus
RNU6-31P,1.0,Artery Coronary
RNU6-32P,7.0,Testis
RNU6-33P,23.0,Heart Atrial Appendage
RNU6-34P,2.0,Esophagus Muscularis
RNU6-35P,2.0,Pancreas
RNU6-36P,21.0,Heart Atrial Appendage
RNU6-37P,8.0,Brain Caudate basal ganglia
RNU6-38P,0.0,Esophagus Muscularis
RNU6-39P,4.0,Brain Caudate basal ganglia
RNU6-40P,3.0,Esophagus Gastroesophageal Junction
RNU6-41P,1.0,Colon Sigmoid
RNU6-42P,9.0,Brain Putamen basal ganglia
RNU6-43P,3.0,Brain Substantia nigra
RNU6-44P,1.0,Vagina
RNU6-45P,16.0,Brain Nucleus accumbens basal ganglia
RNU6-46P,3.0,Brain Putamen basal ganglia
RNU6-47P,2.0,Adrenal Gland
RNU6-48P,16.0,Testis
RNU6-49P,1.0,Kidney Cortex
RNU6-50P,22.0,Brain Cerebellar Hemisphere
RNU6-52P,1.0,Testis
RNU6-53P,9.0,Testis
RNU6-54P,0.0,Esophagus Muscularis
RNU6-55P,3.0,Brain Substantia nigra
RNU6-56P,0.0,Esophagus Muscularis
RNU6-57P,9.0,Brain Cortex
RNU6-58P,1.0,Heart Left Ventricle
RNU6-59P,1.0,Pancreas
RNU6-60P,1.0,Pancreas
RNU6-61P,3.0,Brain Cerebellar Hemisphere
RNU6-62P,2.0,Colon Transverse
RNU6-63P,4.0,Spleen
RNU6-64P,2.0,Esophagus Gastroesophageal Junction
RNU6-65P,0.0,Esophagus Muscularis
RNU6-66P,0.0,Esophagus Muscularis
RNU6-67P,0.0,Esophagus Muscularis
RNU6-68P,1.0,Liver
RNU6-69P,2.0,Skin Not Sun Exposed Suprapubic
RNU6-70P,4.0,Brain Nucleus accumbens basal ganglia
RNU6-71P,1.0,Colon Transverse
RNU6-72P,1.0,Brain Hippocampus
RNU6-73P,0.0,Esophagus Muscularis
RNU6-74P,1.0,Brain Caudate basal ganglia
RNU6-75P,1.0,Heart Left Ventricle
RNU6-76P,0.0,Esophagus Muscularis
RNU6-77P,0.0,Esophagus Muscularis
RNU6-78P,0.0,Esophagus Muscularis
RNU6-79P,2.0,Small Intestine Terminal Ileum
RNU6-80P,3.0,Spleen
RNU6-81P,0.0,Esophagus Muscularis
RNU6-82P,2.0,Brain Cerebellar Hemisphere
RNU6-83P,4.0,Brain Cerebellar Hemisphere
RNU6-84P,0.0,Esophagus Muscularis
RNU6-85P,1.0,Artery Aorta
RNU6-86P,0.0,Esophagus Muscularis
RNU6-87P,7.0,Brain Cortex
RNU6-88P,13.0,Testis
RNU6-89P,1.0,Colon Transverse
RNU6-90P,7.0,Testis
RNU6-91P,2.0,Brain Anterior cingulate cortex BA24
RNU6-92P,2.0,Testis
