Gene,Max Expression,Location
RNU7-1,1.0,Uterus
RNU7-2P,0.0,Esophagus Muscularis
RNU7-3P,9.0,Skin Not Sun Exposed Suprapubic
RNU7-4P,2.0,Nerve Tibial
RNU7-5P,2.0,Minor Salivary Gland
RNU7-6P,1.0,Lung
RNU7-7P,1.0,Uterus
RNU7-8P,3.0,Nerve Tibial
RNU7-9P,1.0,Brain Spinal cord cervical c-1
RNU7-10P,2.0,Nerve Tibial
RNU7-11P,5.0,Nerve Tibial
RNU7-12P,1.0,Brain Caudate basal ganglia
RNU7-13P,6.0,Prostate
RNU7-14P,0.0,Esophagus Muscularis
RNU7-15P,1.0,Brain Anterior cingulate cortex BA24
RNU7-16P,7.0,Testis
RNU7-17P,2.0,Artery Tibial
RNU7-18P,5.0,Adipose Visceral Omentum
RNU7-19P,2.0,Skin Not Sun Exposed Suprapubic
RNU7-20P,6.0,Skin Sun Exposed Lower leg
RNU7-21P,0.0,Esophagus Muscularis
RNU7-22P,0.0,Esophagus Muscularis
RNU7-23P,2.0,Brain Putamen basal ganglia
RNU7-24P,0.0,Esophagus Muscularis
RNU7-25P,1.0,Skin Sun Exposed Lower leg
RNU7-26P,1.0,Pancreas
RNU7-27P,0.0,Esophagus Muscularis
RNU7-28P,3.0,Skin Sun Exposed Lower leg
RNU7-29P,8.0,Whole Blood
RNU7-30P,1.0,Testis
RNU7-31P,112.0,Small Intestine Terminal Ileum
RNU7-32P,3.0,Artery Aorta
RNU7-33P,2.0,Artery Tibial
RNU7-34P,0.0,Esophagus Muscularis
RNU7-35P,2.0,Brain Cerebellum
RNU7-36P,2.0,Bladder
RNU7-37P,2.0,Nerve Tibial
RNU7-38P,2.0,Lung
RNU7-39P,5.0,Testis
RNU7-40P,15.0,Stomach
RNU7-41P,2.0,Whole Blood
RNU7-42P,3.0,Testis
RNU7-43P,9.0,Artery Aorta
RNU7-44P,28.0,Small Intestine Terminal Ileum
RNU7-45P,18.0,Adipose Subcutaneous
RNU7-46P,1.0,Testis
RNU7-47P,7.0,Nerve Tibial
RNU7-48P,10.0,Vagina
RNU7-49P,15.0,Lung
RNU7-50P,0.0,Esophagus Muscularis
RNU7-51P,0.0,Esophagus Muscularis
RNU7-52P,2.0,Cervix Endocervix
RNU7-53P,0.0,Esophagus Muscularis
RNU7-54P,2.0,Testis
RNU7-55P,4.0,Whole Blood
RNU7-56P,0.0,Esophagus Muscularis
RNU7-57P,28.0,Testis
RNU7-58P,6.0,Testis
RNU7-59P,4.0,Brain Cerebellum
RNU7-60P,4.0,Brain Cortex
RNU7-61P,5.0,Brain Cerebellar Hemisphere
RNU7-62P,3.0,Testis
RNU7-63P,2.0,Skin Not Sun Exposed Suprapubic
RNU7-64P,3.0,Brain Cortex
RNU7-65P,0.0,Esophagus Muscularis
RNU7-66P,0.0,Esophagus Muscularis
RNU7-67P,3.0,Testis
RNU7-68P,0.0,Esophagus Muscularis
RNU7-69P,0.0,Esophagus Muscularis
RNU7-70P,3.0,Skin Sun Exposed Lower leg
RNU7-71P,5.0,Artery Aorta
RNU7-72P,2.0,Thyroid
RNU7-73P,1.0,Heart Left Ventricle
RNU7-74P,0.0,Esophagus Muscularis
RNU7-75P,25.0,Skin Sun Exposed Lower leg
RNU7-76P,0.0,Esophagus Muscularis
RNU7-77P,8.0,Nerve Tibial
RNU7-78P,0.0,Esophagus Muscularis
RNU7-79P,2.0,Artery Aorta
RNU7-80P,4.0,Artery Aorta
RNU7-81P,1.0,Small Intestine Terminal Ileum
RNU7-82P,3.0,Adipose Subcutaneous
