"gene_name","gene_group","chromosome","start","end","gene_length","flank_length","snp_count_1000genomes","snp_density_1000genomes","flank_count_1000genomes","flank_density_1000genomes","enrichment_1000genomes","snp_count_gnomad","snp_density_gnomad","flank_count_gnomad","flank_density_gnomad","enrichment_gnomad","snp_count_pangenome","snp_density_pangenome","flank_count_pangenome","flank_density_pangenome","enrichment_pangenome","snp_count_dbsnp","snp_density_dbsnp","flank_count_dbsnp","flank_density_dbsnp","enrichment_dbsnp","intergenic_density_1000genomes","enrichment_intergenic_1000genomes","intergenic_density_gnomad","enrichment_intergenic_gnomad","intergenic_density_pangenome","enrichment_intergenic_pangenome","intergenic_density_dbsnp","enrichment_intergenic_dbsnp","locus_type","gene_type"
"RNU6-1100P","RNU6","chr1",157784,157887,104,10400,0,0.0,0,0.0,0.0,23,0.2211538461538461,158,0.0151923076923076,14.556962025316457,0,0.0,0,0.0,0.0,24,0.2307692307692307,867,0.0833653846153846,2.768166089965398,0.0213713703515028,0.0,0.2118689081338088,1.0438239763532142,0.0071013333333333,0.0,0.2879,0.801560370855265,"pseudogene","pseudogene"
"RNU6-1199P","RNU6","chr1",758233,758336,104,10400,0,0.0,1,9.615384615384615e-05,0.0,20,0.1923076923076923,230,0.0221153846153846,8.695652173913043,3,0.0288461538461538,152,0.0146153846153846,1.973684210526316,33,0.3173076923076923,3098,0.2978846153846153,1.0652033570045192,0.0213713703515028,0.0,0.2118689081338088,0.9076730229158384,0.0071013333333333,4.062075738756175,0.2879,1.1021455099259891,"pseudogene","pseudogene"
"RN7SL657P","RN7SL","chr1",1405460,1405752,293,29299,9,0.030716723549488,95,0.0032424314823031,9.473360876594215,72,0.2457337883959044,989,0.0337554182736612,7.279832422863098,2,0.0068259385665529,269,0.0091812007235741,0.7434690485555147,143,0.4880546075085324,13790,0.4706645277995836,1.0369479293250536,0.0213713703515028,1.43728376067041,0.2118689081338088,1.159838838838532,0.0071013333333333,0.961219287441734,0.2879,1.6952226728326931,"pseudogene","pseudogene"
"RN7SL574P","RN7SL","chr1",3782815,3783111,297,29699,13,0.0437710437710437,100,0.0033671167379373,12.99956228956229,96,0.3232323232323232,767,0.0258257853799791,12.515875837909736,4,0.0134680134680134,320,0.0107747735613993,1.2499579124579123,119,0.4006734006734007,12233,0.4118993905518704,0.9727457963377198,0.0213713703515028,2.048115916346275,0.2118689081338088,1.5256241516484397,0.0071013333333333,1.8965471462655088,0.2879,1.391710318420982,"pseudogene","pseudogene"
"RNU6-731P","RNU6","chr1",6540854,6540964,111,11099,6,0.054054054054054,34,0.0030633390395531,17.645468998410177,25,0.2252252252252252,425,0.0382917379944139,5.881822999470058,1,0.009009009009009,133,0.0119830615370754,0.7518119623382782,45,0.4054054054054054,4276,0.3852599333273268,1.0522905974262382,0.0213713703515028,2.529274125383965,0.2118689081338088,1.0630404772888198,0.0071013333333333,1.268636266758685,0.2879,1.4081465974484384,"pseudogene","pseudogene"
"RNU1-8P","RNU1","chr1",7219360,7219524,165,16499,3,0.0181818181818181,43,0.0026062185587005,6.976321353065539,36,0.2181818181818181,416,0.0252136493120795,8.653321678321678,0,0.0,154,0.0093338990241832,0.0,36,0.2181818181818181,3741,0.2267410146069458,0.962251221112488,0.0213713703515028,0.8507558421746064,0.2118689081338088,1.0297963023626968,0.0071013333333333,0.0,0.2879,0.7578388960813414,"pseudogene","pseudogene"
"TRUND-NNN4-1","TRNA","chr1",7930279,7930348,70,7000,5,0.0714285714285714,22,0.0031428571428571,22.727272727272727,22,0.3142857142857143,248,0.0354285714285714,8.870967741935484,2,0.0285714285714285,55,0.0078571428571428,3.636363636363636,24,0.3428571428571428,2469,0.3527142857142857,0.9720534629404618,0.0213713703515028,3.342255094257382,0.2118689081338088,1.4833970545938846,0.0071013333333333,4.0233893031489725,0.2879,1.190889693842108,"pseudogene","pseudogene"
"RNU1-7P","RNU1","chr1",8206434,8206597,164,16400,3,0.0182926829268292,46,0.0028048780487804,6.521739130434782,47,0.2865853658536585,369,0.0225,12.737127371273711,0,0.0,183,0.0111585365853658,0.0,71,0.4329268292682927,5825,0.3551829268292683,1.2188841201716738,0.0213713703515028,0.8559433777976223,0.2118689081338088,1.352654187808725,0.0071013333333333,0.0,0.2879,1.5037402892264422,"pseudogene","pseudogene"
"RNU6-991P","RNU6","chr1",8292157,8292263,107,10699,5,0.0467289719626168,43,0.0040190672025422,11.626820256465985,27,0.2523364485981308,347,0.032432937657725,7.780252632712973,4,0.0373831775700934,125,0.0116833348911113,3.199700934579439,35,0.3271028037383177,3891,0.3636788484905131,0.899427627138592,0.0213713703515028,2.1865220242805306,0.2118689081338088,1.191002732872745,0.0071013333333333,5.2642476863631416,0.2879,1.136168126913226,"pseudogene","pseudogene"
"RNU6-304P","RNU6","chr1",8883427,8883533,107,10699,4,0.0373831775700934,23,0.0021497336199644,17.38967899227956,26,0.2429906542056074,354,0.0330872044116272,7.343946354084164,1,0.0093457943925233,100,0.009346667912889,0.9999065420560748,44,0.411214953271028,4280,0.4000373866716515,1.02794130491746,0.0213713703515028,1.7492176194244242,0.2118689081338088,1.1468915205441248,0.0071013333333333,1.3160619215907854,0.2879,1.4283256452623412,"pseudogene","pseudogene"
