Gene,Max Expression,Location
RN7SL1,529.0,Pancreas
RN7SL2,4.0,Pituitary
RN7SL3,1.0,Vagina
RN7SL4P,844.0,Brain Cerebellar Hemisphere
RN7SL5P,835.0,Brain Anterior cingulate cortex BA24
RN7SL6P,31.0,Brain Cortex
RN7SL7P,2.0,Colon Transverse
RN7SL8P,81.0,Kidney Medulla
RN7SL11P,2.0,Vagina
RN7SL12P,12.0,Skin Sun Exposed Lower leg
RN7SL14P,1.0,Prostate
RN7SL15P,34.0,Vagina
RN7SL16P,2.0,Testis
RN7SL18P,2.0,Kidney Medulla
RN7SL19P,6.0,Small Intestine Terminal Ileum
RN7SL20P,4.0,Skin Sun Exposed Lower leg
RN7SL22P,3.0,Artery Tibial
RN7SL23P,18.0,Testis
RN7SL25P,5.0,Kidney Cortex
RN7SL26P,5.0,Testis
RN7SL28P,3.0,Spleen
RN7SL30P,2.0,Prostate
RN7SL32P,25.0,Small Intestine Terminal Ileum
RN7SL33P,1.0,Small Intestine Terminal Ileum
RN7SL34P,8.0,Brain Cortex
RN7SL35P,1.0,Testis
RN7SL36P,2.0,Small Intestine Terminal Ileum
RN7SL37P,5.0,Testis
RN7SL38P,0.0,Esophagus Muscularis
RN7SL39P,1.0,Testis
RN7SL40P,9.0,Brain Nucleus accumbens basal ganglia
RN7SL41P,2.0,Testis
RN7SL42P,3.0,Adipose Visceral Omentum
RN7SL43P,2.0,Kidney Cortex
RN7SL44P,6.0,Nerve Tibial
RN7SL45P,4.0,Brain Nucleus accumbens basal ganglia
RN7SL47P,2.0,Small Intestine Terminal Ileum
RN7SL48P,5.0,Cervix Ectocervix
RN7SL49P,23.0,Nerve Tibial
RN7SL50P,1.0,Skin Sun Exposed Lower leg
RN7SL51P,2.0,Testis
RN7SL52P,2.0,Vagina
RN7SL55P,2.0,Uterus
RN7SL57P,2.0,Skin Sun Exposed Lower leg
RN7SL58P,1.0,Lung
RN7SL60P,2.0,Vagina
RN7SL62P,0.0,Esophagus Muscularis
RN7SL63P,2.0,Stomach
RN7SL65P,2.0,Brain Cerebellar Hemisphere
RN7SL66P,3.0,Pancreas
RN7SL67P,5.0,Kidney Cortex
RN7SL68P,6.0,Fallopian Tube
RN7SL69P,4.0,Testis
RN7SL70P,2.0,Kidney Cortex
RN7SL72P,1.0,Adipose Visceral Omentum
RN7SL73P,4.0,Uterus
RN7SL74P,2.0,Esophagus Gastroesophageal Junction
RN7SL75P,21.0,Testis
RN7SL76P,5.0,Colon Transverse
RN7SL77P,10.0,Minor Salivary Gland
RN7SL78P,5.0,Brain Cortex
RN7SL79P,1.0,Brain Hippocampus
RN7SL81P,23.0,Colon Transverse
RN7SL82P,6.0,Thyroid
RN7SL83P,2.0,Brain Hippocampus
RN7SL87P,1.0,Breast Mammary Tissue
RN7SL88P,0.0,Esophagus Muscularis
