Gene,Max Expression,Location
RNU1-1,19.0,Brain Cerebellar Hemisphere
RNU1-2,4.0,Small Intestine Terminal Ileum
RNU1-3,35.0,Testis
RNU1-4,4.0,Brain Cerebellar Hemisphere
RNU1-5P,11.0,Testis
RNU1-6P,12.0,Testis
RNU1-7P,1.0,Esophagus Gastroesophageal Junction
RNU1-8P,2.0,Brain Nucleus accumbens basal ganglia
RNU1-11P,4.0,Spleen
RNU1-14P,5.0,Kidney Cortex
RNU1-15P,0.0,Esophagus Muscularis
RNU1-16P,17.0,Testis
RNU1-17P,0.0,Esophagus Muscularis
RNU1-18P,0.0,Esophagus Muscularis
RNU1-19P,2.0,Testis
RNU1-20P,4.0,Testis
RNU1-21P,3.0,Testis
RNU1-22P,15.0,Adipose Subcutaneous
RNU1-23P,9.0,Brain Frontal Cortex BA9
RNU1-24P,11.0,Artery Aorta
RNU1-27P,47.0,Testis
RNU1-28P,3.0,Testis
RNU1-29P,0.0,Esophagus Muscularis
RNU1-30P,7.0,Testis
RNU1-31P,6.0,Heart Left Ventricle
RNU1-32P,2.0,Kidney Cortex
RNU1-33P,2.0,Small Intestine Terminal Ileum
RNU1-34P,2.0,Colon Transverse
RNU1-35P,0.0,Esophagus Muscularis
RNU1-36P,121.0,Artery Aorta
RNU1-38P,6.0,Breast Mammary Tissue
RNU1-39P,32.0,Testis
RNU1-40P,0.0,Esophagus Muscularis
RNU1-41P,75.0,Brain Cortex
RNU1-42P,1.0,Lung
RNU1-43P,2.0,Lung
RNU1-44P,1.0,Skin Sun Exposed Lower leg
RNU1-45P,0.0,Esophagus Muscularis
RNU1-46P,0.0,Esophagus Muscularis
RNU1-47P,23.0,Liver
RNU1-48P,14.0,Brain Cortex
RNU1-49P,0.0,Esophagus Muscularis
RNU1-51P,6.0,Testis
RNU1-52P,1.0,Heart Left Ventricle
RNU1-54P,1.0,Brain Amygdala
RNU1-55P,0.0,Esophagus Muscularis
RNU1-56P,4.0,Nerve Tibial
RNU1-57P,1.0,Brain Nucleus accumbens basal ganglia
RNU1-58P,1.0,Colon Transverse
RNU1-61P,14.0,Lung
RNU1-62P,2.0,Pituitary
RNU1-63P,4.0,Skin Sun Exposed Lower leg
RNU1-64P,6.0,Testis
RNU1-65P,2.0,Brain Cortex
RNU1-67P,13.0,Brain Cerebellar Hemisphere
RNU1-68P,8.0,Artery Aorta
RNU1-70P,384.0,Liver
RNU1-72P,13.0,Brain Nucleus accumbens basal ganglia
RNU1-73P,4.0,Bladder
RNU1-74P,4.0,Testis
RNU1-75P,9.0,Liver
RNU1-76P,2.0,Testis
RNU1-77P,2.0,Cervix Ectocervix
RNU1-78P,1.0,Brain Cerebellar Hemisphere
RNU1-79P,1.0,Testis
RNU1-80P,1.0,Nerve Tibial
RNU1-82P,19.0,Kidney Cortex
RNU1-83P,1.0,Testis
RNU1-84P,1.0,Muscle Skeletal
RNU1-86P,2.0,Brain Caudate basal ganglia
RNU1-88P,5.0,Testis
RNU1-89P,1.0,Liver
RNU1-91P,5.0,Cells Cultured fibroblasts
RNU1-93P,2.0,Testis
RNU1-94P,6.0,Brain Nucleus accumbens basal ganglia
RNU1-95P,0.0,Esophagus Muscularis
RNU1-96P,1.0,Testis
RNU1-97P,0.0,Esophagus Muscularis
RNU1-98P,7.0,Testis
RNU1-100P,8.0,Testis
RNU1-101P,2.0,Testis
RNU1-103P,37.0,Testis
RNU1-104P,1.0,Testis
RNU1-105P,1.0,Testis
RNU1-107P,3.0,Brain Caudate basal ganglia
RNU1-108P,1.0,Brain Cerebellum
RNU1-109P,3.0,Testis
RNU1-112P,0.0,Esophagus Muscularis
RNU1-114P,0.0,Esophagus Muscularis
RNU1-115P,0.0,Esophagus Muscularis
RNU1-116P,4.0,Testis
RNU1-117P,1.0,Testis
RNU1-119P,1.0,Thyroid
RNU1-123P,97.0,Skin Not Sun Exposed Suprapubic
RNU1-124P,6.0,Artery Aorta
RNU1-125P,237.0,Liver
RNU1-128P,0.0,Esophagus Muscularis
RNU1-129P,35.0,Brain Cerebellar Hemisphere
RNU1-130P,1.0,Colon Transverse
RNU1-131P,1.0,Brain Nucleus accumbens basal ganglia
RNU1-132P,5.0,Nerve Tibial
RNU1-133P,1.0,Testis
RNU1-134P,3.0,Pancreas
RNU1-136P,1.0,Spleen
RNU1-138P,10.0,Heart Atrial Appendage
RNU1-139P,2.0,Testis
RNU1-140P,0.0,Esophagus Muscularis
RNU1-141P,1.0,Esophagus Muscularis
RNU1-142P,2.0,Testis
RNU1-143P,7.0,Small Intestine Terminal Ileum
RNU1-146P,2.0,Brain Nucleus accumbens basal ganglia
RNU1-148P,1.0,Brain Anterior cingulate cortex BA24
RNU1-149P,51.0,Brain Cerebellar Hemisphere
RNU1-150P,0.0,Esophagus Muscularis
RNU1-151P,14.0,Brain Cerebellum
RNU1-153P,49.0,Artery Aorta
RNU1-154P,14.0,Brain Cerebellar Hemisphere
RNU1-155P,5.0,Fallopian Tube
