gene_name,gene_group,chromosome,start,end,gene_length,flank_length,snp_count_1000genomes,snp_density_1000genomes,flank_count_1000genomes,flank_density_1000genomes,enrichment_1000genomes,snp_count_gnomad,snp_density_gnomad,flank_count_gnomad,flank_density_gnomad,enrichment_gnomad,snp_count_pangenome,snp_density_pangenome,flank_count_pangenome,flank_density_pangenome,enrichment_pangenome,snp_count_dbsnp,snp_density_dbsnp,flank_count_dbsnp,flank_density_dbsnp,enrichment_dbsnp,locus_type,gene_type
RNU6-1100P,RNU6,chr1,157784,157887,104,1040,0,0.0,0,0.0,0.0,23,0.22115384615384615,158,0.1519230769230769,1.4556962025316456,0,0.0,0,0.0,0.0,24,0.23076923076923078,211,0.20288461538461539,1.1374407582938388,pseudogene,pseudogene
RNU6-1199P,RNU6,chr1,758233,758336,104,1040,0,0.0,1,0.0009615384615384616,0.0,20,0.19230769230769232,230,0.22115384615384615,0.8695652173913044,3,0.028846153846153848,15,0.014423076923076924,2.0,33,0.3173076923076923,319,0.30673076923076925,1.0344827586206895,pseudogene,pseudogene
RN7SL657P,RN7SL,chr1,1405460,1405752,293,2929,9,0.030716723549488054,95,0.032434277910549675,0.9470450871205317,72,0.24573378839590443,989,0.33765790372140664,0.7277596220542002,2,0.006825938566552901,16,0.0054626152270399455,1.2495733788395904,143,0.4880546075085324,1346,0.4595425059747354,1.0620445359528168,pseudogene,pseudogene
RN7SL574P,RN7SL,chr1,3782815,3783111,297,2969,13,0.04377104377104377,100,0.033681374200067365,1.2995622895622896,96,0.32323232323232326,767,0.25833614011451667,1.2512083020557598,4,0.013468013468013467,28,0.009430784776018861,1.428090428090428,119,0.4006734006734007,1147,0.38632536207477264,1.037139779075263,pseudogene,pseudogene
RNU6-731P,RNU6,chr1,6540854,6540964,111,1109,6,0.05405405405405406,34,0.030658250676284943,1.7631160572337043,25,0.22522522522522523,425,0.38322813345356177,0.5877053524112348,1,0.009009009009009009,17,0.015329125338142471,0.5877053524112348,45,0.40540540540540543,432,0.38954012623985573,1.0407282282282282,pseudogene,pseudogene
RNU1-8P,RNU1,chr1,7219360,7219524,165,1649,3,0.01818181818181818,43,0.02607640994542147,0.6972515856236786,36,0.21818181818181817,416,0.25227410551849605,0.8648601398601399,0,0.0,24,0.014554275318374773,0.0,36,0.21818181818181817,339,0.20557913887204365,1.0613032984714401,pseudogene,pseudogene
TRUND-NNN4-1,TRNA,chr1,7930279,7930348,70,700,5,0.07142857142857142,22,0.03142857142857143,2.2727272727272725,22,0.3142857142857143,248,0.35428571428571426,0.8870967741935485,2,0.02857142857142857,7,0.01,2.857142857142857,24,0.34285714285714286,260,0.37142857142857144,0.923076923076923,pseudogene,pseudogene
RNU1-7P,RNU1,chr1,8206434,8206597,164,1640,3,0.018292682926829267,46,0.02804878048780488,0.6521739130434782,47,0.2865853658536585,369,0.225,1.273712737127371,0,0.0,10,0.006097560975609756,0.0,71,0.4329268292682927,552,0.33658536585365856,1.286231884057971,pseudogene,pseudogene
RNU6-991P,RNU6,chr1,8292157,8292263,107,1069,5,0.04672897196261682,43,0.040224508886810104,1.1617039773962181,27,0.2523364485981308,347,0.3246024321796071,0.7773707883325701,4,0.037383177570093455,18,0.01683816651075772,2.2201453790238834,35,0.32710280373831774,360,0.33676333021515437,0.971313603322949,pseudogene,pseudogene
RNU6-304P,RNU6,chr1,8883427,8883533,107,1069,4,0.037383177570093455,23,0.021515434985968196,1.7375050792360827,26,0.24299065420560748,354,0.33115060804490176,0.7337768625587413,1,0.009345794392523364,14,0.013096351730589336,0.7136181575433911,44,0.411214953271028,389,0.3638914873713751,1.1300482906085578,pseudogene,pseudogene
