Gene,Max_TPM,Max_FPKM
RNU6-416P,0.0,0.0
RNU6-849P,0.0,0.0
RNU6-929P,0.0,0.0
RNU6-524P,0.0,0.0
RNU6-172P,0.0,0.0
RNU6-722P,2.23,1.26
RNU6-625P,0.0,0.0
RNU6-1098P,5.14,3.0
RNU6-1316P,0.0,0.0
RNU6-835P,0.0,0.0
RNU6-732P,0.0,0.0
RNU6-1205P,0.0,0.0
RNU6-1282P,0.0,0.0
RNU6-535P,0.0,0.0
RNU6-756P,0.0,0.0
RNU6-1337P,1.3,0.76
RNU6-304P,0.0,0.0
RNU6-10P,2.05,1.19
RNU6-667P,0.0,0.0
RNU6-314P,0.86,0.69
RNU6-1107P,0.0,0.0
RNU6-49P,3.29,2.66
RNU6-403P,0.0,0.0
RNU6-1197P,0.0,0.0
RNU6-1183P,0.0,0.0
RNU6-967P,0.0,0.0
RNU6-881P,3.53,2.85
RNU6-130P,4.35,3.52
RNU6-1245P,3.47,4.39
RNU6-171P,4.81,5.48
RNU6-198P,0.0,0.0
RNU6-359P,0.0,0.0
RNU6-580P,0.0,0.0
RNU6-647P,0.45,0.26
RNU6-301P,0.62,0.36
RNU6-995P,0.0,0.0
RNU6-1207P,0.0,0.0
RNU6-519P,0.0,0.0
RNU6-1212P,0.0,0.0
RNU6-1194P,0.0,0.0
RNU6-272P,0.31,0.18
RNU6-330P,0.0,0.0
RNU6-200P,0.0,0.0
RNU6-547P,0.0,0.0
RNU6-1332P,0.0,0.0
RNU6-1103P,0.0,0.0
RNU6-378P,0.0,0.0
RNU6-632P,0.0,0.0
RNU6-628P,0.45,0.26
RNU6-58P,0.0,0.0
RNU6-553P,1.21,0.71
RNU6-237P,1.44,0.85
RNU6-76P,0.0,0.0
RNU6-365P,0.0,0.0
RNU6-724P,0.0,0.0
RNU6-521P,0.0,0.0
RNU6-312P,19.81,11.55
RNU6-572P,0.0,0.0
RNU6-1322P,0.0,0.0
RNU6-353P,0.0,0.0
RNU6-767P,1.24,0.71
RNU6-38P,0.0,0.0
RNU6-255P,0.46,0.27
RNU6-1333P,1.54,0.88
RNU6-94P,2.48,4.06
RNU6-1149P,0.0,0.0
RNU6-1239P,0.0,0.0
RNU6-177P,0.0,0.0
RNU6-1017P,0.0,0.0
RNU6-439P,0.0,0.0
RNU6-145P,0.0,0.0
RNU6-769P,0.38,0.22
RNU6-321P,0.42,0.24
RNU6-489P,0.16,0.09
RNU6-605P,0.0,0.0
RNU6-649P,0.0,0.0
RNU6-648P,0.0,0.0
RNU6-680P,0.0,0.0
RNU6-593P,1.5,0.85
RNU6-338P,0.49,0.29
RNU6-711P,0.0,0.0
RNU6-121P,0.0,0.0
RNU6-886P,0.55,0.31
RNU6-1104P,0.0,0.0
RNU6-838P,0.53,0.3
RNU6-1162P,0.56,0.32
RNU6-117P,0.0,0.0
RNU6-107P,12.88,13.92
RNU6-182P,1.69,1.37
RNU6-687P,0.0,0.0
RNU6-673P,0.0,0.0
RNU6-227P,1.45,1.17
RNU6-173P,0.0,0.0
RNU6-944P,3.56,2.02
RNU6-751P,0.0,0.0
RNU6-980P,0.0,0.0
RNU6-36P,0.04,0.03
RNU6-201P,1.14,0.65
RNU6-570P,0.0,0.0
RNU6-564P,2.15,1.23
RNU6-1324P,0.0,0.0
RNU6-596P,0.0,0.0
RNU6-762P,3.34,1.95
RNU6-267P,0.0,0.0
RNU6-845P,0.0,0.0
RNU6-803P,0.0,0.0
RNU6-377P,2.68,1.56
RNU6-178P,0.43,0.25
RNU6-444P,2.23,2.87
RNU6-1206P,0.57,0.32
RNU6-1041P,0.0,0.0
RNU6-366P,0.0,0.0
RNU6-866P,0.0,0.0
RNU6-986P,0.0,0.0
RNU6-1281P,0.0,0.0
RNU6-440P,0.0,0.0
RNU6-930P,5.52,3.21
RNU6-1283P,0.0,0.0
RNU6-139P,0.0,0.0
RNU6-819P,0.0,0.0
RNU6-1097P,0.0,0.0
RNU6-1089P,0.98,0.58
RNU6-890P,2.49,2.0
RNU6-907P,0.44,0.26
RNU6-1177P,0.0,0.0
RNU6-87P,0.0,0.0
RNU6-468P,0.0,0.0
RNU6-406P,0.0,0.0
RNU6-945P,1.08,0.64
RNU6-658P,5.56,7.01
RNU6-584P,1.98,1.13
RNU6-52P,,
RNU6-1036P,0.0,0.0
RNU6-208P,0.0,0.0
RNU6-1146P,0.0,0.0
RNU6-226P,0.0,0.0
RNU6-1049P,0.33,0.27
RNU6-1118P,1.8,1.45
RNU6-1289P,0.0,0.0
RNU6-33P,4.53,4.36
RNU6-147P,0.62,0.36
RNU6-1014P,0.0,0.0
RNU6-1254P,0.43,0.25
RNU6-387P,1.27,0.73
RNU6-893P,0.69,0.4
RNU6-918P,0.0,0.0
RNU6-513P,5.03,2.93
RNU6-883P,1.33,0.79
RNU6-234P,0.46,0.26
RNU6-720P,0.0,0.0
RNU6-900P,0.48,0.28
RNU6-81P,0.0,0.0
RNU6-1020P,0.62,0.36
RNU6-579P,0.0,0.0
RNU6-82P,14.41,17.18
RNU6-700P,0.0,0.0
RNU6-792P,0.41,0.24
RNU6-1191P,0.0,0.0
RNU6-91P,0.15,0.09
RNU6-1066P,0.0,0.0
RNU6-71P,0.0,0.0
RNU6-23P,0.0,0.0
RNU6-261P,0.0,0.0
RNU6-1224P,0.0,0.0
RNU6-1209P,0.94,0.56
RNU6-1235P,0.0,0.0
RNU6-415P,1.67,0.99
RNU6-709P,0.0,0.0
RNU6-1140P,0.0,0.0
RNU6-859P,3.29,2.66
RNU6-197P,0.0,0.0
RNU6-67P,0.17,0.1
RNU6-1011P,0.93,0.54
RNU6-750P,3.92,4.4
RNU6-873P,0.82,0.67
RNU6-692P,0.0,0.0
RNU6-1086P,0.0,0.0
RNU6-1227P,0.13,0.08
RNU6-438P,0.0,0.0
RNU6-669P,0.0,0.0
RNU6-539P,0.0,0.0
RNU6-752P,0.0,0.0
RNU6-1172P,0.0,0.0
RNU6-1304P,0.0,0.0
RNU6-27P,0.0,0.0
RNU6-631P,0.0,0.0
RNU6-70P,0.0,0.0
RNU6-456P,0.0,0.0
RNU6-526P,0.0,0.0
RNU6-126P,1.74,1.41
RNU6-926P,0.0,0.0
RNU6-708P,0.0,0.0
RNU6-335P,0.57,0.33
RNU6-501P,0.0,0.0
RNU6-1301P,0.0,0.0
RNU6-222P,0.0,0.0
RNU6-1024P,2.19,1.28
RNU6-997P,0.0,0.0
RNU6-431P,0.0,0.0
RNU6-319P,0.0,0.0
RNU6-4P,0.0,0.0
RNU6-660P,0.0,0.0
RNU6-847P,0.0,0.0
RNU6-668P,0.0,0.0
RNU6-45P,0.6,0.35
RNU6-262P,1.37,0.79
RNU6-936P,0.0,0.0
RNU6-1167P,0.0,0.0
RNU6-1241P,0.0,0.0
RNU6-308P,0.45,0.26
RNU6-195P,1.05,0.62
RNU6-885P,0.0,0.0
RNU6-137P,0.0,0.0
RNU6-919P,0.0,0.0
RNU6-1309P,0.0,0.0
RNU6-493P,0.0,0.0
RNU6-99P,0.0,0.0
RNU6-202P,0.0,0.0
RNU6-532P,0.0,0.0
RNU6-1234P,0.0,0.0
RNU6-300P,0.0,0.0
RNU6-1181P,0.47,0.28
RNU6-1274P,0.0,0.0
RNU6-1276P,0.0,0.0
RNU6-1110P,0.0,0.0
RNU6-842P,0.0,0.0
RNU6-1342P,,
RNU6-540P,4.75,2.77
RNU6-233P,0.0,0.0
RNU6-1082P,0.45,0.26
RNU6-1292P,0.0,0.0
RNU6-295P,0.0,0.0
RNU6-331P,0.38,0.22
RNU6-739P,0.5,0.3
RNU6-999P,0.0,0.0
RNU6-342P,0.47,0.27
RNU6-1144P,0.0,0.0
RNU6-948P,0.41,0.24
RNU6-453P,0.0,0.0
RNU6-1029P,0.41,0.33
RNU6-44P,0.0,0.0
RNU6-490P,0.53,0.3
RNU6-1277P,0.0,0.0
RNU6-482P,0.0,0.0
RNU6-1126P,0.0,0.0
RNU6-546P,0.0,0.0
RNU6-290P,0.12,0.07
RNU6-244P,0.68,0.55
RNU6-1310P,0.0,0.0
RNU6-551P,0.0,0.0
RNU6-618P,0.58,0.34
RNU6-626P,0.0,0.0
RNU6-433P,0.0,0.0
RNU6-57P,0.0,0.0
RNU6-623P,1.7,0.97
RNU6-1081P,0.0,0.0
RNU6-189P,0.0,0.0
RNU6-899P,0.0,0.0
RNU6-851P,0.62,0.36
RNU6-296P,0.0,0.0
RNU6-356P,0.0,0.0
RNU6-1125P,0.0,0.0
RNU6-1079P,2.39,1.39
