Gene,Max_TPM,Max_FPKM
TRL-AAG4-1,,
TRN-GTT9-2,,
TRL-TAG3-1,,
TRA-AGC6-1,,
VTRNA3-1P,0.0,0.0
MT-TA,1482.83,848.15
TRI-AAT5-5,,
TRI-AAT1-1,,
TRG-CCC7-1,,
TRV-AAC1-2,,
TRV-AAC3-1,,
TRQ-TTG3-3,,
TRS-CGA3-1,,
TRA-AGC14-1,,
TRR-TCG1-1,,
TRA-TGC7-1,,
TRE-CTC16-1,,
MT-TC,1261.08,850.15
TRV-AAC1-5,,
TRD-GTC2-7,,
TRG-TCC2-6,,
QRSL1P1,0.08,0.08
TRF-GAA1-4,,
TRY-ATA1-1,,
TRI-AAT9-1,,
TRI-AAT5-2,,
MT-TF,0.0,0.0
TRL-AAG2-4,,
TRS-TGA1-1,,
TRV-CAC6-1,,
TRS-AGA2-2,,
TRV-AAC1-4,,
TRK-CTT5-1,,
TRG-GCC1-5,,
TRQ-TTG7-1,,
TRR-ACG2-4,,
TRMT112P3,0.33,0.19
TRE-CTC9-1,,
TRC-GCA9-1,,
TRS-GCT4-1,,
TRD-GTC2-9,,
TRA-AGC3-1,,
VTRNA2-2P,0.0,0.0
TRG-GCC1-1,,
TRK-CTT8-1,,
PRORSD1P,3.35,3.6
TRQ-TTG10-1,,
TRF-GAA2-1,,
TRV-CAC1-2,,
TRI-AAT11-1,,
TRA-TGC5-1,,
TRY-GTA11-1,,
TRK-TTT3-4,,
TRL-TAA1-1,,
TRN-GTT2-3,,
TRP-TGG3-4,,
TRA-AGC5-1,,
TRD-GTC1-1,,
TRA-AGC2-2,,
TRR-CCG1-1,,
TRM-CAT3-2,,
TYW1P1,,
TRL-AAG1-3,,
TRA-AGC14-2,,
TRK-TTT3-1,,
TRK-CTT2-2,,
TSEN15P2,0.4,0.3
TRT-AGT5-1,,
TRC-GCA4-1,,
TRS-AGA5-1,,
TRG-TCC2-3,,
TRV-AAC1-1,,
TRL-AAG2-1,,
TRN-GTT2-7,,
TRR-CCT9-1,,
TRV-AAC2-1,,
TRN-GTT6-1,,
TRS-TGA4-1,,
TRK-TTT9-1,,
TRT-AGT1-2,,
TRI-AAT8-1,,
MT-TS2,173.3,99.13
TRMT10BP1,,
TRV-CAC2-1,,
TRE-CTC7-1,,
TRUND-NNN3-1,,
TRT-CGT1-1,,
TRX-CAT1-5,,
TRY-GTA1-1,,
TRG-CCC2-1,,
TRL-CAG1-5,,
TRS-GCT4-2,,
TRSUP-TTA3-1,,
TRG-TCC2-2,,
TRR-CCT1-1,,
TRA-TGC10-1,,
TRC-GCA3-1,,
TRA-CGC5-1,,
TRE-TTC1-1,,
TRMT112P1,0.0,0.0
TRP-CGG2-1,,
TRE-TTC6-1,,
TRL-AAG1-1,,
TRK-TTT10-1,,
CARS1P2,,
KARS1P2,,
TRV-CAC11-1,,
TRE-CTC15-1,,
TRI-AAT5-4,,
TRK-CTT3-1,,
TRP-TGG3-1,,
TRMT112P6,1.26,1.67
TRMT112P7,0.09,0.05
TRR-CCT4-1,,
TRL-TAG2-1,,
TRG-CCC6-1,,
NMTRQ-TTG11-1,,
TRQ-CTG4-2,,
TRE-CTC1-6,,
NMTRQ-TTG7-1,,
TRA-AGC8-1,,
TRC-GCA8-1,,
TRV-AAC5-1,,
TRX-CAT1-4,,
MT-TK,53.35,31.43
TRC-GCA1-1,,
TRP-AGG5-1,,
TRC-GCA9-2,,
TRL-CAA2-1,,
TRI-TAT2-2,,
TRC-GCA11-1,,
TRC-GCA25-1,,
MT-TP,516.0,300.57
TRX-CAT1-6,,
TRQ-CTG4-1,,
TRE-TTC3-1,,
TRV-CAC1-1,,
TRN-GTT2-5,,
MT-TS1,3384.81,2004.02
TRG-GCC2-6,,
TRT-AGT2-2,,
TRV-AAC4-1,,
TRL-TAG1-1,,
NMTRL-TAA3-1,,
TRL-CAG1-3,,
TRS-AGA2-3,,
TRQ-TTG1-1,,
TRI-AAT10-1,,
TSEN15P3,0.0,0.0
TRN-GTT24-1,,
TRG-GCC1-2,,
TRT-AGT6-1,,
TRT-TGT4-1,,
TRUND-NNN9-1,,
TRK-CTT1-2,,
TRA-CGC2-1,,
TRL-CAG1-6,,
NMTRQ-TTG6-1,,
TRY-GTA5-4,,
NMTRL-TAA5-1,,
TRK-TTT1-1,,
TRP-AGG2-1,,
TRS-GCT5-1,,
NMTRS-TGA2-1,,
TRA-AGC15-1,,
TRT-AGT2-1,,
