Gene,Max_TPM,Max_FPKM
RNU6ATAC26P,0.0,0.0
RNU6ATAC36P,0.0,0.0
RNU6ATAC35P,0.58,0.99
RNU6ATAC41P,0.0,0.0
RNU6ATAC10P,13.63,16.48
RNU6ATAC3P,0.0,0.0
RNU6ATAC15P,0.0,0.0
RNU6ATAC,132.83,167.93
RNU6ATAC4P,0.0,0.0
RNU6ATAC8P,0.0,0.0
RNU6ATAC33P,0.0,0.0
RNU6ATAC20P,0.0,0.0
RNU6ATAC34P,0.0,0.0
RNU6ATAC5P,0.0,0.0
RNU6ATAC32P,0.0,0.0
RNU6ATAC40P,0.0,0.0
RNU6ATAC25P,0.0,0.0
RNU6ATAC39P,2.44,3.86
RNU6ATAC13P,0.0,0.0
RNU6ATAC42P,0.0,0.0
RNU6ATAC2P,1.06,1.25
RNU6ATAC27P,0.0,0.0
RNU6ATAC23P,0.0,0.0
RNU6ATAC31P,0.0,0.0
RNU6ATAC19P,0.0,0.0
RNU6ATAC38P,0.0,0.0
RNU6ATAC14P,0.0,0.0
RNU6ATAC11P,0.0,0.0
RNU6ATAC30P,0.0,0.0
RNU6ATAC37P,0.0,0.0
RNU6ATAC28P,0.0,0.0
RNU6ATAC7P,0.0,0.0
RNU6ATAC29P,0.0,0.0
RNU6ATAC22P,0.0,0.0
RNU6ATAC12P,1.41,1.72
RNU6ATAC16P,0.0,0.0
RNU6ATAC9P,0.0,0.0
RNU6ATAC21P,0.0,0.0
RNU6ATAC18P,0.0,0.0
RNU6ATAC24P,4.32,5.46
RNU6ATAC17P,0.0,0.0
RNU6ATAC6P,0.0,0.0
