Gene,Max_TPM,Max_FPKM
RN7SL459P,0.0,0.0
RN7SL544P,0.03,0.03
RN7SL328P,1.73,2.63
RN7SL675P,0.0,0.0
RN7SL378P,0.29,0.34
RN7SL660P,4.42,5.34
RN7SL183P,0.0,0.0
RN7SL26P,0.0,0.0
RN7SL853P,0.0,0.0
RN7SL760P,1.36,4.35
RN7SL446P,0.0,0.0
RN7SL792P,0.0,0.0
RN7SL840P,0.0,0.0
RN7SL712P,0.0,0.0
RN7SL107P,0.0,0.0
RN7SL193P,0.0,0.0
RN7SL752P,1.81,2.39
RN7SL553P,0.0,0.0
RN7SL850P,0.0,0.0
RN7SL106P,0.0,0.0
RN7SL838P,0.65,1.44
RN7SL36P,1.8,3.39
RN7SL460P,0.0,0.0
RN7SL799P,0.0,0.0
RN7SL218P,0.0,0.0
RN7SL633P,0.0,0.0
RN7SL620P,0.25,0.27
RN7SL279P,0.0,0.0
RN7SL483P,0.0,0.0
RN7SL753P,1.7,4.08
RN7SL340P,0.0,0.0
RN7SL353P,0.0,0.0
RN7SL190P,0.0,0.0
RN7SL692P,0.0,0.0
RN7SL798P,0.0,0.0
RN7SL313P,0.11,0.14
RN7SL700P,0.0,0.0
RN7SL586P,0.0,0.0
RN7SL713P,0.0,0.0
RN7SL870P,0.0,0.0
RN7SL400P,0.0,0.0
RN7SL834P,7.49,9.45
RN7SL505P,1.49,3.61
RN7SL260P,0.0,0.0
RN7SL302P,0.0,0.0
RN7SL369P,0.0,0.0
RN7SL842P,1.56,4.04
RN7SL668P,0.0,0.0
RN7SL706P,0.16,0.18
RN7SL644P,0.0,0.0
RN7SL596P,0.2,0.23
RN7SL621P,0.25,0.31
RN7SL438P,,
RN7SL69P,0.29,0.56
RN7SL199P,2.08,7.78
RN7SL782P,0.0,0.0
RN7SL88P,0.0,0.0
RN7SL756P,0.0,0.0
RN7SL552P,2.59,3.13
RN7SL652P,0.75,0.86
RN7SL255P,0.0,0.0
RN7SL326P,1.74,2.82
RN7SL714P,0.0,0.0
RN7SL477P,0.0,0.0
RN7SL600P,5.33,7.29
RN7SL297P,1.0,1.75
RN7SL60P,0.0,0.0
RN7SL250P,0.0,0.0
RN7SL435P,0.12,0.15
RN7SL827P,0.26,0.41
RN7SL655P,1.91,3.78
RN7SL567P,0.0,0.0
RN7SL632P,0.0,0.0
RN7SL813P,0.0,0.0
RN7SL667P,0.0,0.0
RN7SL581P,0.37,0.46
RN7SL628P,0.15,0.19
RN7SL754P,0.68,0.78
RN7SL832P,0.31,0.37
RN7SL678P,0.21,0.24
RN7SL74P,1.0,1.19
RN7SL238P,0.0,0.0
RN7SL677P,0.0,0.0
RN7SL561P,0.0,0.0
RN7SL470P,0.41,0.46
RN7SL577P,0.89,2.35
RN7SL314P,0.0,0.0
RN7SL405P,0.0,0.0
RN7SL275P,0.0,0.0
RN7SL836P,0.0,0.0
RN7SL122P,0.0,0.0
RN7SL430P,1.12,1.44
RN7SL262P,0.0,0.0
RN7SL380P,0.0,0.0
RN7SL39P,0.49,0.62
RN7SL575P,0.0,0.0
RN7SL124P,0.13,0.17
RN7SL635P,0.0,0.0
RN7SL601P,0.0,0.0
